cell_type	GEX_pos	GEX_neg	source
Naive	"IL4R,ABCB1,FCER2,TCL1A,FOXP1,TXNIP, SELL"	CD27	
MBC	"CD27, PAX5,POU2AF1, SPIB,CR2, CD24, FAS, GPR183,CD44,KLF2,TNFRSF13B,VIM"		
csw_MBC	"CD27, PAX5,POU2AF1, SPIB,CR2, CD24, FAS, GPR183,CD44,KLF2,TNFRSF13B,VIM,IGHG1,IGHG2,IGHG3,IGHG4,IGHA1,IGHA2,IGHE"		
unsw_MBC	"CD27, PAX5,POU2AF1, SPIB,CD1C, CR2, CD24, GPR183,CD44,KLF2,TNFRSF13B,VIM, IGHM, IGHD"		
CD5_B	"CD5,CD27"		
exhausted_B	"FCRL4, CD22, LILRB1"	CR1	
MBC_FCRL4	"CD27,GPR183,CD44,KLF2,TNFRSF13B,VIM,PLAC8,FCRL4,CCR1,ITGAX"		
Plasmablasts	"PRDM1, CD38, FKBP11, SSR4,MZB1,XBP1,CD27"		
PC	"PRDM1,IGLL5, MZB1, CD79A, POU2AF1, FCRL5, DERL3, PIM2, SDC1,IRF4, XBP1"		
Pre_plasmablast	"PRDX4, PRDM1, FGFR1,BTNL9,HOPX,FRZB,RASSF6,CD38,CD27,MARCKSL1,SERPINA9, PRPSAP2"		
activated	"CD69,CD44,DUSP2,JUN,EGR1,CD83,IER2,IL6,NR4A2,CCR7,GPR183"		https://www.biorxiv.org/content/10.1101/2020.04.28.054775v2.full.pdf
Homing	"CXCL13,CXCR4,CXCR5,CXCL2,CXCL8,CCL5"		
OPN_B	"SPP1,IL17A"		
IFN_B	IFITM3		
B_FDC	"ITGB1, CD27"		
Transitional	"IGHD,MME, CD24, CD38"		
Mature_naive	"FCER2, CD69, CD80, CD86,CD22,CD44,PTPRC"	"CD27,MME,MTG"	
GCB_FT	"MME,CD19,MS4A1,CD27,CD38,PTPRC"		
DN1	"CD24,CR2,CXCR5,RHOB,LTB"	"IGHD,CD27,FCRL4,FCRL5,FCRL3"	https://www.biorxiv.org/content/10.1101/2020.09.03.281527v1
DN2	"TBX21,ITGAX,FCRL5,SLAMF7,RHOB,FCRL3"	"CD21, IGHD,CD27,CD24,CXCR5,LTB"	https://www.biorxiv.org/content/10.1101/2020.09.03.281527v1
DN3	"CD24,LTB,IGHA1,IGHA2"	"RHOB,FCRL3,FCRL5,IGHG1,IGHG2,IGHG3,IGHG4"	https://www.biorxiv.org/content/10.1101/2020.09.03.281527v1
DN4	"CD24,LTB,IGHE,FCER2"	"RHOB,FCRL3,FCRL5"	https://www.biorxiv.org/content/10.1101/2020.09.03.281527v1
Marginal	CD9		
CSW_genes	"APEX1,XRCC5,XRCC6,POLD2,POLE3,NCL,NPM1,NME2,DDX21,MIR155HG,HSP90AB1,SERBP1,BATF,HIVEP3,BHLHE40,IRF4"		https://www.biorxiv.org/content/10.1101/2020.04.28.054775v2.full.pdf
Cycling	"HMGB2,TUBA1B,MKI67,UBE2C,AURKB,AICDA"		https://www.biorxiv.org/content/10.1101/2020.04.28.054775v2.full.pdf
FCRL2_3_hi	"FCRL4,RASSF6,SIGLEC10,SAMSN1,LINC01857,FCRL2,FCRL3,BCL6,CD27,SERPINA9"		https://www.biorxiv.org/content/10.1101/2020.04.28.054775v2.full.pdf
preGC	"EBI3,PARVB,BHLHE40,PSME2,MIR155HG,CCND2,FCER2,FCMR"		https://www.biorxiv.org/content/10.1101/2020.04.28.054775v2.full.pdf
GC	"ISG20,EZR,SUGCT,BCL6,CD38,MARCKSL1,SERPINA9,PRPSAP2,GMDS,LMO2"		https://www.biorxiv.org/content/10.1101/2020.04.28.054775v2.full.pdf
LZGC	"HOPX,MARCKSL1,SERPINA9,GMDS,LMO2,BCL2A1,EBI3,MIR155HG"		https://www.biorxiv.org/content/10.1101/2020.04.28.054775v2.full.pdf
DZGC	"AICDA,ISG20,EZR,SUGCT,BCL6,CD38,CD27,PRPSAP2"		https://www.biorxiv.org/content/10.1101/2020.04.28.054775v2.full.pdf
Anergic	"MYB, GFI1, EGR2, NAP111439-1, FABP5, SOX4, LEF1, NAP114472-1, ENDOU, SHMT1, TACC2, MYC, RASGEF1A, MS4A4A, LZTS2, SDC1, FAAH, EGR1, NAB2, AHR, CENPV, RENBP, RAPGEF3, NEFH, IL4I1, LOC100040974, PPNR, USP28, 9430078K24RIK, GAD1, APOE"		https://www.nature.com/articles/ncomms13381#Tab1
Regulatory	"CD1D,CD80,CD86,CR1,EBI3,FASLG,FOXP3,GZMB,HAVCR1,IDO1,IL10,IL12A,IL32,CD274,TGFB1,THBS1"		
Exhaustion	"CR1,CD22,CD72,LILRB4,CTLA4,FCRL4,LAIR1,PDL1"		
