PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	0	1	4	4	1	1	0	1	0	2	3	1	0	0	1	0	5	3	0	2	0	1	3	1
FAM87B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	0	0	0	0	0	1	0	1	0	3	2	1	3	0	2	0	0	1	1	0	1	0	0	0
FAM41C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NOC2L	0	0	13	9	8	10	6	15	1	0	20	0	15	1	6	4	8	14	5	8	7	7	10	4
KLHL17	0	0	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PLEKHN1	0	0	1	2	1	0	0	1	0	0	3	0	3	0	0	0	6	1	1	0	1	0	0	0
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AL645608.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISG15	3	5	49	20	31	22	19	47	1	2	133	3	281	3	9	14	69	23	11	6	23	10	9	12
AL645608.2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGRN	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
AL645608.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	0	0	1	0	1	0	1	3	2	0	0	0	2	0	2	0	1	2	1	0	1	0	0	0
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	3	0	18	1	9	1	2	1	0	0	16	4	47	0	1	0	0	1	15	0	26	2	15	2
TNFRSF4	1	0	19	0	1	0	1	0	0	0	5	0	19	0	0	0	0	0	10	0	13	0	6	0
SDF4	17	9	22	28	43	24	8	77	7	5	62	3	9	1	6	18	25	68	9	22	24	3	4	12
B3GALT6	3	2	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0
C1QTNF12	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL162741.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
