PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	1
AL627309.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	6	2	24	52	3	4	8	4	0	9	43	19	3	2	34	0	163	6	6	11	3	1	20	36
FAM87B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	2	0	8	31	3	4	21	3	0	2	32	8	2	3	20	1	26	4	8	4	4	0	27	14
FAM41C	3	0	2	4	0	0	2	2	0	2	3	1	0	1	2	1	4	0	0	0	0	0	4	0
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
NOC2L	7	2	113	182	25	22	101	42	2	34	461	53	18	61	190	3	365	39	25	17	11	15	156	79
KLHL17	2	1	2	10	1	0	2	5	0	2	8	0	0	0	2	0	0	2	1	0	0	0	1	0
PLEKHN1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	1	0	0	0	0	0	0	0
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	2	0	0	0	0	0	0	0	1	1	2	0	4	0	1	0	1	0	0	0	2	0
HES4	10	0	1	0	1	0	163	2	0	2	6	0	0	0	13	0	0	0	7	1	0	0	2	0
ISG15	39	9	335	170	45	43	535	67	0	40	829	72	135	57	264	17	283	33	291	15	9	27	431	110
AL645608.2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AGRN	0	0	2	1	1	1	1	0	0	0	5	0	0	1	3	0	0	0	2	0	0	1	1	1
AL645608.9	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	2	1	14	15	5	3	19	13	0	4	34	6	2	9	9	1	48	1	5	1	3	1	19	5
LINC01342	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	2	0	22	1	2	4	20	2	0	2	46	5	31	0	7	1	7	1	10	2	1	0	50	8
TNFRSF4	1	0	10	4	4	0	10	0	0	0	8	0	11	0	4	0	2	0	13	0	0	0	14	1
SDF4	35	13	97	166	34	41	160	86	0	42	463	52	8	19	181	6	374	24	54	26	8	4	132	102
B3GALT6	9	1	5	3	1	0	36	21	0	0	12	2	3	1	5	0	9	3	0	0	0	0	6	2
C1QTNF12	0	0	0	1	0	2	0	0	0	0	4	1	1	0	2	0	0	0	1	0	0	0	2	2
AL162741.1	0	0	4	2	0	0	1	0	0	0	4	0	0	1	1	0	2	0	0	2	1	0	3	2
UBE2J2	12	2	80	217	26	32	101	79	2	34	258	36	12	30	108	7	219	31	44	18	8	17	115	93
LINC01786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0	0	3	8	0	0	2	0	0	0	5	2	1	0	3	0	2	0	0	0	0	0	4	0
ACAP3	2	3	4	11	3	0	12	8	0	9	19	8	2	0	8	1	32	4	4	4	0	1	6	10
PUSL1	10	3	33	45	4	7	33	8	0	5	61	10	5	3	35	1	45	10	18	6	2	3	49	23
INTS11	23	3	159	245	38	54	148	63	0	37	501	59	21	58	175	7	367	36	64	15	8	17	171	103
CPTP	7	3	7	21	1	4	35	25	0	1	44	2	0	1	6	0	21	3	3	3	0	1	8	6
TAS1R3	0	1	1	3	1	3	1	3	0	3	12	4	0	3	0	1	3	6	1	3	0	1	4	5
DVL1	1	0	5	4	0	1	1	1	0	3	10	1	1	2	2	0	10	0	1	2	0	0	1	4
MXRA8	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
AURKAIP1	62	30	314	594	85	77	379	161	4	88	726	88	61	108	345	14	543	71	152	43	24	42	422	265
CCNL2	15	6	114	168	22	17	164	28	0	18	376	25	19	10	141	5	467	45	29	15	5	6	121	44
MRPL20	40	19	284	376	74	59	270	86	6	49	719	47	61	70	407	22	634	57	126	34	28	33	433	157
AL391244.3	0	0	0	2	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	1	0
ANKRD65	0	0	0	0	0	1	1	1	0	0	3	0	1	0	0	1	2	0	0	1	0	0	0	0
AL391244.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATAD3C	1	0	6	36	1	4	3	0	0	0	16	2	0	1	1	0	8	2	1	0	0	2	2	5
ATAD3B	5	2	12	31	5	4	36	5	1	4	65	11	4	3	13	0	38	3	5	2	3	0	13	9
ATAD3A	3	1	1	6	2	0	12	8	0	1	15	0	3	3	3	0	19	1	0	1	1	2	4	0
TMEM240	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
SSU72	63	24	247	521	44	80	436	234	1	47	500	66	30	68	278	21	434	36	76	38	6	24	258	171
AL645728.1	1	0	20	41	1	0	20	7	0	3	53	6	0	6	9	0	37	7	3	7	3	1	6	10
FNDC10	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AL691432.2	1	3	5	19	1	1	14	16	0	0	18	1	0	2	5	0	10	0	1	1	2	0	3	2
MIB2	21	8	27	63	10	4	75	39	0	7	98	10	8	3	57	6	41	3	8	4	1	6	41	23
MMP23B	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
CDK11B	8	2	82	129	14	15	106	22	0	22	260	31	14	11	74	0	244	22	17	10	7	3	81	47
FO704657.1	0	1	0	2	0	0	1	1	0	0	7	1	0	1	1	1	3	0	1	2	0	0	2	4
SLC35E2B	5	0	27	62	4	2	33	22	0	3	116	25	9	16	22	1	247	24	13	12	3	1	21	15
CDK11A	6	1	108	238	17	16	81	42	0	17	311	56	12	28	113	4	416	30	31	26	9	11	93	71
SLC35E2A	3	3	22	44	2	11	14	12	0	1	27	5	2	7	24	2	57	7	4	5	3	0	7	13
NADK	13	6	64	75	6	10	77	46	0	11	169	17	8	14	46	5	131	17	19	8	6	7	57	26
