PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	1	0	6	32	0	2	2	2	0	6	11	12	1	1	11	0	42	3	1	6	2	0	7	25
FAM87B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	1	0	4	18	1	4	10	2	0	1	12	4	1	1	8	0	13	2	5	3	2	0	11	7
FAM41C	3	0	2	2	0	0	1	1	0	2	2	1	0	0	1	0	1	0	0	0	0	0	3	0
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	2	0	31	113	13	11	35	19	0	15	181	38	10	29	77	1	134	13	9	11	4	8	70	43
KLHL17	1	0	1	8	0	0	0	1	0	2	4	0	0	0	0	0	0	1	0	0	0	0	0	0
PLEKHN1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
HES4	2	0	0	0	0	0	40	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0
ISG15	13	7	157	97	18	22	154	42	0	22	315	52	36	28	81	9	104	14	71	11	5	16	138	52
AL645608.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AGRN	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0
AL645608.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	2	0	5	11	2	3	6	8	0	2	12	5	0	2	5	1	13	1	2	1	0	0	8	5
LINC01342	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	1	0	15	1	0	1	8	2	0	0	22	2	4	0	1	1	3	0	4	2	1	0	19	4
TNFRSF4	1	0	4	1	0	0	6	0	0	0	2	0	1	0	0	0	1	0	1	0	0	0	7	0
SDF4	19	9	48	98	15	19	54	40	0	17	180	33	3	8	82	1	133	10	21	16	6	2	49	63
B3GALT6	4	0	1	1	0	0	15	9	0	0	9	2	0	1	3	0	3	1	0	0	0	0	2	1
C1QTNF12	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	1	0	0	0	1	2
AL162741.1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	2	1
UBE2J2	6	0	40	132	9	20	44	36	0	15	106	26	3	16	46	3	61	15	18	12	3	9	61	48
LINC01786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0	0	0	6	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0
ACAP3	1	0	1	5	1	0	3	3	0	4	6	5	0	0	0	0	12	2	2	2	0	1	2	3
PUSL1	1	1	13	28	0	5	13	4	0	4	25	4	5	3	10	0	13	4	6	3	0	2	16	10
INTS11	11	1	74	139	13	41	64	30	0	23	181	45	12	29	65	3	116	19	32	6	1	10	69	55
CPTP	5	1	3	13	1	4	17	13	0	1	14	1	0	1	1	0	7	2	2	3	0	1	6	4
TAS1R3	0	1	0	2	1	3	1	2	0	1	7	4	0	1	0	0	3	5	1	3	0	0	1	3
DVL1	0	0	2	2	0	0	1	0	0	0	4	1	0	1	1	0	4	0	1	1	0	0	0	2
MXRA8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AURKAIP1	24	12	142	347	38	36	156	78	0	48	290	50	28	49	137	7	202	35	76	21	10	21	194	150
CCNL2	6	3	43	92	11	10	65	16	0	10	142	16	6	4	58	1	156	25	11	8	1	2	46	26
MRPL20	13	13	130	216	27	27	108	38	0	28	255	29	27	38	146	11	212	23	50	20	17	23	191	73
AL391244.3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD65	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
AL391244.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATAD3C	0	0	3	27	1	3	1	0	0	0	11	1	0	1	1	0	5	2	0	0	0	1	1	4
ATAD3B	1	0	3	21	2	0	18	3	0	0	23	5	1	3	6	0	9	2	2	2	2	0	5	5
ATAD3A	1	0	0	3	2	0	4	3	0	0	8	0	0	3	0	0	7	1	0	1	1	0	0	0
TMEM240	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SSU72	24	13	106	326	20	49	197	111	0	24	190	52	17	38	101	7	146	21	37	23	3	15	89	89
AL645728.1	0	0	9	25	0	0	5	2	0	3	24	5	0	3	3	0	18	4	1	2	2	1	4	7
FNDC10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AL691432.2	0	1	4	12	1	0	4	8	0	0	6	0	0	0	2	0	4	0	1	1	0	0	0	1
MIB2	4	3	12	39	4	1	29	18	0	3	32	7	3	2	18	1	13	1	3	3	0	3	12	9
MMP23B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK11B	3	2	35	65	5	7	32	10	0	13	95	17	6	8	28	0	72	9	9	5	2	3	27	24
FO704657.1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	2	0	0	0	3
SLC35E2B	3	0	10	40	2	0	14	8	0	1	43	14	3	7	8	0	92	10	2	4	1	0	7	7
CDK11A	3	1	32	136	7	7	28	21	0	9	94	32	6	10	42	1	129	11	11	15	2	9	32	30
SLC35E2A	0	0	10	30	1	8	7	5	0	1	13	1	2	5	12	1	25	3	4	2	1	0	4	6
NADK	8	3	28	41	1	5	34	23	0	5	47	10	4	6	20	3	43	9	5	4	3	3	27	10
GNB1	5	2	26	76	5	8	32	14	0	9	82	11	12	9	20	1	69	9	8	6	1	3	23	20
AL109917.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CALML6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFAP74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391845.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ	1	0	2	7	1	4	13	9	0	1	9	2	1	0	2	0	7	0	1	0	1	0	3	1
AL590822.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ-AS1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
FAAP20	28	24	57	100	12	11	193	100	0	14	119	20	5	15	62	6	89	10	9	10	2	6	44	43
SKI	1	0	11	18	4	2	6	1	0	0	53	4	3	0	13	1	24	0	8	3	0	0	21	5
MORN1	0	0	5	4	1	1	4	0	0	1	8	1	0	0	4	2	10	1	1	1	1	0	5	2
RER1	10	6	96	173	19	38	109	39	0	21	203	36	14	24	105	2	155	21	43	15	5	16	121	63
PEX10	0	0	11	39	1	4	17	14	0	9	39	9	0	2	22	0	12	3	3	2	0	1	17	16
PLCH2	0	0	0	2	0	0	3	1	0	0	18	1	0	0	7	0	3	0	1	0	0	1	3	0
AL139246.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139246.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANK4	4	1	10	9	4	0	10	3	0	0	26	4	2	2	7	0	20	2	4	2	1	1	8	1
HES5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139246.5	12	4	22	8	0	1	90	25	0	0	64	9	1	1	20	0	24	2	6	1	0	2	13	10
TNFRSF14-AS1	1	0	8	12	3	2	9	1	0	6	33	6	1	2	17	0	29	2	5	4	2	1	14	12
TNFRSF14	22	8	190	420	41	79	203	118	0	88	678	176	32	102	193	7	277	54	68	56	7	33	171	195
AL139246.3	0	0	2	1	0	0	0	3	0	1	3	0	0	0	0	1	2	0	1	0	0	2	1	0
FAM213B	1	0	13	12	4	2	7	6	0	1	16	5	1	1	9	2	10	4	1	0	0	0	14	6
MMEL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
TTC34	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1
LINC00982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL590438.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
MEGF6	0	0	2	14	0	1	6	1	0	0	2	3	0	2	1	0	2	2	0	2	0	0	3	4
AL513320.1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TPRG1L	0	0	8	31	2	0	5	5	0	4	6	2	0	3	5	0	18	0	4	2	1	1	7	5
WRAP73	2	0	31	66	6	5	35	13	0	10	88	10	4	14	38	1	53	11	11	4	2	3	24	21
TP73	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1
AL136528.1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CCDC27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMIM1	1	1	14	14	1	2	9	8	0	1	10	4	3	1	12	0	7	1	8	1	0	1	4	10
LRRC47	0	2	5	16	2	3	12	10	0	6	32	6	0	0	12	0	27	3	4	4	0	2	3	2
AL365330.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP104	2	1	5	13	0	0	25	19	0	1	23	8	0	1	11	2	41	2	0	1	0	1	5	3
DFFB	1	1	4	32	1	1	7	3	0	0	21	0	0	2	10	0	25	3	1	0	0	0	6	6
C1orf174	4	1	38	90	9	10	38	17	0	11	89	15	7	13	40	2	74	12	21	4	4	3	36	24
LINC01134	0	0	0	2	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
AL805961.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL365255.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHP4	0	0	1	2	0	0	0	0	0	0	4	0	1	0	2	0	3	0	0	0	0	0	0	0
KCNAB2	1	2	37	64	6	12	32	5	0	8	120	20	10	17	60	2	87	4	16	12	2	2	39	21
CHD5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL22	462	257	2741	7914	534	1149	2308	1346	0	1365	8212	2301	507	1264	3786	160	5005	533	1094	707	176	413	3319	3020
AL031847.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF207	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ICMT	0	0	5	9	0	3	13	6	0	3	23	4	1	1	12	0	25	1	6	1	1	0	10	6
LINC00337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR153	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT7	0	0	1	4	3	0	1	0	0	0	8	1	5	1	2	0	3	1	0	0	0	0	1	0
AL031848.2	0	0	3	3	0	0	4	1	0	0	0	0	0	0	2	0	6	0	1	0	0	0	3	1
HES2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESPN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	0	0	0	0	2	1	3	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0
PLEKHG5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NOL9	2	0	7	19	2	2	14	8	0	0	30	4	0	1	12	0	35	7	2	2	0	0	5	8
TAS1R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB48	0	0	21	46	2	4	20	6	0	8	38	9	2	10	19	0	29	2	8	4	3	1	21	15
KLHL21	4	0	6	5	5	1	3	2	0	0	15	0	0	1	6	1	8	3	6	1	0	0	8	1
PHF13	1	1	10	26	2	1	13	1	0	0	31	4	0	0	1	0	15	2	8	0	0	1	7	2
THAP3	3	3	24	33	2	6	16	7	0	1	31	5	4	3	14	0	24	3	7	4	0	2	12	9
DNAJC11	3	0	15	54	2	6	9	10	0	3	41	11	1	5	11	0	41	4	6	1	1	4	15	11
AL591163.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-DT	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CAMTA1	21	6	78	122	18	23	83	29	0	17	162	33	11	24	87	3	81	12	38	20	2	8	102	56
VAMP3	5	2	38	76	1	12	20	8	0	8	46	19	5	19	21	1	41	2	19	7	3	5	40	26
PER3	0	0	11	21	2	1	0	0	0	1	1	0	0	1	2	0	6	0	1	0	0	0	4	0
Z98884.1	0	0	0	12	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0
UTS2	0	0	0	1	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0
TNFRSF9	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0
PARK7	37	10	324	798	90	121	368	165	0	99	802	131	60	97	336	15	331	57	141	54	29	30	428	277
AL034417.4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AL034417.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ERRFI1	2	0	2	0	1	0	8	0	0	0	33	2	3	0	9	0	7	0	2	0	0	0	2	0
AL034417.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358876.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC45A1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1
RERE	8	2	36	91	5	11	48	23	0	13	136	23	5	12	31	5	213	9	11	10	4	2	26	26
AL096855.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AL357552.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENO1	31	8	311	600	105	113	325	142	0	82	1027	136	96	105	338	12	572	72	117	46	22	42	418	256
ENO1-AS1	0	0	0	0	0	0	0	3	0	0	3	1	0	2	2	0	2	0	0	0	0	0	1	1
CA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A5	0	0	3	0	4	1	13	2	0	2	51	8	2	2	11	0	11	0	2	6	0	0	5	6
GPR157	0	0	1	0	1	0	4	1	0	0	5	0	0	1	1	0	6	0	1	1	0	1	3	1
MIR34AHG	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LINC01759	0	2	1	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
H6PD	4	1	0	9	1	2	4	3	0	3	7	4	0	0	7	1	17	0	0	1	2	1	2	1
SPSB1	4	0	2	0	0	0	5	1	0	0	8	0	0	0	2	0	1	0	0	0	0	0	0	0
AL928921.2	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SLC25A33	2	0	5	5	1	0	89	8	0	1	19	2	2	0	20	1	15	1	0	2	0	0	6	0
TMEM201	2	0	2	3	0	0	1	1	0	0	6	1	0	0	2	0	1	2	1	0	0	0	0	0
PIK3CD	3	2	36	72	1	4	17	17	0	7	68	16	6	12	28	4	83	12	13	4	0	5	27	21
PIK3CD-AS1	0	0	2	1	0	0	2	2	0	0	2	0	0	1	1	0	1	0	1	0	0	0	0	0
PIK3CD-AS2	0	0	20	31	0	0	10	3	0	0	17	3	0	0	23	3	23	1	1	0	1	1	20	4
CLSTN1	3	0	11	34	2	5	19	15	0	3	18	8	0	4	9	0	22	3	2	0	0	0	10	7
CTNNBIP1	1	2	6	3	0	1	16	9	0	1	12	3	1	2	7	1	5	0	0	1	0	1	2	2
LZIC	3	0	25	93	5	10	20	9	0	8	42	12	6	9	21	1	48	15	4	6	1	4	27	31
NMNAT1	0	0	5	20	1	5	9	4	0	1	9	5	0	2	6	1	26	4	2	1	0	0	1	4
RBP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
UBE4B	3	0	14	53	1	8	10	5	0	6	53	13	5	1	17	0	56	6	5	11	2	2	7	5
KIF1B	0	0	4	7	0	0	2	2	0	0	6	2	0	0	3	0	6	2	0	0	0	0	2	1
