PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	4	0	17	7	3	0	5	2	0	1	13	6	0	0	18	0	89	0	4	4	1	1	11	3
FAM87B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	1	0	4	5	2	0	9	1	0	0	9	2	1	0	12	0	10	2	2	1	1	0	16	6
FAM41C	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	3	0	0	0	0	0	1	0
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	3	0	63	24	8	7	50	9	0	12	162	8	1	14	93	0	176	14	15	6	5	1	65	16
KLHL17	0	0	1	0	0	0	2	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0
PLEKHN1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	1	0
HES4	4	0	1	0	1	0	118	1	0	1	4	0	0	0	7	0	0	0	7	0	0	0	1	0
ISG15	20	2	147	31	17	10	324	14	0	6	245	8	24	10	157	0	138	8	187	2	0	1	246	16
AL645608.2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGRN	0	0	2	0	1	0	1	0	0	0	1	0	0	1	2	0	0	0	1	0	0	1	1	0
AL645608.9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	0	0	7	1	2	0	13	4	0	1	16	0	1	4	3	0	29	0	3	0	3	0	10	0
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	1	0	7	0	1	1	11	0	0	1	11	3	4	0	0	0	0	1	4	0	0	0	22	2
TNFRSF4	0	0	5	2	1	0	3	0	0	0	3	0	7	0	0	0	1	0	7	0	0	0	7	1
SDF4	10	2	36	36	15	9	85	14	0	10	169	10	0	5	71	0	183	6	29	7	0	1	65	12
B3GALT6	3	1	4	0	1	0	19	3	0	0	2	0	0	0	0	0	4	0	0	0	0	0	4	0
C1QTNF12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AL162741.1	0	0	2	1	0	0	1	0	0	0	2	0	0	0	1	0	1	0	0	0	1	0	0	1
UBE2J2	3	1	31	38	10	4	43	21	0	8	75	5	3	5	44	1	111	9	21	4	3	5	40	22
LINC01786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0	0	3	2	0	0	1	0	0	0	4	0	1	0	2	0	2	0	0	0	0	0	2	0
ACAP3	1	0	2	4	1	0	7	3	0	2	10	2	0	0	7	0	14	0	2	0	0	0	2	3
PUSL1	8	0	15	7	4	0	20	2	0	0	19	5	0	0	21	0	22	3	10	3	2	1	26	9
INTS11	11	2	64	37	13	6	64	16	0	3	135	10	2	9	70	0	161	8	23	6	4	4	78	23
CPTP	0	0	4	3	0	0	12	5	0	0	6	0	0	0	5	0	9	0	1	0	0	0	2	0
TAS1R3	0	0	1	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	3	0
DVL1	1	0	3	1	0	0	0	0	0	2	6	0	1	0	1	0	5	0	0	1	0	0	1	2
MXRA8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AURKAIP1	31	7	136	87	28	13	175	41	0	14	223	18	10	26	150	2	223	18	62	12	10	6	186	43
CCNL2	6	0	54	40	6	2	83	7	0	4	116	4	3	4	68	0	225	10	13	6	4	4	63	7
MRPL20	21	2	124	60	32	12	136	19	0	10	248	12	11	8	202	1	286	19	63	6	7	4	193	34
AL391244.3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	1	0
ANKRD65	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391244.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATAD3C	1	0	2	1	0	0	2	0	0	0	3	0	0	0	0	0	3	0	1	0	0	0	1	1
ATAD3B	3	1	9	2	2	0	17	0	0	2	23	2	1	0	5	0	21	0	3	0	1	0	6	1
ATAD3A	0	0	1	0	0	0	8	2	0	0	4	0	1	0	1	0	9	0	0	0	0	0	1	0
TMEM240	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SSU72	23	1	102	73	16	12	180	62	0	12	183	7	5	13	121	0	196	7	31	6	2	2	135	35
AL645728.1	1	0	9	7	1	0	14	2	0	0	18	1	0	2	5	0	14	1	2	4	0	0	2	2
FNDC10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL691432.2	1	2	0	2	0	1	9	5	0	0	8	0	0	1	3	0	5	0	0	0	2	0	2	1
MIB2	8	2	13	6	5	1	42	10	0	3	47	3	2	1	28	1	21	1	5	1	0	1	24	6
MMP23B	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
CDK11B	4	0	40	29	6	6	65	6	0	4	98	8	2	1	43	0	126	8	6	5	3	0	42	9
FO704657.1	0	0	0	2	0	0	1	0	0	0	3	1	0	0	0	0	1	0	1	0	0	0	1	0
SLC35E2B	1	0	12	11	1	2	18	8	0	1	36	8	3	0	12	0	121	7	9	6	2	1	12	3
CDK11A	1	0	65	45	7	3	44	12	0	4	133	18	0	5	58	0	208	13	19	8	6	0	51	20
SLC35E2A	3	2	8	4	1	1	5	3	0	0	7	1	0	1	9	0	25	3	0	1	2	0	2	3
NADK	3	0	31	16	4	1	35	8	0	1	66	2	0	3	20	0	65	5	13	4	2	2	25	10
GNB1	7	2	34	28	3	1	30	6	0	1	57	3	2	2	36	0	91	7	10	5	3	0	34	13
AL109917.1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
CALML6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM52	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
CFAP74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391845.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ	3	0	6	6	1	0	21	3	0	0	9	1	1	1	5	0	6	0	2	1	1	0	2	1
AL590822.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ-AS1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FAAP20	14	2	45	32	10	5	216	59	0	10	117	7	3	1	71	0	111	10	25	8	0	2	56	16
SKI	7	0	44	12	3	1	10	1	0	2	89	1	3	1	28	0	47	2	8	3	3	0	38	0
