PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	1
AL627309.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	5	1	23	40	3	4	8	4	0	7	29	18	2	1	32	0	139	4	5	11	3	1	18	29
FAM87B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	2	0	8	23	3	4	21	3	0	1	22	6	2	1	20	0	24	4	7	4	3	0	27	13
FAM41C	3	0	2	2	0	0	2	1	0	2	3	1	0	1	2	1	4	0	0	0	0	0	4	0
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
NOC2L	6	0	101	142	21	19	94	28	2	27	362	46	16	44	172	2	318	28	25	17	9	10	137	59
KLHL17	1	0	2	8	0	0	2	3	0	2	7	0	0	0	2	0	0	1	0	0	0	0	1	0
PLEKHN1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	1	0	0	0	0	0	0	0
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	1	0	0	0	0	0	0	0	1	0	2	0	4	0	1	0	1	0	0	0	2	0
HES4	8	0	1	0	1	0	159	1	0	1	6	0	0	0	12	0	0	0	7	0	0	0	1	0
ISG15	33	9	318	131	35	36	512	56	0	28	629	60	113	39	242	16	253	22	263	13	9	17	389	72
AL645608.2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AGRN	0	0	2	1	1	1	1	0	0	0	5	0	0	1	3	0	0	0	2	0	0	1	1	0
AL645608.9	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	2	0	12	12	4	3	19	12	0	3	32	5	2	6	8	1	45	1	5	1	3	0	18	5
LINC01342	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	2	0	22	1	1	4	20	2	0	1	39	5	27	0	4	1	7	1	9	2	1	0	45	7
TNFRSF4	1	0	9	3	3	0	9	0	0	0	5	0	11	0	4	0	2	0	9	0	0	0	14	1
SDF4	29	11	91	137	32	36	153	55	0	27	365	43	8	13	163	4	334	17	50	23	8	3	117	76
B3GALT6	7	1	5	1	1	0	34	13	0	0	11	2	3	1	3	0	9	1	0	0	0	0	6	1
C1QTNF12	0	0	0	0	0	1	0	0	0	0	2	1	1	0	2	0	0	0	1	0	0	0	1	2
AL162741.1	0	0	3	2	0	0	1	0	0	0	4	0	0	0	1	0	2	0	0	2	1	0	2	2
UBE2J2	9	1	72	176	19	26	93	59	2	24	188	31	10	21	95	4	184	24	41	17	8	14	104	71
LINC01786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0	0	3	8	0	0	2	0	0	0	4	2	1	0	2	0	2	0	0	0	0	0	4	0
ACAP3	2	0	3	10	2	0	10	6	0	6	17	7	0	0	7	1	26	2	4	2	0	1	4	6
PUSL1	9	1	29	36	4	6	33	6	0	4	46	9	5	3	32	0	37	8	16	6	2	3	44	20
INTS11	22	3	144	184	26	51	140	50	0	26	336	56	19	38	143	5	296	28	56	12	6	14	151	80
CPTP	5	2	7	18	1	4	35	19	0	1	21	1	0	1	6	0	17	2	3	3	0	1	8	4
TAS1R3	0	1	1	2	1	3	1	3	0	3	9	4	0	2	0	0	3	5	1	3	0	0	4	3
DVL1	1	0	5	3	0	1	1	0	0	3	10	1	1	1	2	0	10	0	1	2	0	0	1	4
MXRA8	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
AURKAIP1	56	21	293	460	70	58	356	121	4	63	530	69	58	77	294	12	452	55	140	33	21	28	385	197
CCNL2	12	4	105	138	17	15	155	23	0	14	271	22	17	9	130	2	400	37	25	14	5	6	109	35
MRPL20	36	16	259	288	61	44	258	61	6	38	527	41	58	47	359	18	525	42	115	26	25	27	392	108
AL391244.3	0	0	0	1	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	1	0
ANKRD65	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0
AL391244.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATAD3C	1	0	5	29	1	4	3	0	0	0	14	1	0	1	1	0	8	2	1	0	0	1	2	5
ATAD3B	4	1	12	25	4	1	35	4	1	2	49	7	2	3	11	0	30	3	5	2	3	0	12	6
ATAD3A	1	0	1	4	2	0	12	5	0	0	12	0	2	3	2	0	17	1	0	1	1	0	2	0
TMEM240	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
SSU72	49	17	222	426	38	70	406	176	1	36	384	59	26	51	236	14	365	28	71	31	5	17	231	126
AL645728.1	1	0	19	33	1	0	20	4	0	3	46	6	0	5	9	0	33	6	3	6	2	1	6	10
FNDC10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AL691432.2	1	3	4	14	1	1	14	13	0	0	14	0	0	2	5	0	9	0	1	1	2	0	2	2
MIB2	12	6	25	48	9	2	73	30	0	6	87	10	6	3	48	4	35	2	8	4	0	4	36	16
MMP23B	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
CDK11B	7	2	77	100	12	15	100	17	0	17	207	25	12	9	72	0	212	17	15	10	6	3	72	34
FO704657.1	0	1	0	2	0	0	1	1	0	0	5	1	0	1	1	1	2	0	1	2	0	0	2	3
SLC35E2B	4	0	24	53	3	2	33	16	0	2	85	22	9	7	20	1	222	17	12	11	3	1	19	10
CDK11A	4	1	100	191	15	14	78	33	0	13	246	50	11	15	102	2	361	24	31	23	8	9	84	53
SLC35E2A	3	3	21	35	2	10	13	8	0	1	20	2	2	6	21	1	51	6	4	3	3	0	7	10
NADK	13	4	60	58	5	8	73	31	0	6	119	14	6	10	43	4	115	15	18	8	5	5	52	22
GNB1	12	5	62	107	8	13	65	20	1	11	147	14	19	11	61	2	171	16	19	12	4	3	59	34
AL109917.1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0
CALML6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM52	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
CFAP74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391845.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ	4	0	8	13	2	4	40	12	0	1	19	3	2	2	7	0	14	0	3	1	2	0	5	2
AL590822.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PRKCZ-AS1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
FAAP20	42	28	106	137	22	17	428	162	1	25	245	30	8	16	136	7	212	21	35	18	2	8	104	61
SKI	8	0	56	30	7	3	18	2	1	3	146	5	9	1	45	1	77	2	18	6	3	0	60	5
MORN1	1	0	9	7	1	2	9	1	0	1	23	4	0	0	10	2	34	2	2	1	1	0	8	3
RER1	24	7	195	239	42	50	228	71	1	28	395	49	33	35	243	7	371	34	85	25	15	19	227	97
PEX10	1	0	22	47	6	10	29	17	0	12	78	10	0	3	35	1	40	5	5	4	0	1	40	18
PLCH2	0	0	3	5	0	0	7	1	0	0	28	3	0	0	14	1	7	0	2	0	0	1	5	2
AL139246.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139246.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANK4	5	1	21	15	4	1	23	5	0	1	41	5	5	4	23	0	66	5	12	3	1	1	16	5
HES5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139246.5	26	4	34	10	4	1	224	41	0	2	127	13	1	1	52	1	64	4	16	1	2	2	37	13
TNFRSF14-AS1	2	0	29	21	6	2	16	1	0	8	62	8	7	3	28	0	75	7	12	6	4	2	32	21
TNFRSF14	47	13	427	563	79	113	433	171	2	118	1312	228	57	163	466	13	782	86	144	76	22	44	393	260
AL139246.3	0	0	2	1	0	0	0	4	0	1	7	0	0	1	0	1	4	1	2	0	0	2	3	0
FAM213B	1	1	16	16	5	2	17	9	0	1	26	6	2	1	15	3	26	4	3	1	0	0	24	6
MMEL1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
TTC34	0	0	1	2	0	0	0	0	0	0	2	1	0	1	0	0	3	0	0	0	0	0	0	1
LINC00982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL590438.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
MEGF6	0	0	2	23	1	2	11	2	0	1	3	3	3	2	2	1	17	4	0	2	0	0	4	4
AL513320.1	1	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TPRG1L	1	1	15	38	5	0	7	5	0	4	18	4	3	4	10	0	37	0	5	4	2	2	18	8
WRAP73	6	0	53	79	12	5	79	21	0	12	172	11	10	21	77	2	184	13	28	5	3	4	52	24
TP73	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1
AL136528.1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CCDC27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMIM1	3	1	21	22	5	5	16	9	0	3	18	4	7	2	21	1	22	3	15	1	1	1	8	13
LRRC47	6	2	7	17	4	3	40	20	0	8	60	7	2	0	26	2	68	3	6	5	0	2	9	3
AL365330.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP104	2	1	13	21	0	1	60	30	0	3	47	8	1	2	24	3	101	3	5	1	0	2	10	4
DFFB	1	1	6	38	1	2	16	4	0	0	33	1	0	5	20	0	56	5	8	2	0	0	11	6
C1orf174	9	1	76	108	13	15	96	29	0	14	204	20	14	23	66	3	176	21	36	6	8	6	79	36
LINC01134	0	0	1	3	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
AL805961.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL365255.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
