PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	0	0	5	1	10	3	1	0	1	2	0	5	2	1	0	3	2	7	1	1	3	2	3	0
FAM87B	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	0	0	6	0	19	1	2	0	12	1	0	3	5	3	1	1	1	1	2	0	4	6	3	0
FAM41C	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	0	1	32	6	66	22	10	0	33	14	4	21	56	15	10	45	3	27	16	7	19	18	6	0
KLHL17	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0
PLEKHN1	0	0	0	0	2	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
HES4	7	0	1	0	1	0	23	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
ISG15	5	14	194	3	162	27	122	0	77	17	18	133	386	34	46	95	4	48	85	7	126	25	76	0
AL645608.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGRN	0	0	5	0	4	0	0	0	0	0	0	1	6	0	0	1	0	0	0	0	0	0	1	0
AL645608.9	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	0	0	4	0	13	2	3	0	1	0	0	1	6	2	2	2	2	1	1	0	3	0	4	0
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	2	0	6	0	30	0	4	0	12	0	0	0	12	0	5	0	0	0	1	0	2	0	7	0
TNFRSF4	1	0	3	0	16	0	2	0	21	0	1	0	5	0	21	0	0	0	6	0	2	0	12	0
SDF4	5	4	31	5	161	26	31	0	61	14	11	41	31	5	29	81	8	51	24	12	20	6	18	0
B3GALT6	2	1	2	0	4	0	5	0	3	0	0	0	0	3	0	0	0	0	4	1	4	0	1	0
C1QTNF12	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0
AL162741.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
