PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	3	0	8	0	11	1	4	0	2	2	12	1	1	0	11	1	10	2	2	1	7	0	2	1
FAM87B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	1	0	7	1	15	0	4	0	3	2	3	2	1	1	9	1	2	0	4	0	2	0	5	0
FAM41C	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
NOC2L	1	0	45	1	111	7	47	0	9	4	76	8	23	2	59	7	24	4	12	4	25	0	17	3
KLHL17	1	0	3	0	3	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0
PLEKHN1	2	0	1	0	3	0	3	0	1	0	8	0	2	0	2	0	3	0	0	0	2	0	0	0
PERM1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES4	8	0	1	0	1	0	32	0	1	1	1	0	0	0	6	0	0	0	1	1	1	0	0	0
ISG15	23	2	569	4	462	12	378	0	35	29	1607	31	480	6	234	9	365	14	83	7	161	0	273	21
AL645608.2	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0
AGRN	0	0	1	0	4	0	4	0	0	0	1	0	1	0	1	0	0	1	0	0	4	0	2	0
AL645608.9	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	0	0	7	0	17	1	7	0	1	3	23	4	12	0	14	2	2	1	8	0	4	0	3	0
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TTLL10-AS1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TTLL10	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	2	2	0	2	0	13	0	0	0
TNFRSF18	50	1	206	5	977	16	225	0	59	11	329	10	247	4	141	3	107	3	119	21	536	5	85	9
TNFRSF4	31	0	117	2	398	3	225	0	87	2	167	6	116	0	54	2	79	1	57	4	15	1	91	1
SDF4	16	0	71	7	281	16	128	0	15	38	216	20	26	3	165	18	64	12	31	10	55	0	24	16
B3GALT6	2	0	5	0	4	0	23	0	2	1	3	0	2	0	1	0	2	0	1	0	1	0	1	0
C1QTNF12	0	0	1	0	4	0	0	0	1	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0
AL162741.1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
