PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	1	0	1	0	31	0	0	0	5	0	0	0	4	0	1	0	0	0	0	0	1	0	2	0
FAM87B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	0	0	0	0	28	0	0	0	1	0	0	0	6	0	0	0	0	0	3	0	0	0	3	0
FAM41C	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NOC2L	3	0	9	0	160	0	4	0	21	0	3	0	67	0	2	0	0	0	15	0	9	0	15	0
KLHL17	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLEKHN1	0	0	0	0	13	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
HES4	6	0	0	0	26	0	3	0	1	0	1	0	0	0	0	0	0	0	3	0	3	0	1	0
ISG15	4	0	7	0	524	0	11	0	25	0	7	0	447	0	3	0	0	0	32	0	22	0	9	0
AL645608.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGRN	0	0	0	0	35	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0
AL645608.9	0	0	0	0	2	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	1	0	0	0	38	0	0	0	3	0	0	0	10	0	1	0	0	0	2	0	1	0	1	0
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TTLL10	1	0	0	0	5	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0
TNFRSF18	21	0	4	0	502	0	0	0	13	0	3	0	82	0	4	0	0	0	10	0	2	0	25	0
TNFRSF4	16	0	18	0	551	0	5	0	38	0	9	0	85	0	6	0	0	0	29	0	10	0	45	0
SDF4	9	0	11	0	652	0	13	0	25	0	8	0	54	0	18	0	0	0	20	0	9	0	25	0
B3GALT6	1	0	1	0	13	0	0	0	3	0	1	0	5	0	0	0	0	0	2	0	0	0	0	0
C1QTNF12	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AL162741.1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
UBE2J2	4	0	4	0	195	0	6	0	17	0	2	0	33	0	5	0	0	0	7	0	5	0	11	0
LINC01786	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0	0	0	0	6	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACAP3	2	0	1	0	23	0	1	0	3	0	1	0	1	0	0	0	0	0	2	0	0	0	1	0
PUSL1	3	0	1	0	61	0	1	0	4	0	0	0	27	0	1	0	0	0	6	0	1	0	7	0
INTS11	2	0	5	0	293	0	7	0	20	0	5	0	111	0	1	0	0	0	17	0	11	0	15	0
CPTP	1	0	1	0	12	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
TAS1R3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DVL1	0	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0
MXRA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AURKAIP1	14	0	6	0	463	0	12	0	34	0	5	0	142	0	11	0	0	0	37	0	16	0	25	0
CCNL2	5	0	11	0	195	0	7	0	13	0	3	0	34	0	4	0	0	0	11	0	7	0	16	0
MRPL20	14	0	18	0	677	0	13	0	73	0	3	0	233	0	8	0	0	0	46	0	29	0	46	0
AL391244.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD65	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AL391244.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01770	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	1	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATAD3C	0	0	0	0	17	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0
ATAD3B	1	0	3	0	32	0	4	0	3	0	0	0	3	0	0	0	0	0	1	0	0	0	9	0
ATAD3A	1	0	1	0	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0
TMEM240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSU72	14	0	9	0	363	0	11	0	18	0	7	0	122	0	6	0	0	0	29	0	5	0	16	0
AL645728.1	1	0	1	0	19	0	1	0	6	0	0	0	20	0	0	0	0	0	1	0	3	0	0	0
FNDC10	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
AL691432.2	1	0	0	0	10	0	1	0	0	0	0	0	3	0	0	0	0	0	3	0	1	0	0	0
MIB2	1	0	1	0	58	0	5	0	3	0	2	0	13	0	3	0	0	0	2	0	2	0	5	0
MMP23B	1	0	1	0	9	0	0	0	0	0	1	0	5	0	0	0	0	0	1	0	0	0	1	0
CDK11B	0	0	8	0	118	0	2	0	8	0	2	0	43	0	2	0	0	0	5	0	4	0	7	0
FO704657.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SLC35E2B	0	0	3	0	18	0	0	0	2	0	0	0	20	0	0	0	0	0	5	0	1	0	1	0
CDK11A	2	0	10	0	121	0	3	0	9	0	3	0	60	0	0	0	0	0	5	0	7	0	19	0
SLC35E2A	0	0	0	0	15	0	0	0	1	0	1	0	5	0	2	0	0	0	2	0	2	0	5	0
NADK	3	0	0	0	14	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0
GNB1	7	0	10	0	191	0	3	0	8	0	3	0	52	0	1	0	0	0	14	0	5	0	18	0
AL109917.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALML6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM52	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CFAP74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391845.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
