PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	1	0	6	0	8	0	0	0	1	0	0	0	4	0	1	0	0	0	4	0	19	0	2	0
FAM87B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
LINC00115	1	0	9	0	21	0	3	0	3	0	0	0	10	0	0	0	0	0	9	0	37	0	5	0
FAM41C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	5	0	0	0
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	2	0	33	0	41	0	7	0	10	0	0	0	33	0	8	0	0	0	21	0	137	0	18	0
KLHL17	2	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0
PLEKHN1	0	0	2	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
PERM1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AL645608.8	0	0	9	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	3	0	18	0	3	0
HES4	30	0	3	0	7	0	23	0	0	0	0	0	0	0	2	0	0	0	3	0	7	0	0	0
ISG15	55	0	345	0	310	0	43	0	16	0	0	0	795	0	43	0	6	0	161	0	1244	0	59	0
AL645608.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0
AGRN	2	0	8	0	8	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	17	0	1	0
AL645608.9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
C1orf159	0	0	1	0	8	0	0	0	3	0	0	0	8	0	0	0	0	0	6	0	22	0	1	0
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	0	0	12	0	18	0	1	0	7	0	0	0	23	0	1	0	0	0	8	0	10	0	1	0
TNFRSF4	2	0	12	0	17	0	7	0	5	0	0	0	10	0	7	0	0	0	15	0	39	0	15	0
SDF4	18	0	64	0	108	0	15	0	26	0	0	0	26	0	26	0	3	0	34	0	244	0	24	0
B3GALT6	1	0	6	0	9	0	2	0	1	0	0	0	4	0	0	0	1	0	5	0	30	0	4	0
C1QTNF12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
AL162741.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
UBE2J2	4	0	25	0	31	0	7	0	6	0	0	0	31	0	7	0	0	0	16	0	112	0	12	0
LINC01786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0	0	2	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0
ACAP3	3	0	3	0	6	0	1	0	3	0	0	0	1	0	0	0	1	0	2	0	17	0	0	0
PUSL1	2	0	5	0	13	0	3	0	5	0	0	0	14	0	1	0	0	0	8	0	50	0	6	0
INTS11	10	0	46	0	48	0	3	0	14	0	0	0	50	0	5	0	0	0	37	0	156	0	18	0
CPTP	0	0	2	0	5	0	4	0	4	0	0	0	0	0	0	0	0	0	1	0	17	0	2	0
TAS1R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DVL1	0	0	1	0	5	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	20	0	1	0
MXRA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
AURKAIP1	26	0	119	0	176	0	33	0	51	0	0	0	135	0	15	0	2	0	96	0	562	0	44	0
CCNL2	3	0	27	0	31	0	8	0	8	0	0	0	22	0	9	0	1	0	15	0	127	0	16	0
