PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	0	0	2	0	4	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	33	0	1	0
FAM87B	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LINC00115	0	0	1	0	6	0	3	0	1	0	0	0	13	0	2	0	0	0	0	0	70	0	9	0
FAM41C	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	3	0	32	0	31	0	10	0	18	0	0	0	33	0	3	0	0	0	3	0	206	0	14	0
KLHL17	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	1	0
PLEKHN1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AL645608.8	2	0	3	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	13	0	0	0
HES4	4	0	0	0	1	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ISG15	28	0	214	0	525	0	83	0	84	0	0	0	2059	0	20	0	0	0	26	0	2027	0	32	0
AL645608.2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
AGRN	2	0	3	0	5	0	0	0	2	0	0	0	9	0	2	0	0	0	1	0	20	0	0	0
AL645608.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
C1orf159	0	0	3	0	6	0	0	0	1	0	0	0	7	0	2	0	0	0	0	0	20	0	4	0
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	1	0	3	0	10	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	17	0	0	0
TNFRSF4	2	0	8	0	6	0	7	0	0	0	0	0	2	0	1	0	0	0	1	0	67	0	3	0
SDF4	11	0	54	0	124	0	54	0	37	0	0	0	36	0	11	0	0	0	13	0	449	0	30	0
B3GALT6	0	0	2	0	12	0	9	0	2	0	0	0	4	0	0	0	0	0	1	0	32	0	4	0
C1QTNF12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
AL162741.1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
UBE2J2	1	0	20	0	30	0	11	0	19	0	0	0	40	0	5	0	0	0	7	0	171	0	15	0
LINC01786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0
ACAP3	0	0	1	0	9	0	4	0	0	0	0	0	5	0	1	0	0	0	0	0	20	0	2	0
PUSL1	0	0	7	0	11	0	7	0	6	0	0	0	19	0	2	0	0	0	3	0	89	0	3	0
INTS11	1	0	21	0	35	0	15	0	22	0	0	0	47	0	3	0	0	0	5	0	224	0	25	0
CPTP	1	0	6	0	1	0	6	0	3	0	0	0	3	0	0	0	0	0	0	0	21	0	0	0
TAS1R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DVL1	0	0	0	0	1	0	1	0	3	0	0	0	3	0	0	0	0	0	1	0	17	0	2	0
MXRA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AURKAIP1	11	0	99	0	187	0	71	0	57	0	0	0	198	0	14	0	0	0	33	0	840	0	51	0
CCNL2	1	0	21	0	32	0	4	0	10	0	0	0	27	0	5	0	0	0	2	0	173	0	9	0
MRPL20	19	0	87	0	159	0	63	0	98	0	0	0	200	0	15	0	0	0	26	0	906	0	61	0
AL391244.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD65	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	12	0	0	0
AL391244.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01770	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ATAD3C	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ATAD3B	1	0	3	0	8	0	4	0	3	0	0	0	8	0	4	0	0	0	0	0	10	0	4	0
ATAD3A	2	0	1	0	11	0	4	0	5	0	0	0	5	0	0	0	0	0	1	0	37	0	1	0
TMEM240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SSU72	8	0	38	0	70	0	48	0	36	0	0	0	62	0	8	0	0	0	9	0	391	0	34	0
AL645728.1	0	0	1	0	5	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	19	0	1	0
FNDC10	2	0	3	0	4	0	2	0	3	0	0	0	3	0	0	0	0	0	1	0	17	0	0	0
AL691432.2	0	0	4	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	19	0	1	0
MIB2	1	0	0	0	2	0	1	0	2	0	0	0	3	0	0	0	0	0	2	0	24	0	0	0
MMP23B	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CDK11B	1	0	13	0	31	0	6	0	26	0	0	0	26	0	3	0	0	0	2	0	133	0	9	0
FO704657.1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
SLC35E2B	0	0	3	0	5	0	0	0	1	0	0	0	13	0	0	0	0	0	0	0	44	0	0	0
CDK11A	0	0	7	0	30	0	9	0	13	0	0	0	26	0	0	0	0	0	1	0	187	0	5	0
SLC35E2A	0	0	3	0	6	0	2	0	1	0	0	0	3	0	2	0	0	0	2	0	16	0	1	0
NADK	2	0	28	0	41	0	17	0	17	0	0	0	45	0	5	0	0	0	6	0	231	0	15	0
GNB1	9	0	46	0	102	0	13	0	39	0	0	0	87	0	7	0	0	0	7	0	499	0	26	0
AL109917.1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
CALML6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TMEM52	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0
CFAP74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRD	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391845.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ	0	0	2	0	3	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	2	0
AL590822.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAAP20	12	0	19	0	62	0	36	0	19	0	0	0	29	0	7	0	0	0	5	0	228	0	17	0
SKI	3	0	19	0	28	0	12	0	14	0	0	0	24	0	0	0	0	0	3	0	173	0	10	0
MORN1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	11	0	0	0
RER1	9	0	93	0	168	0	64	0	84	0	0	0	163	0	14	0	0	0	27	0	883	0	57	0
PEX10	0	0	16	0	19	0	2	0	6	0	0	0	14	0	2	0	0	0	0	0	120	0	11	0
PLCH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139246.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139246.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANK4	0	0	6	0	7	0	1	0	2	0	0	0	14	0	1	0	0	0	1	0	56	0	0	0
HES5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
AL139246.5	3	0	7	0	16	0	21	0	1	0	0	0	11	0	1	0	0	0	0	0	41	0	3	0
TNFRSF14-AS1	1	0	4	0	7	0	1	0	7	0	0	0	4	0	0	0	0	0	1	0	35	0	2	0
TNFRSF14	8	0	96	0	155	0	43	0	51	0	0	0	199	0	8	0	0	0	22	0	673	0	38	0
AL139246.3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FAM213B	1	0	8	0	15	0	4	0	3	0	0	0	7	0	1	0	0	0	1	0	58	0	4	0
MMEL1	0	0	5	0	9	0	1	0	3	0	0	0	3	0	0	0	0	0	0	0	47	0	1	0
TTC34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00982	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
AL590438.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEGF6	0	0	1	0	5	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0
AL513320.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPRG1L	1	0	5	0	10	0	3	0	4	0	0	0	5	0	0	0	0	0	1	0	51	0	3	0
WRAP73	3	0	11	0	23	0	10	0	13	0	0	0	27	0	2	0	0	0	2	0	147	0	5	0
TP73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL136528.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMIM1	1	0	3	0	10	0	1	0	2	0	0	0	5	0	0	0	0	0	1	0	44	0	4	0
LRRC47	0	0	4	0	15	0	7	0	5	0	0	0	9	0	0	0	0	0	4	0	30	0	4	0
AL365330.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
