PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	1	0	10	0	14	0	2	0	40	0	0	0	9	0	2	0	0	0	5	0	56	0	4	0
FAM87B	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0
LINC00115	1	0	14	0	37	0	10	0	52	0	0	0	41	0	3	0	0	0	12	0	116	0	14	0
FAM41C	0	0	1	0	0	0	1	0	8	0	0	0	1	0	1	0	0	0	1	0	5	0	0	0
AL645608.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	5	0	69	0	106	0	29	0	241	0	2	0	123	0	16	0	0	0	31	0	379	0	41	0
KLHL17	3	0	1	0	4	0	2	0	17	0	0	0	7	0	0	0	0	0	0	0	13	0	1	0
PLEKHN1	0	0	2	0	3	0	1	0	8	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0
PERM1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
AL645608.8	2	0	12	0	8	0	0	0	2	0	0	0	15	0	1	0	0	0	3	0	35	0	3	0
HES4	39	0	3	0	12	0	89	0	2	0	0	0	1	0	5	0	0	0	4	0	10	0	0	0
ISG15	83	0	656	0	1149	0	213	0	974	0	1	0	5230	0	102	0	10	0	255	0	3770	0	99	0
AL645608.2	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	6	0	0	0
AGRN	4	0	13	0	20	0	2	0	22	0	0	0	34	0	3	0	0	0	3	0	44	0	2	0
AL645608.9	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
C1orf159	0	0	6	0	15	0	2	0	27	0	0	0	22	0	2	0	0	0	9	0	55	0	9	0
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	1	0	17	0	52	0	2	0	115	0	0	0	66	0	2	0	0	0	22	0	39	0	1	0
TNFRSF4	4	0	23	0	44	0	22	0	128	0	0	0	21	0	8	0	0	0	32	0	121	0	25	0
SDF4	29	0	135	0	339	0	120	0	521	0	0	0	136	0	51	0	4	0	62	0	784	0	56	0
B3GALT6	1	0	9	0	24	0	18	0	27	0	1	0	20	0	0	0	1	0	6	0	71	0	8	0
C1QTNF12	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
AL162741.1	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0
UBE2J2	5	0	53	0	85	0	35	0	237	0	0	0	118	0	18	0	1	0	30	0	332	0	32	0
LINC01786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0	0	2	0	4	0	1	0	8	0	0	0	1	0	0	0	0	0	0	0	11	0	1	0
ACAP3	3	0	7	0	22	0	7	0	26	0	0	0	16	0	2	0	1	0	2	0	53	0	3	0
PUSL1	3	0	13	0	40	0	14	0	91	0	1	0	66	0	3	0	0	0	15	0	153	0	10	0
INTS11	11	0	80	0	120	0	32	0	308	0	1	0	172	0	9	0	1	0	50	0	437	0	49	0
CPTP	1	0	8	0	12	0	13	0	17	0	0	0	10	0	0	0	0	0	3	0	46	0	4	0
TAS1R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DVL1	0	0	1	0	12	0	3	0	38	0	0	0	11	0	2	0	0	0	3	0	52	0	3	0
MXRA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
AURKAIP1	40	0	258	0	554	0	202	0	1181	0	1	0	713	0	43	0	2	0	168	0	1699	0	124	0
CCNL2	4	0	52	0	78	0	22	0	173	0	2	0	95	0	19	0	2	0	24	0	348	0	27	0
MRPL20	30	0	255	0	432	0	182	0	1451	0	2	0	655	0	45	0	6	0	155	0	1648	0	127	0
AL391244.3	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ANKRD65	2	0	1	0	3	0	1	0	8	0	0	0	11	0	0	0	0	0	5	0	22	0	0	0
AL391244.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01770	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ATAD3C	0	0	2	0	2	0	0	0	13	0	0	0	2	0	0	0	0	0	0	0	3	0	1	0
ATAD3B	3	0	12	0	17	0	16	0	47	0	0	0	21	0	4	0	0	0	5	0	27	0	9	0
ATAD3A	3	0	3	0	24	0	7	0	33	0	0	0	22	0	2	0	1	0	6	0	69	0	3	0
TMEM240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SSU72	27	0	119	0	219	0	137	0	582	0	3	0	230	0	25	0	3	0	97	0	746	0	72	0
AL645728.1	0	0	4	0	10	0	2	0	17	0	0	0	16	0	1	0	0	0	7	0	39	0	3	0
FNDC10	3	0	11	0	9	0	4	0	26	0	0	0	12	0	0	0	0	0	4	0	30	0	1	0
AL691432.2	2	0	6	0	4	0	1	0	12	0	0	0	11	0	1	0	1	0	1	0	28	0	2	0
MIB2	3	0	5	0	13	0	5	0	32	0	0	0	18	0	3	0	0	0	11	0	52	0	2	0
