PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	4	0	0	0	1	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	0	29	1	10	0	7	0	2	0	56	2	53	0	11	1	112	0	99	0	13	0	29	0	13
FAM87B	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
LINC00115	0	10	0	3	0	4	2	0	0	18	1	16	0	13	0	77	0	30	0	8	0	9	0	9
FAM41C	0	19	0	0	0	0	0	1	0	10	0	13	0	3	0	18	0	4	0	1	0	1	0	4
AL645608.3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	0	65	3	21	0	61	2	27	0	233	5	176	0	119	5	880	0	342	1	38	2	91	0	66
KLHL17	0	13	1	0	0	5	0	4	1	22	0	16	0	9	0	41	0	11	0	4	0	6	0	1
PLEKHN1	0	3	0	1	0	1	0	0	0	9	0	3	0	1	0	22	0	13	0	1	0	0	0	0
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	0	0	0	0	0	0	0	2	0	4	0	1	1	7	0	1	0	4	0	1	1	2
HES4	0	276	0	0	0	0	3	137	0	18	1	19	0	0	0	144	0	4	0	1	0	2	0	3
ISG15	0	408	21	38	1	229	44	105	9	1024	64	2170	2	568	16	2939	0	796	4	128	3	435	2	246
AL645608.2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGRN	0	4	0	1	0	5	1	3	0	7	1	20	0	3	0	30	0	9	0	1	0	2	0	0
AL645608.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	0	18	1	1	0	8	0	5	1	20	0	37	0	15	0	93	0	34	0	5	0	11	1	11
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	0	2	0	0	0	0	0	0	0	3	0	1	0	0	1	2	0	0	1	0	0	0	0	0
TNFRSF4	0	5	0	0	0	0	1	0	0	1	0	3	0	1	0	4	0	1	1	0	0	0	0	1
SDF4	1	178	9	23	0	94	21	52	1	343	9	267	0	69	5	1724	0	762	3	85	1	104	2	76
B3GALT6	0	23	0	4	0	6	2	4	0	36	0	14	0	16	1	118	0	29	1	6	0	14	0	4
C1QTNF12	0	7	0	0	0	3	0	0	0	10	1	4	0	2	0	16	0	4	0	2	0	0	0	0
AL162741.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	1	0	0	0	0
UBE2J2	1	122	8	24	0	83	11	43	2	272	9	196	0	112	5	953	0	368	2	78	0	128	3	54
LINC01786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0	1	0	1	0	2	1	0	0	4	0	7	0	6	0	18	0	4	0	0	0	2	0	2
ACAP3	1	91	3	16	1	25	6	13	1	151	4	128	0	60	0	347	0	98	0	37	0	42	0	19
PUSL1	0	57	6	3	0	24	3	7	0	78	1	52	0	49	0	268	0	81	1	22	0	39	0	13
INTS11	0	96	12	29	1	99	15	35	4	316	8	268	0	152	2	1071	0	493	0	65	0	127	1	62
CPTP	0	13	0	3	0	5	1	6	0	22	1	9	0	12	0	101	0	38	1	7	0	7	0	4
TAS1R3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0
DVL1	0	25	0	2	0	9	0	1	0	35	2	21	0	20	0	98	0	20	0	12	0	6	0	3
MXRA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AURKAIP1	2	499	38	85	2	356	58	149	10	1352	43	842	7	695	18	3619	0	1348	12	334	3	541	7	361
CCNL2	1	94	12	28	0	48	10	11	1	196	10	196	1	100	5	671	0	372	1	75	2	68	0	39
MRPL20	2	388	23	59	2	223	33	72	8	1043	30	606	7	520	20	3142	0	1242	1	164	5	446	9	235
AL391244.3	0	7	0	1	0	1	0	0	0	8	0	8	0	6	0	19	0	4	0	1	0	6	0	0
ANKRD65	0	2	0	0	0	0	0	0	0	1	0	1	0	2	0	3	0	6	0	1	0	1	0	0
AL391244.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATAD3C	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0
ATAD3B	1	20	1	2	0	7	0	2	1	51	3	44	0	25	3	119	0	31	0	14	0	4	0	12
ATAD3A	0	26	1	5	0	3	0	11	0	34	1	28	0	25	0	96	0	26	0	8	0	12	0	5
TMEM240	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSU72	2	390	17	55	2	147	24	145	4	558	13	446	2	234	8	1809	0	578	6	123	0	249	1	113
AL645728.1	0	8	4	1	0	6	0	10	0	17	2	13	0	9	1	65	0	42	0	7	0	6	0	6
FNDC10	0	13	0	4	0	7	0	1	0	36	2	37	0	23	1	120	0	32	0	11	0	6	0	4
AL691432.2	0	22	0	2	0	5	2	3	0	22	0	20	0	7	0	83	0	14	0	7	0	6	1	6
MIB2	0	66	0	5	0	10	4	8	0	53	1	39	0	19	0	131	0	29	0	14	0	15	1	2
MMP23B	0	14	0	0	0	0	0	0	0	4	0	3	0	2	0	5	0	1	0	2	0	2	0	0
CDK11B	0	69	9	19	0	57	7	22	4	200	3	201	0	59	1	467	0	277	2	57	0	67	0	32
FO704657.1	0	6	1	0	0	2	1	0	0	1	0	4	0	0	0	12	0	4	0	1	1	2	0	2
SLC35E2B	0	20	0	7	0	16	2	2	0	56	2	58	1	30	3	185	0	192	0	18	1	40	1	9
CDK11A	0	70	3	48	0	62	4	20	0	195	10	284	3	106	3	757	0	352	1	72	0	89	1	78
SLC35E2A	0	67	2	3	0	11	3	3	0	23	0	17	1	13	2	151	0	48	0	0	0	9	0	2
NADK	0	256	21	75	1	186	30	58	2	872	11	586	1	347	7	2764	0	1199	6	156	0	318	6	115
GNB1	2	298	18	71	1	92	11	42	9	771	27	565	4	244	10	1948	0	645	4	157	0	190	5	143
AL109917.1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0
CALML6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
TMEM52	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	4	0	0	0	0	0	0	0	0
CFAP74	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GABRD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
AL391845.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ	0	5	0	0	0	1	1	2	0	13	1	15	0	3	0	46	0	18	0	8	1	4	0	3
AL590822.2	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	6	0	4	0	5	0	0	0	0
PRKCZ-AS1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	3	0	0	0	0	0	0	0	1
FAAP20	5	570	8	33	0	96	42	113	2	386	10	280	0	113	7	1188	0	344	2	103	5	125	4	92
SKI	1	23	1	4	0	10	4	5	1	65	3	70	0	11	1	223	0	107	1	21	0	18	0	9
