PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	0	0	2	0	11	1	1	0	1	2	0	1	1	0	2	8	5	0	0	1	4	2	0	0
FAM87B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	0	0	4	0	28	0	4	0	5	0	0	0	3	0	0	3	2	0	3	1	9	0	1	0
FAM41C	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NOC2L	0	0	5	3	92	4	21	0	17	7	0	4	7	3	1	56	1	2	6	1	14	2	4	0
KLHL17	0	0	0	1	7	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0
PLEKHN1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	2	1	0	0	0	1	0	0	0
PERM1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	2	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
HES4	2	0	0	0	5	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ISG15	1	0	106	0	350	12	74	0	6	12	0	52	122	15	1	144	17	17	21	3	110	7	3	0
AL645608.2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGRN	0	0	3	0	4	0	4	0	0	0	0	2	3	0	0	2	0	0	0	0	2	0	0	0
AL645608.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	1	0	1	1	14	0	3	0	1	0	0	1	3	0	1	2	0	0	0	0	4	0	0	0
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	0	0	4	0	20	0	3	0	4	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0
TNFRSF4	0	0	0	0	21	0	35	0	4	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0
SDF4	1	0	4	0	296	8	98	0	17	15	0	8	5	2	6	154	2	5	5	3	26	1	4	0
B3GALT6	0	0	0	0	9	0	11	0	3	0	0	0	1	2	0	4	0	0	0	0	2	0	0	0
C1QTNF12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AL162741.1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
