PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	0	0	0	0	0	1	0	1	0	3	0	6	0	1	0	3	0	0	0	2	0	2	0	3
FAM87B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	0	2	0	0	0	1	0	0	0	3	0	4	0	1	0	2	0	0	0	0	0	0	0	4
FAM41C	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	0	4	0	4	0	11	0	5	0	24	0	35	0	12	0	69	0	0	0	2	0	9	0	27
KLHL17	0	2	0	0	0	0	0	1	0	1	0	7	0	0	0	1	0	0	0	0	0	0	0	1
PLEKHN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
HES4	0	47	0	0	0	0	0	12	0	5	0	8	0	0	0	20	0	0	0	1	0	0	0	3
ISG15	0	43	0	3	0	28	0	12	0	134	0	360	0	112	0	202	0	0	0	16	0	39	0	90
AL645608.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGRN	0	1	0	0	0	2	0	1	0	1	0	3	0	1	0	1	0	0	0	0	0	0	0	0
AL645608.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	0	1	0	0	0	2	0	0	0	1	0	4	0	1	0	5	0	0	0	0	0	1	0	3
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDF4	0	20	0	1	0	11	0	6	0	28	0	27	0	7	0	90	0	0	0	7	0	4	0	17
B3GALT6	0	2	0	0	0	1	0	1	0	3	0	1	0	3	0	3	0	0	0	0	0	1	0	1
C1QTNF12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AL162741.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
UBE2J2	0	8	0	2	0	9	0	4	0	20	0	19	0	15	0	45	0	0	0	10	0	10	0	14
LINC01786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACAP3	0	4	0	1	0	4	0	1	0	3	0	15	0	2	0	23	0	0	0	0	0	2	0	4
PUSL1	0	5	0	0	0	2	0	0	0	4	0	4	0	9	0	19	0	0	0	3	0	2	0	2
INTS11	0	8	0	2	0	16	0	2	0	25	0	43	0	17	0	58	0	0	0	7	0	3	0	13
CPTP	0	1	0	0	0	1	0	0	0	2	0	2	0	1	0	2	0	0	0	0	0	0	0	2
TAS1R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DVL1	0	3	0	0	0	4	0	0	0	1	0	1	0	0	0	6	0	0	0	0	0	0	0	0
MXRA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AURKAIP1	0	38	0	9	0	62	0	15	0	119	0	112	0	75	0	196	0	0	0	30	0	37	0	89
CCNL2	0	6	0	1	0	5	0	2	0	8	0	26	0	12	0	20	0	0	0	4	0	2	0	5
MRPL20	0	45	0	3	0	37	0	4	0	112	0	97	0	65	0	202	0	0	0	16	0	36	0	66
AL391244.3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD65	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391244.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATAD3C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATAD3B	0	5	0	0	0	1	0	1	0	4	0	8	0	1	0	4	0	0	0	0	0	3	0	3
ATAD3A	0	0	0	1	0	0	0	2	0	1	0	1	0	3	0	6	0	0	0	1	0	2	0	0
