PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	0	21	0	3	0	4	0	0	0	16	0	29	0	7	0	11	0	0	0	6	0	18	0	3
FAM87B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LINC00115	0	7	0	1	0	0	0	0	0	3	0	7	0	7	0	2	0	0	0	3	0	4	0	1
FAM41C	0	14	0	0	0	0	0	0	0	1	0	9	0	3	0	2	0	0	0	0	0	1	0	1
AL645608.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	0	51	0	8	0	20	0	3	0	50	0	76	0	55	0	51	0	0	0	17	0	50	0	9
KLHL17	0	9	0	0	0	3	0	2	0	1	0	7	0	6	0	1	0	0	0	0	0	5	0	0
PLEKHN1	0	3	0	0	0	0	0	0	0	4	0	2	0	1	0	1	0	0	0	0	0	0	0	0
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	3	0	0	0	1
HES4	0	23	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ISG15	0	254	0	19	0	103	0	18	0	245	0	1152	0	317	0	233	0	0	0	60	0	240	0	67
AL645608.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGRN	0	3	0	1	0	0	0	0	0	3	0	14	0	2	0	2	0	0	0	1	0	2	0	0
AL645608.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	0	10	0	0	0	3	0	1	0	2	0	22	0	10	0	4	0	0	0	2	0	7	0	2
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF4	0	4	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0
SDF4	0	112	0	14	0	41	0	14	0	96	0	149	0	39	0	90	0	0	0	38	0	70	0	13
B3GALT6	0	19	0	3	0	3	0	1	0	12	0	11	0	10	0	6	0	0	0	4	0	11	0	1
C1QTNF12	0	7	0	0	0	1	0	0	0	3	0	2	0	1	0	2	0	0	0	0	0	0	0	0
AL162741.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
UBE2J2	0	75	0	10	0	38	0	7	0	71	0	109	0	58	0	45	0	0	0	29	0	71	0	14
LINC01786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0	1	0	1	0	2	0	0	0	0	0	5	0	5	0	2	0	0	0	0	0	2	0	0
ACAP3	0	69	0	6	0	10	0	4	0	37	0	86	0	40	0	19	0	0	0	19	0	30	0	3
PUSL1	0	41	0	1	0	14	0	1	0	21	0	32	0	23	0	13	0	0	0	12	0	26	0	6
INTS11	0	63	0	12	0	37	0	7	0	65	0	111	0	71	0	58	0	0	0	23	0	83	0	21
CPTP	0	9	0	1	0	1	0	0	0	4	0	4	0	10	0	4	0	0	0	4	0	5	0	2
TAS1R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DVL1	0	16	0	0	0	2	0	1	0	12	0	15	0	15	0	5	0	0	0	5	0	4	0	1
MXRA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AURKAIP1	0	366	0	36	0	163	0	37	0	381	0	492	0	463	0	220	0	0	0	163	0	362	0	111
CCNL2	0	75	0	12	0	22	0	2	0	54	0	111	0	70	0	44	0	0	0	29	0	44	0	14
MRPL20	0	265	0	26	0	89	0	24	0	295	0	330	0	333	0	198	0	0	0	83	0	304	0	68
AL391244.3	0	5	0	1	0	1	0	0	0	1	0	6	0	6	0	3	0	0	0	0	0	5	0	0
ANKRD65	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0
AL391244.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATAD3C	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ATAD3B	0	13	0	1	0	4	0	0	0	18	0	23	0	21	0	6	0	0	0	9	0	1	0	2
ATAD3A	0	18	0	3	0	1	0	1	0	6	0	20	0	18	0	6	0	0	0	4	0	8	0	3
TMEM240	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSU72	0	242	0	26	0	59	0	23	0	137	0	240	0	131	0	90	0	0	0	60	0	160	0	31
AL645728.1	0	6	0	0	0	4	0	2	0	4	0	5	0	8	0	2	0	0	0	2	0	3	0	2
FNDC10	0	10	0	2	0	2	0	0	0	11	0	23	0	13	0	9	0	0	0	7	0	3	0	0
AL691432.2	0	17	0	1	0	3	0	1	0	9	0	7	0	6	0	4	0	0	0	3	0	3	0	3
MIB2	0	51	0	1	0	3	0	0	0	10	0	25	0	15	0	15	0	0	0	5	0	9	0	0
MMP23B	0	14	0	0	0	0	0	0	0	2	0	2	0	2	0	1	0	0	0	1	0	2	0	0
CDK11B	0	50	0	5	0	25	0	4	0	47	0	98	0	32	0	35	0	0	0	20	0	46	0	11
FO704657.1	0	4	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1
SLC35E2B	0	11	0	1	0	8	0	0	0	12	0	38	0	21	0	16	0	0	0	9	0	22	0	0
CDK11A	0	55	0	16	0	30	0	4	0	48	0	152	0	66	0	29	0	0	0	36	0	54	0	20
SLC35E2A	0	55	0	0	0	4	0	0	0	5	0	9	0	8	0	9	0	0	0	0	0	5	0	1
NADK	0	177	0	16	0	73	0	11	0	184	0	291	0	183	0	137	0	0	0	60	0	175	0	25
GNB1	0	216	0	30	0	35	0	11	0	210	0	328	0	149	0	124	0	0	0	64	0	131	0	32
AL109917.1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALML6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TMEM52	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CFAP74	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391845.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ	0	3	0	0	0	0	0	0	0	4	0	8	0	3	0	1	0	0	0	4	0	2	0	1
AL590822.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
PRKCZ-AS1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
FAAP20	0	414	0	12	0	37	0	32	0	115	0	174	0	66	0	70	0	0	0	49	0	86	0	23
SKI	0	17	0	1	0	4	0	4	0	17	0	31	0	8	0	16	0	0	0	8	0	15	0	4
MORN1	0	3	0	0	0	0	0	0	0	1	0	5	0	2	0	0	0	0	0	0	0	0	0	0
RER1	0	180	0	20	0	55	0	16	0	177	0	205	0	108	0	110	0	0	0	56	0	110	0	29
PEX10	0	8	0	0	0	7	0	3	0	11	0	15	0	4	0	6	0	0	0	8	0	7	0	3
PLCH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139246.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AL139246.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANK4	0	13	0	1	0	4	0	0	0	4	0	14	0	10	0	4	0	0	0	4	0	12	0	3
HES5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AL139246.5	0	55	0	2	0	1	0	2	0	7	0	13	0	9	0	7	0	0	0	8	0	6	0	2
TNFRSF14-AS1	0	13	0	1	0	2	0	1	0	4	0	10	0	4	0	7	0	0	0	7	0	4	0	4
TNFRSF14	0	257	0	21	0	87	0	21	0	243	0	354	0	270	0	171	0	0	0	75	0	294	0	45
AL139246.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
FAM213B	0	6	0	1	0	2	0	1	0	9	0	5	0	6	0	4	0	0	0	1	0	4	0	2
MMEL1	0	4	0	0	0	4	0	1	0	7	0	1	0	3	0	0	0	0	0	1	0	9	0	0
TTC34	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	1
LINC00982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL590438.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEGF6	0	11	0	0	0	2	0	1	0	7	0	2	0	2	0	4	0	0	0	0	0	2	0	1
AL513320.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPRG1L	0	14	0	3	0	6	0	1	0	16	0	37	0	20	0	8	0	0	0	8	0	14	0	4
WRAP73	0	19	0	3	0	17	0	5	0	20	0	39	0	28	0	18	0	0	0	12	0	27	0	10
TP73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL136528.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMIM1	0	16	0	0	0	4	0	1	0	11	0	9	0	6	0	7	0	0	0	2	0	10	0	3
LRRC47	0	39	0	3	0	5	0	4	0	31	0	52	0	23	0	27	0	0	0	10	0	15	0	3
AL365330.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP104	0	18	0	4	0	6	0	1	0	17	0	27	0	17	0	24	0	0	0	11	0	15	0	1
DFFB	0	3	0	0	0	1	0	0	0	3	0	4	0	7	0	6	0	0	0	2	0	8	0	1
C1orf174	0	17	0	6	0	8	0	1	0	27	0	39	0	17	0	11	0	0	0	7	0	26	0	3
LINC01134	0	1	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	1	0	0	0	0
AL805961.2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL365255.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHP4	0	13	0	0	0	1	0	0	0	6	0	9	0	7	0	2	0	0	0	2	0	5	0	0
KCNAB2	0	122	0	22	0	48	0	12	0	156	0	210	0	168	0	86	0	0	0	58	0	167	0	22
CHD5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL22	0	2876	0	547	0	1358	0	215	0	3274	0	4507	0	3271	0	2226	0	0	0	1341	0	3045	0	634
AL031847.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF207	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ICMT	0	18	0	2	0	2	0	2	0	20	0	17	0	10	0	20	0	0	0	8	0	10	0	7
LINC00337	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR153	0	2	0	0	0	1	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1
ACOT7	0	4	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0
AL031848.2	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	3	0	0	0	0	0	2	0	0
HES2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESPN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	0	6	0	0	0	0	0	0	0	5	0	0	0	1	0	2	0	0	0	0	0	1	0	0
PLEKHG5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOL9	0	18	0	3	0	3	0	2	0	11	0	23	0	12	0	9	0	0	0	3	0	10	0	1
TAS1R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB48	0	44	0	1	0	7	0	3	0	21	0	34	0	34	0	12	0	0	0	8	0	31	0	4
KLHL21	0	11	0	2	0	3	0	2	0	4	0	22	0	9	0	6	0	0	0	1	0	10	0	2
PHF13	0	7	0	3	0	2	0	0	0	14	0	24	0	8	0	11	0	0	0	6	0	1	0	4
THAP3	0	20	0	1	0	9	0	1	0	13	0	15	0	13	0	13	0	0	0	3	0	11	0	4
DNAJC11	0	16	0	3	0	6	0	2	0	26	0	21	0	17	0	15	0	0	0	6	0	15	0	5
AL591163.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-DT	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CAMTA1	0	254	0	12	0	52	0	11	0	143	0	147	0	72	0	66	0	0	0	42	0	78	0	23
VAMP3	0	168	0	29	0	44	0	11	0	160	0	248	0	105	0	70	0	0	0	46	0	116	0	35
PER3	0	3	0	1	0	0	0	0	0	0	0	4	0	3	0	1	0	0	0	1	0	3	0	1
Z98884.1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1
UTS2	0	0	0	0	0	0	0	0	0	1	0	0	0	18	0	1	0	0	0	0	0	1	0	0
TNFRSF9	0	0	0	1	0	0	0	0	0	3	0	3	0	2	0	0	0	0	0	1	0	3	0	0
PARK7	0	268	0	47	0	208	0	37	0	465	0	475	0	447	0	314	0	0	0	142	0	380	0	105
AL034417.4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL034417.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERRFI1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL034417.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358876.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC45A1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RERE	0	74	0	9	0	17	0	3	0	51	0	101	0	51	0	35	0	0	0	20	0	49	0	6
AL096855.1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
AL357552.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENO1	0	617	0	132	0	332	0	60	0	957	0	1281	0	906	0	469	0	0	0	351	0	630	0	207
ENO1-AS1	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	2
CA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
SLC2A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
