PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	0	4	0	0	0	0	0	1	0	4	0	10	0	2	0	17	0	16	0	0	0	4	0	1
FAM87B	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	0	1	0	1	0	0	0	0	0	3	0	4	0	2	0	16	0	6	0	0	0	2	0	2
FAM41C	0	3	0	0	0	0	0	1	0	1	0	1	0	0	0	3	0	1	0	0	0	0	0	1
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	0	9	0	1	0	10	0	13	0	62	0	49	0	36	0	263	0	92	0	2	0	15	0	21
KLHL17	0	1	0	0	0	1	0	1	0	2	0	1	0	1	0	3	0	3	0	0	0	0	0	0
PLEKHN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	4	0	1	0	0	0	1	0	1
HES4	0	203	0	0	0	0	0	125	0	10	0	9	0	0	0	122	0	4	0	0	0	2	0	0
ISG15	0	106	0	5	0	50	0	35	0	209	0	486	0	118	0	513	0	211	0	6	0	91	0	28
AL645608.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGRN	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0
AL645608.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	0	6	0	0	0	0	0	3	0	5	0	5	0	3	0	20	0	7	0	0	0	0	0	1
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TNFRSF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SDF4	0	35	0	2	0	20	0	18	0	58	0	66	0	15	0	285	0	124	0	3	0	18	0	5
B3GALT6	0	2	0	0	0	0	0	0	0	1	0	2	0	1	0	12	0	6	0	0	0	1	0	0
C1QTNF12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AL162741.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2J2	0	32	0	5	0	22	0	20	0	45	0	55	0	30	0	190	0	83	0	1	0	24	0	4
LINC01786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAP3	0	9	0	0	0	3	0	1	0	2	0	6	0	6	0	26	0	18	0	0	0	1	0	0
PUSL1	0	10	0	1	0	3	0	4	0	9	0	15	0	12	0	49	0	18	0	0	0	7	0	0
INTS11	0	17	0	3	0	29	0	18	0	64	0	86	0	45	0	243	0	124	0	1	0	26	0	5
CPTP	0	3	0	1	0	1	0	5	0	2	0	3	0	1	0	17	0	10	0	0	0	1	0	0
TAS1R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DVL1	0	1	0	0	0	2	0	0	0	1	0	2	0	2	0	5	0	0	0	0	0	0	0	0
MXRA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AURKAIP1	0	71	0	7	0	53	0	45	0	161	0	150	0	105	0	519	0	240	0	3	0	68	0	33
CCNL2	0	10	0	3	0	4	0	4	0	16	0	31	0	2	0	105	0	78	0	0	0	6	0	1
MRPL20	0	59	0	8	0	35	0	29	0	128	0	131	0	80	0	455	0	221	0	4	0	42	0	21
AL391244.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0
ANKRD65	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AL391244.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
