PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	0	0	1	1	0	1	0	1	2	1	1	1	0	2	1	0	1	2	0	0	1	0	1	9
FAM87B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	0	0	1	1	1	5	3	2	0	3	1	0	0	3	2	0	0	0	0	0	0	0	1	4
FAM41C	0	0	0	0	0	0	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	3	1	0	2	3	14	7	25	2	37	14	3	3	6	1	4	7	2	1	0	0	1	11	21
KLHL17	0	0	0	0	0	0	1	1	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0
PLEKHN1	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	1
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES4	2	0	0	0	0	0	4	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1
ISG15	5	2	20	3	11	42	23	69	1	65	105	8	16	25	17	5	11	8	5	0	4	5	33	100
AL645608.2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGRN	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
AL645608.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	0	0	1	1	0	5	0	5	0	5	2	0	0	1	2	1	0	1	1	0	0	0	1	2
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	1	0	9	3	34	44	4	1	19	36	32	1	9	9	25	8	2	2	12	0	7	3	4	27
TNFRSF4	0	0	3	1	2	16	0	2	2	9	3	0	0	1	19	1	1	1	0	0	0	1	2	6
SDF4	3	0	5	1	6	52	12	81	1	99	40	9	1	5	23	4	8	15	1	0	2	4	12	61
B3GALT6	0	0	0	0	0	0	1	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1
C1QTNF12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL162741.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2J2	1	2	1	3	2	27	4	54	3	35	13	6	3	7	5	4	4	7	1	0	2	1	10	41
LINC01786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACAP3	0	0	0	0	0	0	4	1	1	2	0	0	0	0	0	0	0	2	2	0	0	0	0	2
PUSL1	0	0	0	1	0	5	0	2	0	7	3	0	0	0	5	0	2	3	0	0	1	0	2	5
INTS11	2	1	3	5	4	38	8	35	1	41	21	6	2	21	10	6	8	10	1	0	3	0	14	45
CPTP	1	0	0	0	1	3	1	20	0	3	1	0	1	0	1	0	0	1	0	0	0	0	0	2
TAS1R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DVL1	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MXRA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AURKAIP1	8	3	9	8	4	79	26	105	7	108	30	16	2	21	25	8	9	21	1	0	6	2	33	101
CCNL2	0	0	2	2	2	18	6	16	0	17	17	3	2	5	3	2	9	7	0	0	1	0	2	23
MRPL20	3	5	4	3	15	61	22	82	4	105	32	5	6	16	28	9	10	20	1	0	5	2	21	88
AL391244.3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391244.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATAD3C	0	0	0	0	0	1	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ATAD3B	2	0	1	0	0	3	0	5	0	3	0	0	0	2	2	0	1	1	0	0	0	0	1	2
ATAD3A	1	0	0	0	0	1	1	6	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
TMEM240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSU72	4	3	8	6	4	58	34	132	2	55	21	4	8	16	10	4	3	5	2	0	1	1	20	78
AL645728.1	0	0	1	1	0	3	1	4	0	3	2	0	0	0	2	0	1	3	0	0	0	0	2	6
FNDC10	0	0	0	0	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0
AL691432.2	0	1	0	0	0	3	2	3	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1
MIB2	1	3	2	2	0	16	11	50	0	28	6	2	5	3	3	2	0	3	3	0	2	2	3	28
MMP23B	1	0	0	2	0	6	1	18	0	12	0	1	1	1	1	0	0	3	0	0	0	0	0	4
CDK11B	1	0	2	7	1	15	5	17	0	20	11	1	2	5	1	0	1	8	0	0	0	1	3	17
FO704657.1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SLC35E2B	0	0	1	1	0	6	1	9	1	1	5	1	0	4	0	0	4	7	0	0	1	0	0	12
CDK11A	1	1	1	5	0	11	4	31	1	25	12	4	3	4	4	0	7	9	0	0	1	1	2	40
SLC35E2A	0	0	1	0	2	8	1	3	0	6	1	1	0	0	7	0	1	1	0	0	1	0	1	3
NADK	0	1	1	0	0	8	4	10	0	12	1	0	0	1	1	0	0	2	0	0	0	0	2	4
GNB1	0	0	0	3	0	11	13	16	2	19	13	3	1	2	4	3	1	3	0	0	2	2	9	25
