PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	0	1	4	5	0	8	0	1	1	14	0	5	0	2	2	2	0	16	1	2	0	0	0	8
FAM87B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LINC00115	0	1	0	3	0	1	0	0	0	10	1	8	0	2	0	3	0	6	0	0	0	1	2	8
FAM41C	0	1	0	0	0	0	0	0	0	2	1	1	0	0	0	1	0	1	0	2	0	0	0	0
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
NOC2L	0	5	8	29	2	63	0	27	0	57	2	37	0	27	5	39	2	89	1	14	0	9	0	47
KLHL17	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0
PLEKHN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PERM1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES4	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	3
ISG15	0	33	18	87	4	229	2	50	0	172	15	174	8	81	22	90	0	194	4	50	1	34	2	208
AL645608.2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0
AGRN	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
AL645608.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	0	2	2	2	1	12	0	1	0	5	0	7	0	3	1	5	0	11	0	3	0	1	0	12
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	0	3	10	18	5	166	2	8	0	84	2	27	3	45	12	41	4	101	3	25	1	13	3	137
TNFRSF4	0	2	3	3	6	25	0	4	0	26	2	7	1	3	5	8	3	25	0	5	0	3	2	31
SDF4	0	29	15	45	9	260	2	77	1	195	16	120	1	21	36	193	5	222	2	55	5	27	2	147
B3GALT6	0	2	2	1	1	2	0	11	0	1	0	2	0	2	0	4	0	2	0	0	0	1	0	3
C1QTNF12	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
AL162741.1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0
UBE2J2	0	17	8	39	1	93	2	24	1	54	4	41	1	19	16	51	0	92	2	23	4	21	1	57
LINC01786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0
ACAP3	0	0	1	3	1	6	0	4	0	5	0	5	0	2	1	1	0	9	0	6	0	0	0	1
PUSL1	0	2	4	5	1	17	0	3	0	14	2	6	1	9	1	8	0	15	2	4	0	5	1	11
