PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	1	1	2	1	1	1	0	0	0	2	1	0	0	0	1	0	1	0	1	2	1	0	0	3
FAM87B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	2	0	2	0	1	1	0	1	0	0	3	2	1	0	1	0	0	1	0	1	5	0	1	1
FAM41C	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	1	1	20	10	14	4	7	8	3	29	18	7	12	7	2	5	4	4	5	3	21	2	8	15
KLHL17	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1
PLEKHN1	0	0	1	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	1	0	0
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HES4	0	0	0	0	0	0	3	0	0	0	5	0	0	0	1	0	0	0	1	0	0	0	1	0
ISG15	11	7	65	24	40	10	20	7	3	43	179	34	72	18	17	11	3	11	19	7	55	3	42	18
AL645608.2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGRN	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
AL645608.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	0	0	2	2	1	1	0	0	0	1	4	0	3	0	1	2	0	0	0	1	5	0	1	1
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	1	0	5	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0
TNFRSF18	8	0	81	8	285	4	11	7	47	8	162	7	138	13	24	16	5	7	50	4	274	4	108	21
TNFRSF4	2	0	4	5	6	2	4	1	2	6	9	2	9	0	18	0	2	0	2	0	10	1	8	4
SDF4	5	3	19	13	39	14	9	15	7	44	67	23	9	4	19	27	3	12	2	9	30	3	15	18
B3GALT6	2	1	0	0	1	0	0	2	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0
C1QTNF12	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0
AL162741.1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
