PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	1	7	9	20	1	16	0	5	3	32	2	10	0	5	4	5	2	30	2	6	2	2	2	28
FAM87B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LINC00115	2	3	6	12	2	10	3	5	0	21	5	13	2	8	4	5	0	13	0	3	5	3	4	27
FAM41C	0	4	0	2	0	1	0	3	0	5	2	3	0	0	1	2	0	1	0	3	0	0	0	2
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
NOC2L	4	17	45	125	22	126	16	83	6	163	38	68	19	66	12	70	14	177	8	29	25	36	20	154
KLHL17	0	1	2	7	0	3	1	1	0	4	0	1	0	2	4	0	0	5	1	1	0	0	1	1
PLEKHN1	0	0	1	0	0	0	0	0	1	3	5	0	0	1	0	1	0	1	1	0	0	1	1	3
PERM1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HES4	2	1	0	0	0	0	8	2	0	4	5	0	0	0	3	1	0	0	1	0	0	0	1	4
ISG15	21	115	136	301	60	411	46	171	4	381	312	280	100	178	70	149	18	323	35	82	68	84	84	561
AL645608.2	0	0	0	0	0	0	0	2	0	3	0	2	0	0	0	0	0	2	0	0	0	0	0	2
AGRN	0	1	1	0	1	2	0	1	0	0	2	0	0	0	0	0	0	3	0	0	1	0	0	5
AL645608.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	0	4	6	16	2	28	1	8	0	17	7	9	3	6	5	9	0	18	1	5	5	1	2	26
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	2	1	1	0	5	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	2	1	1	2
TNFRSF18	19	17	122	78	376	327	23	33	76	159	214	56	153	115	82	141	13	148	104	62	312	38	120	370
TNFRSF4	2	7	18	14	16	62	5	9	5	50	15	11	16	5	54	18	6	31	2	8	11	9	15	68
SDF4	9	109	64	171	66	477	27	238	15	474	127	199	13	38	94	336	19	413	8	115	42	59	31	452
B3GALT6	3	8	2	1	3	5	1	25	0	1	1	2	1	4	2	4	1	5	0	1	0	4	1	5
C1QTNF12	0	0	0	1	3	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	3	0	0	3
AL162741.1	1	0	0	1	2	0	0	0	0	1	0	1	1	2	0	0	0	1	0	2	0	0	1	2
UBE2J2	4	43	30	149	22	209	10	109	9	156	30	68	18	51	33	109	4	161	9	43	23	47	19	198
LINC01786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0	0	0	2	3	2	1	0	0	0	0	0	0	2	1	0	0	1	0	1	1	2	1	0
ACAP3	0	4	2	11	3	12	4	8	1	9	3	7	0	2	1	6	0	13	3	11	0	1	0	12
PUSL1	2	9	16	25	4	32	3	12	1	34	7	13	2	15	8	17	3	33	2	7	4	9	6	34
INTS11	10	47	48	168	35	261	12	106	10	218	75	112	23	111	40	127	13	249	8	38	39	56	31	220
CPTP	3	11	0	11	3	9	6	41	0	9	2	4	3	6	2	9	0	15	1	2	0	2	2	10
TAS1R3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2
DVL1	1	0	1	4	1	4	0	1	0	4	1	4	0	1	0	1	1	2	0	2	1	0	0	4
MXRA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AURKAIP1	19	106	110	333	49	522	39	280	18	482	120	199	30	160	84	231	17	393	28	83	73	120	72	613
CCNL2	4	15	30	63	12	65	8	42	4	87	38	37	7	18	23	42	16	134	7	19	14	13	8	74
MRPL20	10	125	129	232	63	439	35	195	11	442	85	173	37	149	76	246	15	440	18	60	63	88	48	436
AL391244.3	0	0	0	0	0	2	0	3	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	3
ANKRD65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AL391244.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATAD3C	0	8	2	5	1	13	0	2	1	20	0	3	1	4	2	3	0	4	0	3	0	0	3	6
ATAD3B	3	5	4	7	2	13	0	9	1	15	9	11	2	3	3	7	1	9	0	3	1	2	2	15
ATAD3A	1	4	2	4	1	7	2	17	2	3	3	1	1	1	2	5	0	7	1	1	3	0	0	11
TMEM240	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSU72	23	112	71	220	30	327	45	332	9	256	60	95	18	109	49	127	10	178	13	56	37	81	36	331
AL645728.1	0	4	7	24	1	11	1	10	0	14	5	5	1	5	5	6	3	21	2	8	4	5	2	20
FNDC10	0	0	1	0	0	1	0	4	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1
AL691432.2	1	2	0	5	1	9	2	18	0	8	2	3	1	2	2	1	1	6	0	2	2	0	1	4
MIB2	5	196	22	118	11	147	17	182	4	196	20	72	15	41	20	106	0	122	4	37	6	26	8	214
MMP23B	2	40	5	35	6	102	3	80	2	59	6	31	2	27	14	57	1	67	1	12	4	12	1	46
CDK11B	6	21	36	108	9	93	5	39	5	86	26	39	10	28	16	45	6	138	1	21	7	22	8	95
FO704657.1	0	2	0	2	0	3	0	0	0	4	0	3	0	0	2	1	0	0	0	0	1	2	0	3
SLC35E2B	3	12	6	43	4	17	2	19	2	20	13	28	7	28	3	21	9	101	0	8	7	11	3	45
CDK11A	2	24	34	149	3	79	5	66	3	116	44	82	7	38	14	57	16	248	3	48	13	22	8	171
SLC35E2A	1	1	7	19	4	38	1	14	1	30	6	8	0	4	12	11	2	25	0	5	3	9	5	27
NADK	0	16	11	32	3	48	7	33	0	54	8	24	3	12	4	28	0	46	0	10	3	12	4	32
GNB1	2	45	31	88	14	86	14	54	2	81	38	55	4	27	19	54	5	85	2	32	18	18	16	97
AL109917.1	0	0	1	1	1	1	0	3	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	1
CALML6	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TMEM52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFAP74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391845.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRKCZ	0	6	4	4	0	8	3	20	0	4	4	2	2	1	3	11	2	15	1	4	1	0	0	8
AL590822.2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ-AS1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0
FAAP20	7	109	38	112	19	171	24	271	7	152	40	61	10	49	33	114	4	133	7	33	15	29	19	196
SKI	7	3	17	21	10	21	2	5	6	25	39	15	4	3	9	11	2	11	3	6	17	7	12	22
MORN1	0	5	4	4	0	10	1	2	1	4	1	5	1	0	2	4	1	10	1	3	2	1	2	6
RER1	9	80	98	239	47	340	27	176	8	369	94	142	24	97	58	177	10	346	14	57	53	86	37	342
PEX10	0	4	9	21	3	36	4	12	0	20	6	13	1	3	4	16	1	33	2	6	5	5	1	38
PLCH2	0	2	10	7	6	5	2	6	1	17	8	9	0	1	3	14	1	6	0	5	10	1	5	17
AL139246.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139246.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANK4	0	3	8	12	2	20	1	6	0	30	14	15	7	10	9	16	3	43	0	3	8	9	6	14
HES5	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139246.5	1	41	16	32	1	34	10	115	0	44	9	23	2	7	8	18	1	42	2	8	2	4	8	31
TNFRSF14-AS1	0	7	13	17	6	24	1	12	2	59	15	24	0	2	1	10	1	15	0	9	9	9	2	36
TNFRSF14	11	115	105	449	45	652	30	309	12	621	113	233	44	232	89	294	9	551	17	88	52	123	43	546
AL139246.3	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
FAM213B	0	2	3	19	9	23	2	11	0	15	6	15	3	8	3	9	0	23	0	5	6	9	0	27
MMEL1	0	0	0	0	1	16	1	1	0	2	1	0	0	0	1	2	0	5	0	1	1	2	0	5
TTC34	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	2
LINC00982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AL590438.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MEGF6	1	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL513320.1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
TPRG1L	0	4	3	24	2	18	4	13	3	19	3	15	2	6	4	17	2	19	0	9	4	4	1	23
WRAP73	2	11	28	69	17	75	10	27	3	55	30	26	16	24	16	34	5	87	7	25	25	17	8	80
TP73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL136528.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SMIM1	1	1	2	5	5	10	0	4	0	9	2	2	2	1	3	6	3	4	0	5	8	2	1	9
LRRC47	3	25	7	16	5	20	7	53	0	40	9	16	2	6	11	42	3	22	2	3	4	2	1	16
AL365330.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP104	0	9	4	30	7	16	4	22	0	21	9	13	1	4	1	16	2	39	1	5	5	5	3	28
DFFB	0	9	3	15	0	18	2	11	0	23	9	17	0	6	5	9	2	29	0	9	6	9	3	27
C1orf174	5	22	56	138	7	137	19	88	10	231	30	89	20	76	26	81	6	222	7	53	31	43	20	241
LINC01134	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0
AL805961.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL365255.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NPHP4	1	2	1	1	1	5	0	0	0	2	0	1	0	3	0	2	1	2	1	0	1	1	0	3
KCNAB2	8	71	59	162	15	295	23	178	10	354	62	168	33	158	45	168	20	403	4	61	27	78	30	269
CHD5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL22	178	994	996	3260	716	4425	284	1853	318	4768	1321	1679	510	1659	919	2078	212	2786	202	816	875	855	498	4273
