PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	0	2	0	4	0	4	0	1	1	3	6	5	1	2	2	4	3	3	0	1	2	3	1	2
FAM87B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	0	0	1	1	3	3	5	2	0	2	1	3	0	0	1	2	9	2	0	1	0	2	5	7
FAM41C	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	1	3	12	12	2	38	15	18	0	21	22	29	2	30	12	27	17	22	3	5	5	9	5	32
KLHL17	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
PLEKHN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES4	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISG15	1	6	26	33	11	61	26	29	7	19	81	110	15	51	36	48	23	23	18	5	13	10	7	61
AL645608.2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AGRN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
AL645608.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	0	0	1	1	1	4	2	3	0	3	3	4	2	4	5	5	3	0	1	1	2	1	3	3
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	0	4	5	1	12	5	6	0	8	0	4	5	3	0	1	7	4	0	3	2	3	0	3	6
TNFRSF4	3	19	13	10	10	34	28	8	4	22	21	35	2	2	6	22	10	25	4	1	9	6	10	23
SDF4	3	10	6	7	13	67	23	42	12	39	43	43	2	12	21	68	43	30	7	2	4	7	6	51
B3GALT6	0	2	0	0	0	0	2	3	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1
C1QTNF12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AL162741.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2J2	3	6	8	24	7	80	14	34	1	24	18	25	9	21	16	29	10	15	0	3	2	11	5	34
LINC01786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
ACAP3	0	3	0	0	0	5	0	4	1	3	3	3	0	0	0	6	1	4	1	1	2	1	0	0
