PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	0	0	0	0	0	0	0	1	0	11	0	7	0	0	0	0	0	3	0	0	0	0	0	10
FAM87B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	0	0	0	0	0	0	0	2	0	5	0	3	0	3	0	0	0	1	0	0	0	0	0	6
FAM41C	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	0	6	0	1	0	1	0	17	0	48	0	16	0	13	2	4	0	11	1	0	0	1	0	48
KLHL17	0	1	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	2
PLEKHN1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	3
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISG15	5	30	5	13	0	3	0	84	2	100	0	59	0	37	4	1	0	27	6	0	0	3	10	176
AL645608.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AGRN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AL645608.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	0	1	0	0	0	0	0	3	1	6	0	2	0	1	0	0	0	1	0	0	0	0	0	7
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	0	0	0	0	0	1	0	0	0	14	0	0	0	3	0	1	0	3	0	0	0	1	1	9
TNFRSF4	0	2	0	0	0	1	0	1	0	10	0	0	0	3	1	2	0	0	0	0	0	0	2	6
SDF4	1	11	1	4	0	2	0	53	0	97	0	37	0	7	4	6	0	22	2	0	1	3	2	84
B3GALT6	0	1	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2
C1QTNF12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
AL162741.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
