PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	3	0	6	3	7	3	0	0	0	6	19	4	1	0	9	1	20	3	10	1	1	1	11	4
FAM87B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	0	0	7	0	4	4	6	1	0	0	11	3	2	1	12	2	12	0	6	0	1	1	7	0
FAM41C	2	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	1	1
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	12	1	38	10	39	38	34	17	2	15	177	34	18	16	91	18	82	19	23	5	9	8	27	14
KLHL17	1	0	0	0	1	4	0	1	0	0	6	1	1	0	0	0	3	0	0	0	1	0	0	0
PLEKHN1	0	0	2	0	2	0	2	0	0	1	7	1	0	0	4	0	3	0	1	0	0	0	0	1
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
HES4	12	0	0	0	0	0	126	0	0	0	4	0	0	0	6	0	0	0	2	0	0	0	0	0
ISG15	51	4	155	31	138	56	158	19	6	16	528	110	76	34	260	34	90	15	238	5	20	11	298	27
AL645608.2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
AGRN	0	0	1	0	2	0	1	0	0	0	3	0	0	0	3	0	0	0	1	0	0	0	1	0
AL645608.9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	1	0	2	1	3	1	5	3	1	3	22	3	3	2	7	0	8	0	3	1	3	0	7	1
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	6	2	54	5	127	6	34	0	11	4	224	3	19	1	41	3	42	4	47	0	23	0	33	3
TNFRSF4	16	5	112	14	139	37	142	4	12	19	281	15	13	7	118	20	101	17	286	1	25	7	331	15
SDF4	37	1	38	9	113	51	105	24	7	19	379	31	18	4	165	37	148	25	49	2	10	6	82	24
B3GALT6	7	1	2	0	2	1	11	2	0	1	6	2	1	1	2	0	1	0	2	0	0	1	3	1
C1QTNF12	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0
AL162741.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2J2	8	1	16	16	39	37	41	15	4	18	120	21	18	18	68	16	61	22	13	7	6	10	19	19
LINC01786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0	0	0	0	2	0	1	0	0	0	3	0	0	0	1	0	2	1	1	0	0	0	2	0
ACAP3	1	1	0	0	3	1	4	5	0	0	8	6	0	0	6	1	7	0	2	0	0	1	0	1
PUSL1	8	1	10	3	17	12	22	4	3	0	28	5	10	13	28	5	12	2	16	1	2	2	18	3
INTS11	10	2	43	10	83	57	58	14	4	23	258	45	42	21	148	30	117	34	38	5	8	6	46	25
CPTP	5	0	0	1	7	7	15	6	0	0	17	1	1	1	5	3	8	2	0	0	0	1	4	2
TAS1R3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DVL1	1	0	2	0	1	0	5	1	0	1	7	2	0	0	2	0	1	0	3	0	1	0	2	1
MXRA8	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	2	2	0	0	0	0	0	0	0
AURKAIP1	32	5	77	33	154	132	162	41	12	35	309	88	57	37	275	39	141	20	101	6	27	19	112	51
CCNL2	12	0	26	6	47	9	43	13	5	7	180	18	15	9	93	7	154	31	13	0	6	4	28	6
