PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	0	0	1	0	2	1	0	1	1	0	7	3	0	0	3	1	3	1	0	0	0	0	1	2
FAM87B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	0	0	1	0	1	0	1	0	0	2	4	0	0	0	2	2	3	1	0	0	0	0	1	0
FAM41C	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	0	0	11	2	24	18	6	5	1	2	107	8	6	11	25	5	26	11	6	0	0	2	4	5
KLHL17	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0
PLEKHN1	0	0	0	0	1	0	0	0	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	1
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
HES4	0	0	0	0	0	0	3	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ISG15	3	9	49	28	45	36	24	13	3	11	607	105	46	48	50	19	27	22	27	8	5	12	30	17
AL645608.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AGRN	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0
AL645608.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	1	0	3	0	3	0	3	1	0	1	11	0	0	2	1	0	2	1	2	0	0	0	1	0
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	11	0	214	0	239	7	49	2	11	3	786	4	47	5	84	2	72	1	50	1	22	1	31	3
TNFRSF4	9	0	184	7	229	11	76	10	3	1	644	15	21	7	132	6	109	5	109	0	15	1	78	16
SDF4	5	2	28	7	55	15	37	7	1	8	332	14	2	6	60	16	73	13	9	3	1	0	13	2
B3GALT6	0	0	1	0	1	0	2	0	0	0	5	0	0	0	0	0	0	1	1	0	0	0	0	0
C1QTNF12	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0
AL162741.1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
UBE2J2	0	1	8	5	25	21	12	6	1	5	102	12	6	6	19	10	20	7	10	2	1	2	6	1
LINC01786	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAP3	0	1	2	0	2	2	1	0	0	2	10	1	0	0	2	2	2	1	0	0	0	0	0	0
PUSL1	1	0	5	2	10	2	2	1	0	1	23	1	2	2	6	1	8	0	2	0	0	0	2	3
INTS11	0	0	12	3	36	35	16	12	4	2	162	16	12	23	40	20	30	12	9	4	1	3	9	5
CPTP	0	0	0	0	2	2	3	0	2	1	12	2	0	0	3	1	3	2	0	0	0	0	1	1
TAS1R3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DVL1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	0	1
MXRA8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AURKAIP1	0	3	35	15	74	46	29	18	4	27	293	24	18	29	67	26	46	25	27	2	4	13	11	14
CCNL2	0	1	13	0	18	1	9	1	0	1	128	3	3	1	20	7	39	7	10	0	1	0	4	4
MRPL20	3	1	32	12	64	31	33	8	5	14	254	18	18	16	79	23	52	23	13	4	3	7	13	11
AL391244.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391244.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATAD3C	0	0	1	0	0	2	1	0	0	0	3	0	0	1	1	1	2	1	1	0	0	0	0	1
ATAD3B	0	1	5	0	4	1	1	0	0	0	21	1	1	0	2	1	5	0	1	1	0	1	1	1
ATAD3A	0	0	0	0	2	1	1	3	0	0	6	0	0	0	2	1	1	0	1	0	0	0	0	0
TMEM240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSU72	6	2	18	11	59	38	37	27	1	9	190	24	4	15	61	21	39	9	10	2	5	7	11	13
AL645728.1	0	0	0	0	1	0	0	0	0	1	9	0	0	1	4	1	3	0	0	0	1	0	0	0
FNDC10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AL691432.2	0	2	0	0	3	1	2	0	0	0	5	0	0	1	4	0	2	0	0	0	0	0	2	0
MIB2	0	0	2	2	8	3	8	2	1	2	27	2	3	1	7	6	5	0	1	0	1	0	2	1
MMP23B	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK11B	0	0	9	2	14	9	5	1	1	0	71	7	3	2	16	5	25	5	4	1	0	2	2	3
FO704657.1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0
SLC35E2B	0	0	1	2	2	3	1	3	0	0	48	5	0	2	5	2	16	5	1	0	0	0	0	0
CDK11A	0	1	10	5	11	11	5	2	0	5	72	14	5	2	14	5	27	10	1	1	0	2	5	5
SLC35E2A	0	0	0	1	1	2	0	0	0	0	8	3	1	2	7	4	6	2	0	0	0	1	0	0
NADK	0	0	0	1	3	1	3	1	0	1	12	3	0	0	3	0	1	2	0	1	0	0	0	0
GNB1	4	0	7	3	9	6	3	2	1	2	59	10	3	4	12	5	6	4	3	0	1	3	3	2
AL109917.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
CALML6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM52	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
CFAP74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391845.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ	0	1	0	1	0	1	3	4	0	0	15	0	1	2	8	0	7	1	0	0	0	0	3	0
AL590822.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAAP20	1	2	6	2	18	20	24	15	2	3	128	13	5	6	25	8	20	6	3	3	4	5	2	3
SKI	0	0	2	0	6	3	3	1	0	0	31	2	2	1	5	3	2	1	1	0	0	3	3	1
MORN1	0	0	0	0	1	1	0	0	0	0	5	2	0	0	2	0	1	0	0	0	1	0	0	0
RER1	2	0	24	10	54	27	26	17	4	13	271	15	14	11	69	11	48	15	22	2	5	5	7	6
PEX10	0	0	1	0	2	4	1	2	0	1	25	0	0	1	9	3	5	1	0	1	1	0	1	0
PLCH2	0	0	1	0	7	1	1	0	0	2	5	1	2	0	0	0	2	0	0	0	0	0	0	0
AL139246.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139246.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANK4	0	0	6	1	2	2	1	2	0	0	31	0	1	1	6	1	5	2	5	1	0	1	0	0
HES5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139246.5	3	0	1	1	0	2	4	8	0	2	6	2	0	0	2	2	0	0	0	0	0	0	0	0
TNFRSF14-AS1	0	1	3	0	3	1	3	0	0	0	17	2	0	0	1	0	2	0	2	1	0	0	2	3
TNFRSF14	1	3	44	25	74	73	54	27	4	30	375	54	24	56	74	41	58	40	26	4	8	20	19	24
AL139246.3	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	1	0	0	0	0	0	1
FAM213B	0	0	3	0	5	7	5	0	3	0	16	2	2	1	2	0	6	0	3	0	0	1	1	0
MMEL1	0	0	0	0	3	1	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1
TTC34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL590438.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEGF6	0	0	1	0	0	0	0	1	0	0	2	1	0	0	1	1	0	1	0	0	0	0	0	0
AL513320.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
TPRG1L	0	0	1	1	1	3	1	1	0	0	14	2	0	0	2	3	7	0	0	0	1	0	1	0
WRAP73	1	1	10	0	21	7	8	1	2	0	74	5	7	5	14	1	15	8	3	0	0	5	2	3
TP73	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AL136528.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMIM1	0	0	1	0	3	3	0	0	0	1	7	1	1	1	6	1	1	0	2	0	0	0	1	0
LRRC47	1	1	1	3	2	1	4	5	0	0	44	0	0	0	4	5	9	1	1	0	0	0	1	0
AL365330.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP104	0	0	2	0	3	1	4	0	0	1	16	2	1	2	3	0	9	2	0	0	0	0	1	1
DFFB	0	0	1	3	1	2	2	0	1	0	12	2	1	1	2	0	2	4	1	0	0	0	0	1
C1orf174	0	0	10	3	10	6	7	3	0	2	77	2	3	4	21	1	15	5	8	0	1	2	2	2
LINC01134	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL805961.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL365255.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHP4	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
KCNAB2	2	1	17	3	38	16	14	7	0	5	110	14	10	5	33	8	39	11	4	5	2	6	6	1
CHD5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL22	37	54	345	194	918	680	312	191	64	205	4368	612	190	357	1470	359	860	243	207	52	38	132	180	307
AL031847.1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
RNF207	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	1	1	0	1	0	0	1	0	0
ICMT	0	0	2	1	2	2	3	0	0	0	33	2	0	0	7	1	11	2	1	0	0	1	1	2
LINC00337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT7	0	0	4	1	14	4	3	1	0	3	42	6	3	2	8	1	2	2	2	3	1	1	1	1
AL031848.2	0	0	1	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
HES2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESPN	1	0	0	0	1	0	0	0	0	0	5	1	0	0	1	0	0	0	1	0	0	0	0	0
TNFRSF25	1	0	20	3	38	9	24	6	0	4	121	17	3	6	26	8	31	15	10	0	1	2	9	4
PLEKHG5	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
NOL9	0	0	4	1	1	1	3	3	0	0	20	5	0	0	3	2	10	6	1	0	1	0	0	0
TAS1R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB48	0	1	6	1	6	7	3	1	0	0	45	2	1	1	10	1	8	4	2	1	0	1	0	0
KLHL21	0	1	2	1	4	0	4	0	0	1	19	1	1	1	3	1	2	0	1	0	0	0	0	1
PHF13	0	0	4	0	2	1	0	0	0	0	27	1	2	0	1	0	3	3	1	0	0	0	1	0
THAP3	1	0	3	2	4	6	4	3	0	5	33	5	4	3	6	3	5	1	2	0	0	0	2	0
DNAJC11	0	0	2	2	4	1	1	0	0	0	26	4	4	2	2	3	12	7	2	0	0	1	2	2
AL591163.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1	1	2	13	4	34	11	11	4	0	6	105	5	2	5	35	3	19	3	10	2	1	3	4	5
VAMP3	0	0	3	6	11	9	3	1	1	1	68	8	2	4	10	4	12	3	3	0	2	2	4	1
PER3	0	0	1	0	2	1	0	0	1	0	3	1	0	0	0	0	3	0	0	0	1	0	0	1
Z98884.1	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	1	0	0
UTS2	0	0	1	1	0	0	1	0	0	0	10	1	2	4	2	0	1	0	3	0	0	0	0	0
TNFRSF9	0	0	27	0	17	0	4	0	1	3	50	1	3	0	2	0	5	0	3	0	2	0	0	0
PARK7	8	9	105	38	272	109	116	44	6	46	1162	87	63	60	222	57	120	38	57	14	14	33	43	37
AL034417.4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
AL034417.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ERRFI1	0	0	0	0	2	0	3	0	1	0	36	0	3	0	5	0	3	0	1	0	0	0	0	0
AL034417.2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
AL358876.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC45A1	0	0	0	0	0	0	0	1	0	1	4	1	1	0	1	2	1	0	0	0	1	0	0	0
RERE	0	2	6	1	10	2	4	2	1	4	55	9	2	7	23	5	32	8	4	1	5	2	2	2
AL096855.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AL357552.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENO1	4	5	165	25	259	111	53	35	9	32	1312	85	74	74	198	45	123	43	59	10	11	36	42	51
ENO1-AS1	0	0	0	0	1	0	0	0	0	0	5	0	0	0	1	0	0	0	0	1	0	0	0	0
CA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR157	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR34AHG	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01759	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
H6PD	0	0	1	0	2	3	2	0	1	0	5	2	1	0	1	0	2	3	1	0	0	0	1	0
SPSB1	0	0	1	0	2	0	2	1	0	0	10	1	0	0	2	0	1	0	0	0	0	0	0	0
AL928921.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
SLC25A33	1	0	1	0	2	0	10	1	0	0	12	1	0	0	1	0	1	1	0	0	0	0	0	0
TMEM201	0	0	0	0	1	0	0	1	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0
PIK3CD	3	1	8	4	4	11	0	3	0	2	38	4	1	3	13	7	14	10	0	0	3	4	1	3
PIK3CD-AS1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
PIK3CD-AS2	0	0	0	0	0	1	1	0	0	0	3	0	0	0	1	0	6	2	2	0	0	0	0	0
CLSTN1	0	0	2	0	9	4	1	5	1	2	11	2	0	2	4	2	7	5	1	0	0	1	2	2
CTNNBIP1	1	0	0	1	2	4	3	1	0	1	15	0	0	0	1	1	6	0	1	0	1	0	0	0
