PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	3	0	7	3	9	4	0	1	1	6	26	7	1	0	12	2	23	4	10	1	1	1	12	6
FAM87B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	0	0	8	0	5	4	7	1	0	2	15	3	2	1	14	4	15	1	6	0	1	1	8	0
FAM41C	2	1	0	0	1	0	0	0	0	0	2	2	0	0	0	1	1	1	0	0	0	0	1	1
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	12	1	49	12	63	56	40	22	3	17	284	42	24	27	116	23	108	30	29	5	9	10	31	19
KLHL17	1	0	0	0	1	4	0	1	0	0	6	1	2	0	1	0	3	0	0	0	1	1	0	0
PLEKHN1	0	0	2	0	3	0	2	0	0	2	13	2	0	0	4	0	3	0	1	0	0	0	0	2
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0
HES4	12	0	0	0	0	0	129	0	0	0	6	0	0	0	8	0	0	0	2	0	0	0	0	0
ISG15	54	13	204	59	183	92	182	32	9	27	1135	215	122	82	310	53	117	37	265	13	25	23	328	44
AL645608.2	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
AGRN	0	0	1	0	2	0	1	0	0	0	6	0	0	0	3	0	0	0	1	0	0	0	2	0
AL645608.9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	2	0	5	1	6	1	8	4	1	4	33	3	3	4	8	0	10	1	5	1	3	0	8	1
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	17	2	268	5	366	13	83	2	22	7	1010	7	66	6	125	5	114	5	97	1	45	1	64	6
TNFRSF4	25	5	296	21	368	48	218	14	15	20	925	30	34	14	250	26	210	22	395	1	40	8	409	31
SDF4	42	3	66	16	168	66	142	31	8	27	711	45	20	10	225	53	221	38	58	5	11	6	95	26
B3GALT6	7	1	3	0	3	1	13	2	0	1	11	2	1	1	2	0	1	1	3	0	0	1	3	1
C1QTNF12	0	0	0	1	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	1	1	0	0
AL162741.1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0
UBE2J2	8	2	24	21	64	58	53	21	5	23	222	33	24	24	87	26	81	29	23	9	7	12	25	20
LINC01786	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0	0	0	0	2	0	2	0	0	0	3	0	0	0	1	0	2	1	1	0	0	0	2	0
ACAP3	1	2	2	0	5	3	5	5	0	2	18	7	0	0	8	3	9	1	2	0	0	1	0	1
PUSL1	9	1	15	5	27	14	24	5	3	1	51	6	12	15	34	6	20	2	18	1	2	2	20	6
INTS11	10	2	55	13	119	92	74	26	8	25	420	61	54	44	188	50	147	46	47	9	9	9	55	30
