PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	0	0	5	1	6	1	1	3	3	6	2	9	0	3	4	9	17	1	3	4	0	4	1	10
FAM87B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	0	0	3	2	1	6	4	1	1	4	2	4	3	3	3	6	8	2	3	0	2	0	4	4
FAM41C	1	2	0	0	0	1	0	0	0	0	2	3	0	0	1	1	0	0	0	0	0	0	1	0
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	5	1	30	27	35	80	15	20	8	40	51	60	10	35	16	81	34	39	20	10	15	15	16	39
KLHL17	0	0	0	1	0	0	3	1	0	0	1	1	1	0	1	0	3	2	0	0	0	2	0	0
PLEKHN1	0	0	3	2	4	0	1	1	2	0	10	0	3	0	3	3	0	4	1	0	0	1	0	1
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES4	1	0	0	0	1	0	9	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0
ISG15	18	13	149	48	140	133	63	64	20	70	252	216	67	74	39	118	57	55	103	15	44	40	96	91
