PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	2	0	4	2	3	4	2	0	1	3	9	10	0	1	4	8	14	9	7	0	0	2	2	6
FAM87B	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	1	1	3	2	5	2	5	1	2	2	3	4	3	3	2	6	2	0	3	0	3	0	2	9
FAM41C	1	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	1	0	0
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	5	1	39	17	24	65	25	26	5	37	97	70	20	39	43	76	57	43	20	6	21	15	22	37
KLHL17	2	0	0	0	0	1	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	0	1
PLEKHN1	1	0	1	0	1	1	0	1	4	0	8	4	1	1	3	4	3	5	0	0	1	0	0	0
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
HES4	1	0	1	0	2	0	33	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ISG15	19	14	151	26	109	95	124	34	14	41	359	203	81	52	116	117	64	45	233	3	45	34	110	66
AL645608.2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
AGRN	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0
AL645608.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	0	0	3	3	1	3	0	2	1	3	20	6	7	2	8	6	4	3	3	0	0	1	2	4
LINC01342	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
TTLL10	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1
TNFRSF18	8	3	43	10	85	41	23	3	20	19	86	39	44	17	13	53	24	6	47	5	20	9	50	21
TNFRSF4	19	23	71	39	135	90	94	24	15	51	91	119	27	22	46	113	56	48	287	6	45	20	260	52
SDF4	15	12	54	24	129	103	85	34	23	60	211	116	13	5	109	148	132	55	63	9	27	23	50	63
B3GALT6	2	0	0	0	1	1	8	8	1	0	3	1	1	1	0	0	1	1	1	0	2	0	2	1
C1QTNF12	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0
AL162741.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
UBE2J2	6	12	31	25	44	75	30	27	11	27	45	52	20	28	36	68	31	30	13	8	19	22	16	34
LINC01786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0	0	0	0	0	2	1	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0
ACAP3	1	1	1	0	4	5	7	7	2	4	5	8	2	1	3	11	6	4	1	1	0	0	0	5
PUSL1	8	0	16	7	19	16	8	6	1	5	19	13	4	12	11	25	8	7	6	2	6	2	11	9
INTS11	4	8	48	37	63	117	48	40	21	55	147	76	45	64	55	108	83	55	38	6	26	26	31	60
CPTP	4	2	1	0	5	5	15	13	0	2	7	5	0	1	4	11	4	2	4	1	1	1	2	0
TAS1R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DVL1	1	0	2	1	2	1	2	4	0	1	4	1	1	0	2	2	2	0	1	1	0	0	0	1
MXRA8	1	0	0	1	0	4	0	1	0	0	1	0	0	0	1	9	0	0	0	0	0	0	0	0
AURKAIP1	22	12	86	71	139	246	118	65	34	100	201	149	52	85	121	209	88	70	92	11	54	72	78	114
CCNL2	5	3	37	13	40	39	47	13	12	11	104	18	13	10	43	34	80	45	19	3	11	8	15	10
MRPL20	19	19	79	46	148	187	92	59	35	99	197	106	47	89	152	181	133	98	67	14	51	38	60	87
AL391244.3	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391244.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATAD3C	0	2	2	1	0	1	0	2	0	0	3	7	2	1	0	3	2	2	1	0	0	0	2	4
ATAD3B	3	1	4	1	7	9	14	11	1	4	10	11	2	5	10	16	10	2	7	0	0	0	2	6
ATAD3A	0	0	0	3	1	1	4	3	0	2	1	1	0	0	4	2	5	0	0	1	0	0	2	1
TMEM240	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSU72	24	21	62	76	97	203	137	130	21	80	170	99	36	81	111	166	96	46	40	10	30	28	43	85
AL645728.1	0	1	9	3	5	9	2	6	1	2	11	8	2	4	9	8	15	8	1	1	5	3	0	8
FNDC10	0	0	0	1	0	0	0	3	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0
AL691432.2	1	0	0	0	3	7	2	8	0	3	8	3	1	2	5	7	2	1	1	0	0	0	0	6
MIB2	10	12	11	8	15	42	29	34	1	13	38	21	12	7	23	48	11	8	5	4	5	4	5	11
MMP23B	0	0	0	0	1	2	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0
CDK11B	3	3	30	19	16	43	20	9	9	22	54	36	10	12	21	40	40	29	14	3	11	6	11	13
FO704657.1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	0	1	0	1
SLC35E2B	0	2	10	9	5	21	5	13	2	5	36	33	14	13	10	19	45	27	6	2	14	5	1	7
CDK11A	1	5	28	33	30	42	29	13	7	18	65	61	16	23	27	44	80	38	14	4	6	5	27	44
SLC35E2A	0	0	7	5	8	19	5	8	0	5	7	14	2	10	12	18	10	8	3	1	1	1	2	9
NADK	0	2	4	5	3	4	12	6	2	2	10	6	2	4	7	9	7	5	1	3	1	0	1	2
GNB1	11	6	18	10	24	25	18	13	9	8	55	27	12	15	26	33	28	23	14	4	12	7	17	15
AL109917.1	0	0	1	0	0	2	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0
CALML6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM52	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0
CFAP74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391845.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ	1	0	3	0	6	3	6	6	0	0	18	3	3	0	4	5	5	2	1	1	0	1	3	1
AL590822.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PRKCZ-AS1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FAAP20	11	29	23	23	41	60	106	89	6	27	73	38	11	18	42	66	35	13	19	5	14	17	9	28
SKI	10	5	30	9	33	13	8	5	10	7	91	13	11	2	23	26	29	8	17	0	15	5	10	4
MORN1	0	0	2	1	3	4	1	1	0	2	3	3	0	0	0	3	2	2	1	0	1	0	1	2
RER1	7	9	56	41	91	128	71	49	36	82	167	93	25	45	86	141	66	58	43	9	31	31	36	58
PEX10	0	0	5	8	9	15	1	6	0	4	17	11	1	0	6	21	11	4	1	1	4	5	4	5
PLCH2	0	1	1	0	2	0	2	1	0	2	8	0	1	0	6	5	7	1	0	0	0	0	4	3
AL139246.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139246.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANK4	0	0	4	1	5	5	10	1	2	7	21	4	4	8	14	13	19	5	9	1	5	1	2	4
HES5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139246.5	0	4	4	6	7	10	25	17	2	4	14	3	0	0	11	19	5	5	6	1	5	2	2	5
TNFRSF14-AS1	0	2	4	6	9	4	4	3	1	11	5	7	1	1	3	5	4	1	3	0	2	0	2	8
TNFRSF14	17	20	128	75	141	323	153	119	35	140	428	259	107	197	204	352	216	138	85	14	56	72	88	187
AL139246.3	1	0	2	0	0	0	1	1	1	1	3	3	1	1	2	2	0	2	0	0	0	0	0	0
FAM213B	1	1	5	6	8	26	8	3	0	8	10	9	1	4	6	22	13	6	2	0	3	3	7	7
MMEL1	0	0	0	0	1	10	2	0	0	1	0	3	0	2	1	2	1	0	2	0	1	1	0	3
TTC34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL590438.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEGF6	1	0	2	2	2	3	7	1	0	1	8	2	5	5	6	4	5	2	1	1	0	0	0	1
AL513320.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPRG1L	1	0	3	4	5	7	4	1	2	3	9	14	7	3	9	17	9	2	3	3	0	0	5	4
WRAP73	5	1	25	7	25	42	15	9	9	20	42	21	16	9	33	30	30	21	8	1	16	9	13	18
TP73	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL136528.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMIM1	0	3	2	2	3	7	8	2	0	5	4	7	1	3	4	3	7	3	3	1	1	0	0	1
LRRC47	5	2	2	0	6	5	13	20	0	8	30	6	1	1	20	44	14	9	2	0	0	0	1	2
AL365330.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP104	4	1	4	1	4	5	16	6	2	4	13	10	1	0	9	16	27	5	2	0	2	3	2	1
DFFB	0	2	4	5	5	6	2	2	2	5	9	5	1	3	10	8	5	7	2	0	1	0	1	6
C1orf174	5	3	21	15	27	30	27	11	7	18	62	22	20	19	37	39	41	19	17	3	16	4	12	19
LINC01134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL805961.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL365255.1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NPHP4	0	1	0	2	1	4	2	0	1	3	2	3	0	0	3	1	3	0	0	2	0	0	2	0
