PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	0	0	6	2	9	1	2	0	1	2	6	1	0	0	3	1	14	2	2	1	2	1	0	0
FAM87B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	1	1	1	1	9	1	4	0	1	1	10	1	2	1	5	0	4	0	4	0	1	0	0	0
FAM41C	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
AL645608.3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	4	0	20	3	81	11	35	4	13	6	79	6	32	9	28	9	49	8	30	2	26	3	4	1
KLHL17	1	0	0	1	2	1	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0
PLEKHN1	1	1	3	0	8	2	2	0	0	1	7	1	5	1	0	0	5	0	2	0	3	0	0	0
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES4	2	0	0	0	5	0	14	1	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0
ISG15	18	7	177	39	407	50	228	20	35	35	607	77	361	32	76	32	154	39	159	10	178	37	49	7
AL645608.2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AGRN	0	0	0	0	3	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.9	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	0	0	4	1	21	1	5	0	1	0	11	2	3	1	6	5	4	3	3	0	1	0	2	0
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	48	4	735	12	2879	18	1129	3	195	7	1174	16	786	11	400	10	251	16	620	4	624	6	160	4
TNFRSF4	62	7	1314	19	2805	30	2279	11	233	16	1247	23	871	14	687	23	499	18	1198	8	700	5	312	3
SDF4	19	1	69	13	472	23	206	16	39	22	292	19	32	4	72	23	119	20	52	4	53	4	19	8
B3GALT6	0	0	2	0	6	0	23	0	0	0	5	0	2	0	0	0	0	0	3	0	1	0	1	0
C1QTNF12	0	0	0	0	0	0	4	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
AL162741.1	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0
