PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	0	0	9	5	13	3	4	0	1	4	9	5	0	0	4	2	26	4	6	1	3	1	1	2
FAM87B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	1	1	2	2	13	3	8	0	1	2	12	3	5	3	7	1	6	3	4	0	1	1	0	0
FAM41C	0	0	0	0	1	0	0	0	0	1	1	2	0	0	2	0	0	0	0	1	0	1	0	0
AL645608.3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	8	2	33	11	124	47	57	16	16	27	158	21	50	25	44	29	91	20	45	5	36	10	10	12
KLHL17	2	0	0	1	2	1	1	0	0	0	3	1	1	0	0	0	1	0	0	1	0	0	1	0
PLEKHN1	1	1	4	0	11	2	3	0	0	2	11	4	9	1	0	0	7	0	2	0	5	0	0	2
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES4	4	0	0	0	6	0	37	1	0	0	6	0	0	0	4	0	0	0	0	0	1	0	0	0
