PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	3	7	1	5	0	1	0	8	1	33	1	26	0	0	2	1	7	18	0	2	1	3	1	27
FAM87B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	0	1	0	5	0	4	6	7	0	12	1	17	1	4	1	1	6	13	0	1	1	2	1	34
FAM41C	0	1	0	0	0	0	0	2	0	5	1	2	0	0	1	1	0	0	0	0	0	0	0	4
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NOC2L	4	17	6	40	5	40	14	87	2	157	11	97	4	73	13	17	27	126	3	5	9	12	5	154
KLHL17	0	4	0	1	0	1	0	3	0	2	2	1	0	4	0	0	0	6	0	1	0	0	0	8
PLEKHN1	0	0	0	0	2	2	0	0	0	7	2	5	1	2	0	2	0	2	0	0	0	0	1	3
PERM1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ISG15	16	114	38	106	27	85	39	235	14	283	80	388	28	158	30	23	42	250	38	7	23	46	31	495
AL645608.2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGRN	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	2
AL645608.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	2	3	2	5	1	4	4	10	1	19	3	14	0	14	2	2	4	20	3	0	0	1	0	19
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	0	2	5	1	2	1	0	1	1	19	10	3	2	6	0	8	2	2	4	3	1	11	0	22
TNFRSF4	0	3	7	1	0	4	1	1	0	12	2	2	0	1	0	7	0	1	0	0	1	2	2	6
SDF4	9	60	14	55	14	55	37	204	9	298	36	191	2	37	13	33	38	183	7	12	7	22	10	287
B3GALT6	3	6	0	2	0	0	1	34	0	3	1	1	1	2	0	0	1	5	1	0	0	1	0	6
C1QTNF12	0	1	0	0	0	0	1	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	1
AL162741.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
UBE2J2	6	32	9	52	10	56	14	145	3	189	19	98	1	69	6	14	14	100	10	7	9	18	4	229
LINC01786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0	0	0	0	0	1	0	0	0	1	1	3	0	0	0	0	1	0	2	0	0	0	0	2
ACAP3	1	17	2	2	0	3	4	22	2	21	1	18	0	6	3	1	4	15	0	0	0	0	1	14
PUSL1	4	13	1	13	3	10	2	29	1	31	4	12	1	17	2	7	5	23	1	2	2	6	2	32
INTS11	10	33	16	60	12	58	19	144	4	254	27	160	5	145	21	22	29	146	8	2	16	14	7	218
CPTP	3	10	1	0	0	2	4	50	0	3	1	11	0	3	0	0	2	11	1	0	0	0	2	9
TAS1R3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
DVL1	0	2	1	3	0	0	1	1	0	4	0	3	0	1	0	1	1	4	0	0	0	0	0	8
MXRA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AURKAIP1	16	81	44	124	20	137	46	341	16	506	51	338	13	188	23	48	50	296	39	10	22	41	21	609
CCNL2	5	20	13	12	5	18	17	66	6	85	24	53	1	21	13	6	53	90	5	3	2	6	4	84
MRPL20	14	73	36	85	18	92	35	243	22	409	31	219	13	180	32	42	66	288	27	10	16	31	24	410
AL391244.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
ANKRD65	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391244.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATAD3C	0	0	1	3	0	1	0	0	1	8	0	1	0	1	1	0	0	1	3	0	0	0	0	1
ATAD3B	0	12	1	4	0	3	1	12	0	16	2	7	0	3	2	0	1	13	1	1	1	1	0	16
ATAD3A	2	10	0	3	0	2	2	28	0	6	0	2	0	2	1	0	4	6	0	0	0	2	0	5
TMEM240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SSU72	16	113	16	74	15	76	37	388	9	293	22	165	6	138	18	30	33	144	12	8	21	29	10	367
AL645728.1	0	2	3	7	1	1	2	14	0	8	1	9	1	2	2	0	7	19	0	0	1	1	3	14
FNDC10	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	2
AL691432.2	3	1	1	2	0	2	1	10	0	7	1	6	0	1	0	1	0	2	0	0	1	0	0	5
MIB2	6	101	8	28	2	25	13	183	7	117	4	63	2	49	7	15	9	56	7	3	1	12	5	158
MMP23B	0	19	0	1	0	10	6	72	0	15	1	7	0	5	0	3	0	12	0	1	1	0	0	9
CDK11B	4	17	7	41	10	22	6	43	8	84	10	87	7	48	6	7	34	94	6	2	2	4	3	101
FO704657.1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	3
SLC35E2B	1	14	1	11	0	5	4	20	1	52	5	48	0	27	1	5	19	81	1	1	2	3	2	36
CDK11A	5	23	16	47	2	24	8	66	3	99	14	172	1	49	11	7	53	153	2	7	1	12	5	180
SLC35E2A	1	5	1	16	0	9	3	13	2	20	1	22	0	12	2	6	10	24	1	1	0	3	0	37
NADK	2	15	1	12	1	4	2	43	2	34	2	19	0	14	3	7	2	20	2	1	1	2	2	22
GNB1	4	24	5	23	7	16	12	47	1	84	12	74	1	31	6	6	14	69	4	1	5	13	3	90
AL109917.1	0	1	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CALML6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CFAP74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
