PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	5	0	5	0	2	2	3	1	1	1	15	2	0	0	4	2	16	1	1	0	2	0	14	3
FAM87B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	2	0	2	0	6	0	3	1	0	1	22	1	2	0	10	0	14	0	2	0	4	0	9	2
FAM41C	0	1	0	0	1	0	0	0	0	1	4	1	0	0	1	0	1	0	0	0	0	0	0	0
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	12	3	42	4	29	10	37	10	10	14	220	17	16	9	40	4	57	4	18	1	19	1	45	8
KLHL17	2	0	2	0	2	0	2	0	0	0	6	0	1	0	1	0	1	0	3	0	0	0	2	1
PLEKHN1	0	0	1	0	1	0	3	0	0	1	6	1	0	0	2	0	1	0	1	0	0	0	2	0
PERM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES4	2	0	0	0	2	0	37	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0
ISG15	86	2	211	7	152	19	257	6	35	21	1099	44	100	12	165	14	70	11	142	0	125	3	243	38
AL645608.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGRN	0	0	1	0	0	0	0	0	0	0	6	0	1	0	2	0	1	0	0	0	0	0	0	0
AL645608.9	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	2	0	12	1	8	0	9	0	4	0	33	1	3	0	14	0	5	0	2	0	2	0	10	2
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	3	0	63	1	46	3	24	0	1	5	44	1	10	1	14	2	1	0	13	0	5	0	15	2
TNFRSF4	2	0	16	0	17	2	9	0	2	2	51	1	1	0	15	7	3	2	14	0	1	0	17	2
SDF4	29	3	49	10	87	16	92	7	11	27	436	20	16	6	126	8	88	5	21	2	22	2	66	15
B3GALT6	7	0	2	0	4	0	16	0	0	1	10	0	0	0	1	0	5	0	0	0	1	0	3	1
C1QTNF12	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AL162741.1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0
UBE2J2	14	1	58	7	43	10	36	8	14	33	115	7	17	9	50	5	42	4	15	0	25	1	28	10
LINC01786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0
ACAP3	5	0	3	0	2	0	7	0	0	1	16	1	0	0	6	2	7	1	0	0	0	0	3	1
PUSL1	15	0	21	2	12	2	18	0	1	6	47	1	4	4	19	1	17	1	8	0	5	0	24	3
INTS11	22	1	80	10	48	17	66	6	11	28	284	17	44	4	97	10	81	7	21	0	21	1	55	18
CPTP	8	1	5	0	2	2	17	4	0	2	20	0	1	0	1	3	3	1	0	0	0	0	2	1
TAS1R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DVL1	5	0	2	0	1	0	2	0	0	1	7	1	0	0	4	0	0	0	1	0	0	0	1	0
MXRA8	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
AURKAIP1	71	1	164	9	123	39	152	24	36	44	537	36	73	13	164	17	110	14	68	1	68	2	126	41
CCNL2	15	2	65	3	33	5	51	3	13	11	250	8	16	3	57	5	117	5	9	2	16	0	42	5
MRPL20	47	3	152	5	103	28	121	11	37	42	569	34	72	10	204	15	129	11	50	0	49	3	154	31
AL391244.3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391244.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATAD3C	0	0	0	0	1	0	0	0	0	0	3	2	0	0	2	0	0	0	0	0	0	0	0	1
ATAD3B	8	0	11	1	2	2	8	0	0	1	24	1	6	1	12	0	9	0	0	0	0	0	9	0
ATAD3A	2	0	2	0	1	0	9	1	0	0	8	1	2	0	2	2	2	0	0	0	1	0	0	0
TMEM240	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
SSU72	84	2	89	8	72	25	121	24	20	40	323	26	33	11	118	13	62	8	28	2	34	1	89	23
AL645728.1	0	0	8	0	3	0	5	2	1	2	25	1	3	0	5	0	16	1	3	0	2	0	5	3
FNDC10	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
AL691432.2	2	0	0	0	2	0	3	1	0	0	10	1	0	0	1	0	3	0	1	0	1	0	1	1
MIB2	20	4	22	8	19	11	54	6	5	19	127	7	5	2	48	10	29	2	3	2	7	0	25	10
MMP23B	1	0	1	1	3	0	8	1	0	4	13	0	2	1	3	0	1	0	1	0	0	0	1	1
CDK11B	7	1	45	3	12	9	30	6	11	11	168	18	15	3	36	4	59	1	8	1	14	0	19	11
FO704657.1	2	0	1	0	0	1	1	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	1	0
SLC35E2B	2	0	8	4	6	3	15	1	2	1	100	12	9	4	9	0	70	5	1	1	9	0	6	2
CDK11A	18	0	50	7	37	12	43	3	10	14	179	15	16	5	62	6	109	7	17	0	15	0	31	18
SLC35E2A	1	1	12	2	6	4	7	1	2	4	17	2	4	1	14	1	10	1	3	0	3	0	5	2
NADK	1	0	9	0	4	3	14	3	0	4	35	4	1	1	5	1	9	0	3	0	0	0	6	1
GNB1	20	0	34	3	16	8	36	3	13	12	126	11	20	3	42	3	32	3	10	1	17	1	31	5
AL109917.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CALML6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM52	0	0	2	0	0	0	4	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	1	0
CFAP74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
