PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	2	1	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	21	19	36	8	11	5	14	9	7	55	49	40	4	2	22	4	62	29	8	2	3	3	29	45
FAM87B	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	10	1	20	8	16	10	58	11	4	27	66	24	11	10	30	4	53	17	14	1	8	2	29	47
FAM41C	6	4	0	0	1	0	1	3	3	10	11	7	0	0	3	1	3	0	0	0	0	0	2	6
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
NOC2L	40	36	189	67	84	93	209	121	32	276	606	158	65	133	146	48	229	175	49	11	63	19	119	250
KLHL17	17	5	14	2	4	3	7	4	1	7	15	2	4	5	2	0	5	10	3	2	0	1	3	12
PLEKHN1	2	0	4	0	5	2	6	0	1	13	35	7	2	2	8	4	6	4	1	0	3	0	5	3
PERM1	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AL645608.8	0	0	4	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
HES4	21	2	2	0	2	0	166	0	0	1	7	0	0	0	0	0	0	1	2	0	0	0	0	1
ISG15	305	163	723	132	370	171	957	310	102	483	2946	555	386	246	497	65	288	318	380	13	276	63	758	686
AL645608.2	1	0	0	1	0	0	1	2	1	2	7	1	0	0	0	0	0	0	0	0	0	0	0	1
AGRN	1	0	3	0	0	1	7	0	0	2	17	0	1	2	3	0	2	2	1	0	1	0	4	2
AL645608.9	1	0	0	0	1	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	15	6	39	8	24	6	37	13	14	34	118	23	15	24	41	8	32	23	15	0	7	2	24	29
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
TNFRSF18	13	4	259	3	77	13	62	3	9	41	241	4	39	9	27	19	10	4	45	3	21	11	30	54
TNFRSF4	3	11	107	4	32	18	51	5	4	31	78	8	15	2	28	26	14	7	67	0	5	3	46	21
SDF4	154	116	243	78	228	134	497	285	61	493	1202	293	61	60	381	98	320	244	60	17	64	33	187	435
B3GALT6	39	13	12	2	7	0	67	44	0	6	21	1	2	3	9	2	14	5	1	1	2	1	8	10
C1QTNF12	0	3	0	0	1	1	2	1	1	7	1	1	0	0	1	0	1	0	1	0	0	1	1	1
AL162741.1	0	0	0	0	0	1	0	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0
UBE2J2	68	62	188	85	115	115	224	201	42	355	407	144	58	113	152	42	153	137	45	8	52	27	110	335
LINC01786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	5	2	6	0	1	2	2	0	0	5	13	3	1	0	4	1	4	0	3	0	2	0	2	2
ACAP3	19	24	28	4	6	4	42	27	3	33	49	19	1	9	18	6	21	24	3	1	1	0	8	27
PUSL1	59	18	59	19	44	21	71	35	11	53	129	24	22	39	51	13	49	33	30	3	19	6	68	51
INTS11	94	61	322	91	160	145	361	198	56	429	844	235	142	232	281	61	295	206	69	4	85	29	177	337
CPTP	23	21	19	1	7	8	95	67	0	12	44	13	5	3	9	5	12	14	5	0	1	1	13	14
TAS1R3	1	0	0	0	0	0	0	2	0	0	4	1	0	0	1	0	1	0	0	0	0	0	0	4
DVL1	15	4	9	4	4	10	15	2	3	7	18	5	3	2	5	2	10	5	5	0	2	0	7	11
MXRA8	0	0	0	0	2	0	0	0	0	0	4	1	0	0	0	6	0	1	0	0	0	0	1	0
AURKAIP1	269	170	605	189	342	324	809	479	129	854	1529	499	237	320	515	126	396	398	236	20	198	70	426	926
CCNL2	70	35	237	33	101	54	302	87	57	160	738	90	61	42	189	30	504	147	39	9	52	9	120	149
MRPL20	233	154	552	134	274	237	653	341	185	762	1444	330	236	325	596	113	546	405	173	13	175	53	432	622
AL391244.3	0	0	0	0	0	1	2	0	0	1	3	0	0	0	0	0	1	1	1	0	0	1	0	0
ANKRD65	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391244.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATAD3C	3	1	2	4	1	1	6	0	1	13	9	3	0	1	4	3	2	1	3	0	1	0	0	4
ATAD3B	31	19	53	6	12	8	51	15	3	34	86	15	18	10	31	2	56	16	4	1	1	1	18	26
ATAD3A	15	16	5	5	5	3	33	32	1	10	21	4	4	2	7	2	10	7	2	0	2	2	5	8
TMEM240	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0	0	0
SSU72	327	207	389	130	221	216	835	585	77	584	933	262	125	241	390	83	288	202	98	13	128	48	272	566
AL645728.1	7	3	51	8	15	7	49	22	5	24	84	12	13	9	17	3	75	30	6	0	7	2	20	35
FNDC10	0	1	3	0	0	0	1	1	0	0	3	1	0	1	0	0	1	1	0	1	0	0	0	4
AL691432.2	9	4	7	2	7	3	21	17	3	12	44	14	2	3	4	3	13	4	2	1	3	0	3	14
MIB2	86	181	119	43	65	73	280	240	32	189	368	91	25	72	147	38	103	75	36	5	20	15	77	227
MMP23B	4	32	10	4	3	14	49	91	1	34	27	12	5	9	10	3	13	15	5	1	1	0	2	17
CDK11B	42	31	164	63	53	52	158	76	45	156	440	139	56	61	113	21	268	132	30	6	42	7	68	163
FO704657.1	4	2	5	0	2	1	2	0	1	3	5	1	0	1	4	0	4	4	0	0	1	0	3	3
SLC35E2B	16	21	61	20	16	22	76	39	6	84	282	76	29	46	40	9	275	119	11	2	15	4	26	63
CDK11A	60	35	228	78	85	63	190	93	26	178	521	269	63	82	154	42	478	217	42	11	47	20	99	305
SLC35E2A	11	10	46	23	21	32	46	19	7	49	55	29	10	17	38	10	48	31	7	1	6	4	16	53
NADK	8	28	36	12	16	15	56	56	6	60	97	30	7	23	26	14	37	33	11	2	10	6	18	37
GNB1	94	52	144	40	63	50	185	72	29	148	388	113	57	53	133	22	133	102	21	4	42	16	92	158
AL109917.1	1	1	0	1	3	4	3	1	0	3	0	1	0	0	2	0	1	0	0	0	0	0	1	1
CALML6	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TMEM52	3	1	5	0	0	0	11	0	0	0	2	0	2	0	0	0	1	0	1	0	1	0	3	0
CFAP74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AL391845.1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ	47	12	28	1	14	7	80	14	7	18	80	11	10	7	35	5	36	9	3	1	10	1	10	18
AL590822.2	0	0	0	0	0	0	1	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	1
PRKCZ-AS1	0	0	1	0	0	1	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	1	0	1
FAAP20	198	195	193	47	96	88	696	431	41	250	510	110	47	73	219	48	140	114	52	9	49	19	125	276
SKI	101	6	179	19	57	23	119	7	22	40	612	43	66	4	94	9	144	30	31	4	28	4	93	48
MORN1	2	4	8	2	2	4	17	4	1	12	29	13	2	2	8	3	20	12	4	0	4	0	6	10
RER1	148	156	401	125	260	179	603	322	126	663	1201	336	155	208	448	62	299	312	114	20	191	47	249	575
PEX10	9	10	29	10	16	23	29	29	1	63	100	29	5	3	34	6	24	20	3	0	11	4	17	51
PLCH2	14	6	13	1	6	1	24	2	2	16	82	5	8	2	23	2	26	7	6	0	4	0	10	19
AL139246.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139246.4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANK4	8	12	39	5	19	9	62	27	13	47	163	20	14	24	43	9	100	48	18	0	21	4	20	33
HES5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139246.5	27	48	42	17	19	18	244	156	10	53	139	29	7	5	44	6	36	17	10	4	7	1	22	58
TNFRSF14-AS1	15	16	43	11	26	22	37	12	8	88	153	38	8	8	42	9	58	17	12	1	17	4	33	46
TNFRSF14	179	178	665	266	328	373	825	535	134	1113	2361	597	298	589	602	190	679	528	153	18	192	76	307	1037
AL139246.3	1	0	3	0	1	1	6	1	1	5	7	3	0	2	0	1	1	1	0	0	1	0	0	0
FAM213B	2	4	32	8	20	24	28	26	6	42	61	19	12	10	23	15	33	29	11	0	8	1	12	22
MMEL1	0	0	0	0	4	8	0	2	1	2	2	0	0	2	2	0	1	0	0	0	0	0	0	5
TTC34	0	0	2	0	0	0	0	1	0	2	2	0	0	1	0	0	1	0	0	0	0	0	0	0
LINC00982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL590438.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MEGF6	7	0	3	1	2	3	36	2	3	9	24	1	5	3	18	7	28	1	4	0	0	0	9	3
AL513320.1	1	0	4	1	0	0	1	0	1	2	1	2	0	0	1	0	1	1	1	0	1	0	1	1
TPRG1L	6	13	36	15	10	20	35	14	6	43	88	34	10	21	19	12	46	31	10	4	3	7	14	30
WRAP73	47	38	141	29	72	57	180	71	49	129	445	83	58	83	129	20	155	102	41	4	53	14	76	117
TP73	0	0	5	1	2	1	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
AL136528.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMIM1	3	2	16	2	1	5	10	2	2	15	18	9	2	1	13	3	4	3	2	0	10	0	9	9
LRRC47	25	31	26	9	32	10	145	93	8	90	224	23	17	10	68	22	60	22	4	1	9	1	15	34
AL365330.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP104	21	10	38	6	11	11	121	40	8	30	118	25	8	14	27	11	76	62	11	2	11	2	19	22
DFFB	9	9	19	11	7	16	36	18	4	38	71	27	7	21	21	3	41	32	5	1	10	1	8	34
C1orf174	59	26	166	43	55	54	236	145	31	331	564	150	83	108	171	23	197	166	55	7	51	15	73	194
LINC01134	0	0	1	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
AL805961.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL365255.1	0	3	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0
NPHP4	2	2	3	3	6	2	3	4	2	3	13	2	6	2	3	2	7	4	6	0	3	3	3	2
KCNAB2	100	103	271	95	146	169	317	246	59	485	806	303	147	305	327	61	458	438	69	19	98	53	193	427
CHD5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
