PDAC1-biopsy	PDAC1-blood	PDAC10-biopsy	PDAC10-blood	PDAC11-biopsy	PDAC11-blood	PDAC12-biopsy	PDAC12-blood	PDAC2-biopsy	PDAC2-blood	PDAC3-biopsy	PDAC3-blood	PDAC4-biopsy	PDAC4-blood	PDAC5-biopsy	PDAC5-blood	PDAC6-biopsy	PDAC6-blood	PDAC7-biopsy	PDAC7-blood	PDAC8-biopsy	PDAC8-blood	PDAC9-biopsy	PDAC9-blood
AL627309.1	0	0	0	0	0	0	0	0	0	3	2	2	0	0	1	0	2	1	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	21	21	46	12	13	8	14	14	8	70	65	57	5	11	26	5	66	35	8	3	3	4	29	75
FAM87B	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	11	1	26	14	23	12	62	17	4	34	80	38	12	16	32	7	54	18	15	1	9	2	29	61
FAM41C	7	5	0	0	1	0	1	4	3	12	14	12	0	1	3	1	3	1	0	0	0	0	3	8
AL645608.3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
NOC2L	43	45	257	97	109	142	223	190	40	365	721	239	79	214	162	78	243	215	52	13	72	31	125	318
KLHL17	18	5	18	3	5	3	9	4	1	8	21	3	5	5	2	0	6	10	3	2	0	1	3	15
PLEKHN1	3	1	12	0	6	2	6	0	1	17	40	7	2	3	10	4	8	4	2	0	4	0	5	5
PERM1	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2
AL645608.8	0	0	5	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
HES4	23	3	2	0	2	0	170	0	0	1	7	0	0	0	0	0	0	1	2	0	0	0	0	1
ISG15	334	214	1010	169	479	233	1003	476	114	635	3795	844	512	397	539	102	317	397	398	21	329	93	786	921
AL645608.2	1	0	1	2	0	0	2	3	1	3	9	2	0	0	0	0	0	1	0	0	0	0	0	1
AGRN	3	1	9	0	0	1	7	0	0	2	21	2	1	2	3	1	2	2	2	0	1	0	4	5
AL645608.9	1	0	0	0	1	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	16	10	54	8	27	9	43	26	16	49	131	35	17	42	44	15	34	29	16	0	7	2	27	42
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
TNFRSF18	15	4	725	6	427	16	148	5	20	63	752	4	60	11	74	19	77	8	52	6	33	16	41	71
TNFRSF4	3	20	139	6	111	21	66	5	9	40	117	10	16	2	31	31	17	8	70	0	7	3	47	27
SDF4	166	145	351	100	342	202	547	460	74	689	1494	424	66	97	448	147	356	305	67	24	77	46	206	601
B3GALT6	41	17	16	2	7	4	74	72	1	6	23	1	2	3	10	4	14	7	1	1	2	1	9	12
C1QTNF12	0	4	0	0	1	1	2	2	1	7	1	1	0	1	1	0	1	0	1	0	0	1	1	1
AL162741.1	0	1	0	0	0	1	0	0	0	0	2	2	1	1	0	0	1	0	0	0	0	0	0	1
UBE2J2	72	81	258	111	152	181	249	319	53	461	522	219	71	181	172	62	161	171	49	14	65	47	124	468
LINC01786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	5	3	7	1	1	2	2	0	0	6	16	3	1	1	4	1	4	0	3	0	2	0	2	2
ACAP3	20	34	32	4	8	10	44	41	3	40	55	28	1	11	18	9	22	30	4	1	3	2	8	36
PUSL1	63	23	81	24	53	29	81	70	12	70	148	40	25	66	55	18	52	40	32	3	19	8	75	71
INTS11	98	76	430	116	210	235	390	318	68	553	1032	344	163	386	307	99	323	248	71	5	101	48	194	457
CPTP	27	24	23	2	9	11	105	103	1	16	57	20	5	4	10	6	12	19	5	0	1	3	14	20
TAS1R3	1	0	1	0	0	0	0	2	0	0	4	1	0	0	1	0	2	0	0	0	0	0	0	5
DVL1	18	6	13	6	4	11	18	4	3	10	20	9	3	2	5	4	10	5	5	0	2	1	10	14
MXRA8	0	1	0	0	2	17	2	3	0	1	4	7	0	14	0	15	0	3	0	0	0	1	2	3
AURKAIP1	283	215	811	241	455	482	872	790	158	1124	1829	735	274	515	573	211	430	485	249	29	231	123	453	1236
CCNL2	74	44	313	45	123	77	321	139	67	200	821	138	65	59	201	54	531	189	41	11	65	12	129	198
MRPL20	251	189	775	171	352	369	715	608	214	1014	1656	536	262	565	663	195	577	507	186	25	201	97	463	896
AL391244.3	0	0	0	0	0	1	2	0	0	1	3	0	0	1	0	0	1	1	1	0	0	1	0	2
ANKRD65	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391244.2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATAD3C	3	4	2	4	1	3	6	2	2	16	9	6	0	4	7	5	2	1	3	0	1	0	0	7
ATAD3B	32	21	64	8	14	18	56	29	6	39	101	28	18	13	37	3	59	18	6	1	1	2	20	31
ATAD3A	15	19	5	5	7	5	37	43	1	14	22	7	6	6	8	4	10	9	2	0	2	2	5	10
TMEM240	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	3	0	0	0	0	0	0
SSU72	353	262	540	176	272	337	916	1034	96	798	1066	409	140	421	435	154	311	253	107	16	146	76	291	804
AL645728.1	9	3	63	10	17	15	51	33	5	31	94	25	15	20	19	3	78	38	6	1	9	2	21	49
FNDC10	0	1	3	1	0	0	1	3	0	0	3	1	0	1	1	0	2	2	0	1	0	0	0	7
AL691432.2	11	5	11	5	9	14	25	29	3	14	47	21	4	8	6	10	14	5	2	1	5	0	3	21
MIB2	89	219	149	51	82	109	303	360	36	256	421	134	31	113	164	51	107	103	37	8	21	20	83	318
MMP23B	4	39	11	7	3	19	52	113	1	48	28	17	6	14	12	3	13	20	5	2	1	1	3	20
CDK11B	44	42	231	74	72	71	172	121	49	213	513	194	58	86	123	35	278	158	32	11	45	12	72	225
FO704657.1	5	4	7	0	2	1	3	0	2	4	6	3	0	2	4	0	4	4	0	0	1	1	3	3
SLC35E2B	16	34	75	27	21	33	80	54	8	112	329	106	33	64	42	20	297	144	11	3	22	10	29	79
CDK11A	62	41	302	101	95	84	206	144	29	227	618	370	80	111	167	65	502	258	44	15	52	33	103	406
SLC35E2A	11	14	62	28	26	43	48	30	8	64	63	45	12	28	40	18	50	36	9	2	7	7	19	71
NADK	9	33	45	16	21	19	59	77	8	71	116	46	9	30	29	29	39	40	12	3	11	9	19	58
GNB1	98	62	184	54	80	65	200	121	42	199	453	157	70	75	142	34	149	124	25	8	53	22	93	214
AL109917.1	1	1	0	1	3	5	3	2	0	4	0	1	0	1	2	1	1	1	0	0	0	0	1	2
CALML6	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TMEM52	3	1	5	0	0	0	12	0	1	0	3	0	2	0	0	0	1	0	1	0	1	0	4	0
CFAP74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AL391845.1	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ	48	17	34	2	16	10	85	33	7	23	97	15	10	12	35	7	37	13	3	2	12	3	12	25
AL590822.2	0	0	0	0	0	0	1	1	0	1	5	0	0	4	0	0	0	0	0	0	0	1	0	1
PRKCZ-AS1	0	0	1	0	0	1	0	0	0	0	3	2	0	0	1	0	0	0	0	0	0	1	0	1
FAAP20	221	254	255	59	141	135	762	779	45	330	620	191	55	140	246	81	150	138	56	14	63	36	131	389
SKI	103	8	211	21	66	30	126	14	28	60	665	59	69	9	95	13	149	34	31	5	30	6	95	61
MORN1	2	5	8	2	4	6	20	9	1	16	34	14	2	5	9	6	20	15	4	1	4	0	6	12
RER1	157	203	569	164	356	262	662	477	162	888	1447	475	183	305	483	104	330	401	124	31	220	76	273	793
PEX10	10	10	39	15	21	33	30	46	2	80	112	44	5	4	37	8	26	21	3	0	13	6	21	74
PLCH2	14	6	18	1	6	1	24	7	2	19	96	8	8	2	27	3	29	8	6	1	4	0	10	27
AL139246.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139246.4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANK4	9	16	61	8	23	11	69	35	17	54	192	43	19	38	53	16	103	60	19	1	24	6	22	47
HES5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139246.5	30	59	59	24	21	25	267	255	11	74	157	44	8	10	51	8	37	23	12	6	10	2	28	82
TNFRSF14-AS1	15	18	73	12	30	29	39	18	9	114	179	42	8	15	48	11	61	21	13	2	22	7	34	64
TNFRSF14	193	235	901	328	400	582	902	905	165	1479	2702	907	344	1002	681	336	711	648	161	28	220	135	351	1482
AL139246.3	1	0	3	0	1	1	6	1	1	6	7	4	0	2	0	1	1	2	0	0	1	1	0	0
FAM213B	2	8	36	11	26	43	31	59	7	54	77	30	13	25	27	24	34	32	12	0	9	3	13	36
MMEL1	0	0	0	0	5	19	0	7	2	5	4	1	0	7	2	2	1	1	0	0	0	3	0	11
TTC34	0	0	2	0	0	0	0	3	0	2	2	0	0	1	0	0	1	0	0	0	0	0	0	1
LINC00982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL590438.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MEGF6	9	0	4	1	2	4	38	8	4	9	27	4	5	8	20	11	28	1	5	0	1	0	9	4
AL513320.1	1	0	4	1	0	0	1	0	2	2	2	2	0	0	1	0	1	2	1	0	1	0	1	1
TPRG1L	6	17	44	21	11	24	35	21	7	65	99	51	10	35	21	20	51	38	10	5	4	13	14	44
WRAP73	49	46	212	46	97	71	193	102	54	163	521	125	67	137	136	29	168	122	43	8	66	18	84	169
TP73	0	1	12	1	6	1	2	1	1	0	8	0	0	0	0	0	2	0	0	0	0	0	2	0
AL136528.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMIM1	5	3	24	2	3	10	11	7	4	18	25	12	2	5	21	7	4	5	3	2	14	6	9	19
LRRC47	26	41	34	10	40	11	157	190	9	120	264	33	18	13	75	43	64	26	4	1	10	2	16	51
AL365330.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP104	22	11	47	9	15	16	128	70	9	36	135	37	8	17	28	18	82	74	12	2	11	3	19	34
DFFB	10	10	26	12	10	21	41	27	7	50	80	41	7	33	24	8	44	38	6	1	13	4	9	47
C1orf174	60	36	232	60	68	72	257	223	36	413	644	211	97	149	184	33	205	205	59	8	57	22	79	277
LINC01134	0	2	1	0	1	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0
AL805961.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AL365255.1	0	3	0	2	0	0	0	0	0	1	0	1	0	0	1	0	0	3	0	0	0	0	0	1
NPHP4	2	3	4	4	7	2	3	5	2	5	15	5	7	4	3	3	7	4	6	0	3	4	3	3
KCNAB2	109	139	375	119	188	217	340	387	73	669	962	457	170	445	368	93	494	526	78	23	107	72	211	572
CHD5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RPL22	2933	3120	7856	2804	4309	8325	6555	7974	2519	17389	24374	11211	3002	10540	8815	4636	6952	4783	2001	477	2237	1625	4012	13669
AL031847.1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF207	0	0	8	0	2	5	2	4	1	8	8	2	2	1	1	5	4	3	0	0	0	0	1	9
ICMT	22	17	67	16	45	18	96	88	17	118	239	77	22	27	79	19	90	79	17	4	19	13	45	79
LINC00337	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	1	0	1
GPR153	0	2	0	2	0	2	0	2	0	1	2	6	0	4	0	0	1	2	0	0	0	1	0	4
ACOT7	9	22	127	20	69	27	94	36	8	96	132	39	17	50	52	20	8	44	21	5	19	8	39	74
