	01_PDAC10_biopsy_CD45p1	01_PDAC11_biopsy_CD45p1	01_PDAC12_biopsy_CD45p1	01_PDAC1_biopsy_CD45p1	01_PDAC1_biopsy_CD45p2	01_PDAC2_biopsy_CD45p1	01_PDAC3_biopsy_CD45p1	01_PDAC4_biopsy_CD45p1	01_PDAC5_biopsy_CD45p1	01_PDAC6_biopsy_CD45p1	01_PDAC8_biopsy_CD45p1	01_PDAC9_biopsy_CD45p1	02_PDAC10_biopsy_CD45p2	02_PDAC11_biopsy_CD45p2	02_PDAC12_biopsy_CD45p2	02_PDAC1_blood_CD45p1	02_PDAC2_biopsy_CD45p2	02_PDAC3_biopsy_CD45p2	02_PDAC6_biopsy_CD45p2	02_PDAC8_biopsy_CD45p2	02_PDAC9_biopsy_CD45p2	03_PDAC10_blood_CD45p1	03_PDAC11_blood_CD45p1	03_PDAC12_blood_CD45p1	03_PDAC2_blood_CD45p1	03_PDAC3_blood_CD45p1	03_PDAC4_blood_CD45p1	03_PDAC5_blood_CD45p1	03_PDAC6_blood_CD45p1	03_PDAC8_blood_CD45p1	03_PDAC9_blood_CD45p1	04_PDAC7_biopsy_CD45p1	05_PDAC7_biopsy_CD45p2	07_PDAC7_blood_CD45p1	06_HC1_blood_CD45p1	07_HC2_blood_CD45p1	HC_10X1	HC_10X2	HC_10X3	vdj_v1_hs_pbmc4	vdj_v1_hs_pbmc5
-	110	59	65	52	34	65	155	376	126	52	75	106	140	91	58	1286	73	188	65	83	86	84	422	106	738	163	525	521	107	92	474	171	78	74	0	0	0	0	0	0	0
B cell  plasma cell	41	23	22	9	12	6	40	69	60	27	15	21	34	25	20	16	5	41	13	12	25	17	24	24	3	5	4	12	17	6	7	40	18	13	71	40	8	24	22	46	72
B cell  plasmablast	0	1	1	0	1	2	12	431	4	0	1	0	2	7	1	2	1	0	0	0	2	1	7	0	10	1	1	2	0	0	7	1	3	0	2	11	14	21	21	7	17
B cell DZ GC	1	1	2	0	0	0	90	1	26	15	0	2	2	1	1	0	0	90	17	0	2	1	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0
B cell GZMB+ memory	22	1	27	2	4	2	40	127	40	37	4	11	21	2	30	16	2	45	33	1	16	54	18	7	2	4	5	8	3	1	14	20	2	4	0	0	0	0	0	0	0
B cell LZ GC	12	8	3	3	2	0	120	26	36	20	1	16	4	5	3	4	0	107	25	1	17	76	6	12	8	11	6	1	2	4	27	12	11	2	0	0	0	0	0	0	0
B cell MZ	5	2	8	5	5	0	13	5	57	39	1	12	7	1	7	14	0	16	34	1	17	62	26	78	40	14	117	15	21	10	93	13	5	9	9	4	34	39	39	38	63
B cell activated pre-memory	46	5	25	25	20	0	59	14	61	35	3	27	29	8	16	20	0	47	44	2	34	220	18	17	20	21	21	1	12	7	43	21	6	10	268	284	199	184	184	180	316
B cell memory	210	45	255	70	82	0	534	184	642	274	13	230	247	43	263	101	1	491	320	20	302	1037	175	205	166	244	254	22	64	49	435	240	148	144	107	105	185	157	153	159	261
B cell memory activated	250	57	301	83	83	0	509	89	803	440	22	340	306	54	306	28	1	463	527	18	398	362	61	104	71	75	110	6	56	18	182	292	180	62	0	0	0	0	0	0	0
B cell naive	50	43	66	29	46	0	670	24	491	135	0	122	42	39	79	40	0	671	166	1	138	71	104	84	109	193	168	2	43	46	292	101	73	140	303	755	728	652	652	244	340
ILC ILC NK	71	42	34	10	12	9	49	74	279	11	29	26	69	49	35	8	12	44	11	29	28	22	19	4	79	46	17	25	27	3	31	39	20	20	107	88	2	32	32	44	117
ILC ILC1	28	20	44	1	2	7	71	45	30	20	11	15	44	18	31	0	7	74	27	11	14	0	2	0	2	0	1	1	1	1	3	12	7	0	0	0	0	0	0	0	0
ILC ILC2	12	20	18	10	8	2	27	30	43	8	3	5	13	13	16	1	4	29	8	5	5	1	3	0	1	1	1	1	0	0	2	12	7	0	0	0	0	0	0	0	0
ILC ILC3	22	113	35	18	21	8	45	79	83	18	16	17	44	122	40	2	9	63	25	17	24	2	0	0	2	1	1	4	0	1	4	35	25	3	0	0	0	0	0	0	0
Myeloid DC CD207+ LC-like DC	3	46	9	0	0	1	0	16	1	0	8	0	0	48	7	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	42	33	0	0	0	0	0	0	0	0
Myeloid DC CLEC9A+ DC	2	9	0	0	0	0	0	15	1	2	4	2	1	7	0	0	0	0	0	2	2	0	7	0	1	4	2	15	5	3	0	2	0	5	0	0	1	4	4	7	7
Myeloid DC DC2A CD1A+	5	19	9	4	5	12	3	24	19	0	10	7	13	7	13	0	12	2	1	2	5	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0
Myeloid DC DC2B CCL17+	3	47	2	3	0	31	3	22	12	0	15	2	7	49	3	0	30	4	0	9	1	0	0	0	0	0	0	0	0	0	0	25	14	0	0	0	0	0	0	0	0
Myeloid DC DC2B CXCL2/3+	21	3	1	3	5	3	3	160	43	5	10	6	25	5	6	0	3	4	6	10	16	0	0	0	0	0	0	0	0	0	0	18	10	0	0	0	0	0	0	0	0
