Cell_type	Group	GSM4710689_PDAC_TISSUE_1	GSM4710690_PDAC_TISSUE_2	GSM4710691_PDAC_TISSUE_3	GSM4710692_PDAC_TISSUE_4	GSM4710693_PDAC_TISSUE_5	GSM4710694_PDAC_TISSUE_6	GSM4710695_PDAC_TISSUE_7	GSM4710696_PDAC_TISSUE_8	GSM4710697_PDAC_TISSUE_9	GSM4710698_PDAC_TISSUE_10	GSM4710699_PDAC_TISSUE_11A	GSM4710700_PDAC_TISSUE_11B	GSM4710701_PDAC_TISSUE_12	GSM4710702_PDAC_TISSUE_13	GSM4710703_PDAC_TISSUE_14	GSM4710704_PDAC_TISSUE_15	GSM4710705_PDAC_TISSUE_16	GSM4710706_AdjNorm_TISSUE_1	GSM4710707_AdjNorm_TISSUE_2	GSM4710708_AdjNorm_TISSUE_3	GSM4710709_PDAC_PBMC_1	GSM4710710_PDAC_PBMC_2	GSM4710711_PDAC_PBMC_3	GSM4710712_PDAC_PBMC_4	GSM4710713_PDAC_PBMC_5	GSM4710714_PDAC_PBMC_6	GSM4710715_PDAC_PBMC_7	GSM4710716_PDAC_PBMC_8	GSM4710717_PDAC_PBMC_9	GSM4710718_PDAC_PBMC_10A	GSM4710719_PDAC_PBMC_10B	GSM4710720_PDAC_PBMC_11	GSM4710721_PDAC_PBMC_12	GSM4710722_PDAC_PBMC_13	GSM4710723_PDAC_PBMC_14	GSM4710724_PDAC_PBMC_15	GSM4710725_PDAC_PBMC_16	GSM4710726_Healthy_PBMC_1	GSM4710727_Healthy_PBMC_2	GSM4710728_Healthy_PBMC_3	GSM4710729_Healthy_PBMC_4	PDAC_N1	PDAC_N10	PDAC_N11	PDAC_N2	PDAC_N3	PDAC_N4	PDAC_N5	PDAC_N6	PDAC_N7	PDAC_N8	PDAC_N9	PDAC_T1	PDAC_T10	PDAC_T11	PDAC_T12	PDAC_T13	PDAC_T14	PDAC_T15	PDAC_T16	PDAC_T17	PDAC_T18	PDAC_T19	PDAC_T2	PDAC_T20	PDAC_T21	PDAC_T22	PDAC_T23	PDAC_T24	PDAC_T3	PDAC_T4	PDAC_T5	PDAC_T6	PDAC_T7	PDAC_T8	PDAC_T9	PDAC1_biopsy	PDAC1_blood	PDAC10_biopsy	PDAC10_blood	PDAC11_biopsy	PDAC11_blood	PDAC12_biopsy	PDAC12_blood	PDAC2_biopsy	PDAC2_blood	PDAC3_biopsy	PDAC3_blood	PDAC4_biopsy	PDAC4_blood	PDAC5_biopsy	PDAC5_blood	PDAC6_biopsy	PDAC6_blood	PDAC7_biopsy	PDAC7_blood	PDAC8_biopsy	PDAC8_blood	PDAC9_biopsy	PDAC9_blood
Acinar	Non-immune	1	51	7	95	21	15	12	29	19	5	5	3	27	82	1	7	3	269	637	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	666	1067	1594	2129	242	746	127	509	799	620	1067	19	6	29	27	439	44	112	94	69	62	32	80	28	46	59	27	487	16	26	48	118	80	22	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centroacinar	Non-immune	0	0	1	1	2	0	0	1	0	0	3	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	101	98	46	36	139	116	132	176	56	102	2	4	4	2	28	1	11	9	2	4	1	13	3	0	1	3	29	1	4	13	20	17	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endocrine	Non-immune	0	14	3	4	7	7	11	10	5	1	17	7	4	40	0	6	2	56	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	14	20	76	108	39	15	36	90	82	14	97	8	56	15	58	14	72	60	83	30	235	52	37	34	31	101	126	22	39	97	97	18	11	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endothelial cell	Non-immune	0	76	19	60	11	13	102	22	4	3	15	4	2	139	2	10	2	102	58	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2161	825	1769	1248	188	832	432	1390	947	1305	825	436	187	102	318	662	163	545	564	205	421	1543	289	268	53	49	250	1019	219	62	616	629	251	41	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epithelial	Non-immune	259	876	641	187	282	760	117	495	188	28	561	52	11	2259	16	492	763	281	20	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3124	1273	1988	1211	1000	3819	2429	2931	2463	1668	1272	578	327	784	652	1518	2816	1032	690	3677	2747	1142	996	1222	645	2436	517	1745	819	1237	578	1439	930	1347	2946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibroblast	Non-immune	1	81	22	83	89	23	409	374	9	12	42	15	0	48	4	117	31	24	4	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	21	78	233	30	40	9	134	49	199	21	76	49	2148	101	321	123	797	459	277	435	228	118	18	67	40	1499	620	173	95	82	83	73	42	1184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stellate cell	Non-immune	4	13	3	41	6	7	585	51	2	4	5	12	1	22	1	4	3	432	15	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575	45	102	322	157	86	58	272	116	271	45	239	306	585	372	368	168	814	701	174	697	1636	246	121	58	123	596	815	372	171	391	399	344	70	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
apapCAF	CAF	0	38	1	14	12	8	103	51	0	5	15	7	0	12	2	52	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	3	0	2	0	0	0	4	0	17	4	544	16	43	21	238	111	105	64	28	14	0	37	17	508	72	21	38	4	21	9	20	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iCAF	CAF	0	6	9	30	32	2	116	156	2	0	0	2	0	1	1	6	8	9	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	12	49	148	20	31	7	95	40	138	12	29	10	516	28	106	46	208	112	49	181	74	36	5	0	5	345	223	74	21	41	27	21	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meCAF	CAF	0	2	3	13	11	0	23	52	4	1	0	0	0	1	1	6	1	7	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	1	14	23	2	1	0	20	4	23	1	7	7	132	13	33	12	85	91	10	52	34	16	2	0	7	167	89	34	11	15	11	9	1	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
