p.site	p.analysis	p_value	mean.group. 1	mean.group. 2	sd.group. 1	sd.group. 2
B cell  plasma cell	biopsy	cell_proportions_CD45	0.987876479448451	0.645162131806344	0.634183280133597	0.259840026333407	0.164032033046857
B cell  plasmablast	biopsy	cell_proportions_CD45	0.184299603767506	1.26983384182514	0.0324762052849668	2.6924111848835	0.0232019387621763
B cell activated pre-memory	biopsy	cell_proportions_CD45	0.000503794271366553	0.167523950276814	0.864397230196248	0.146768804392854	0.287321348294953
B cell DZ GC	biopsy	cell_proportions_CD45	0.0827766671241442	0.0133622233593002	0.282046100713001	0.0133337942633133	0.407144635913625
B cell GZMB+ memory	biopsy	cell_proportions_CD45	0.417004306699367	0.473185377057227	0.525483215108519	0.745753541608101	0.229250590904619
B cell LZ GC	biopsy	cell_proportions_CD45	0.138896264708839	0.178569724997056	0.485068910919384	0.167957840583236	0.467742743254862
B cell memory	biopsy	cell_proportions_CD45	0.0029320295677539	1.98840008467958	6.57587321146983	2.26547338667708	1.73473741215082
B cell memory activated	biopsy	cell_proportions_CD45	0.00271724320527764	2.04549902911575	8.36970794846731	2.75768658929787	3.37991650723879
B cell MZ	biopsy	cell_proportions_CD45	0.0137739183650726	0.0811764359433914	0.408394915644077	0.10458476253911	0.305853847447644
B cell naive	biopsy	cell_proportions_CD45	0.00994540892071694	0.772253947616395	3.86631479858041	1.06261288180717	2.56249443076556
ILC ILC NK	biopsy	cell_proportions_CD45	0.882788532149111	0.940093111766273	1.11793681020327	0.186470496791793	0.911617983648881
ILC ILC1	biopsy	cell_proportions_CD45	0.509367532746265	0.439869310260716	0.591784737010784	0.128134655675803	0.308491072568617
ILC ILC2	biopsy	cell_proportions_CD45	0.446424588747879	0.284421376027138	0.338720095288097	0.120807010968156	0.118166338845943
ILC ILC3	biopsy	cell_proportions_CD45	0.340707202285831	1.17768442548605	0.794148054759762	0.914188994626484	0.16230938412475
Myeloid DC CD207+ LC-like DC	biopsy	cell_proportions_CD45	0.00342946692517219	0.560547271245265	0.031803284296644	0.500408053839135	0.0650659235569412
Myeloid DC CLEC9A+ DC	biopsy	cell_proportions_CD45	0.0691009282048359	0.108099791976564	0.0206485761189546	0.0935975204114252	0.0266133616680641
Myeloid DC DC2A CD1A+	biopsy	cell_proportions_CD45	0.132617301241129	0.33878846808891	0.166759702799132	0.243755927383	0.100240200055058
Myeloid DC DC2B CCL17+	biopsy	cell_proportions_CD45	0.000713099559122987	0.866390650469443	0.0688615066131846	0.645162634957695	0.0443929192444994
Myeloid DC DC2B CXCL2/3+	biopsy	cell_proportions_CD45	0.302465379028897	0.66376419905906	0.269334449837809	0.901363360444505	0.196709461466164
Myeloid DC moDC	biopsy	cell_proportions_CD45	0.0037923364940376	2.13393183686866	0.369868722930916	1.4259226051464	0.376923190085037
Myeloid DC mregDC	biopsy	cell_proportions_CD45	0.0415562279112348	0.265388372193245	0.0932464454476841	0.130882802838886	0.166334304290189
Myeloid DC pDC	biopsy	cell_proportions_CD45	0.502248714231881	0.167710105297901	0.0856007815024622	0.242991853487801	0.148586614153909
Myeloid granulocyte	biopsy	cell_proportions_CD45	0.177769787977535	2.57903840262705	1.52221136290452	1.39406423029904	1.60972069705752
Myeloid Mast	biopsy	cell_proportions_CD45	0.000951253885058008	2.69383248468464	0.0649815551770504	2.15404020018184	0.0511120465727168
Myeloid Mast activated	biopsy	cell_proportions_CD45	0.050975860287428	4.61712299593593	0.8719968460033	4.5904639956802	0.958133343271582
Myeloid momac CES1	biopsy	cell_proportions_CD45	0.00317782825828811	0.952467510492081	0.0649894407161662	0.784602383957965	0.0669425057006842
Myeloid momac FCN1	biopsy	cell_proportions_CD45	0.000689020882278999	3.397795904914	0.133236659578555	3.05143474466876	0.207186797448098
Myeloid momac FCN1 cycling	biopsy	cell_proportions_CD45	0.162504159725944	0.822410637230056	0.086858553826075	1.52372547804977	0.0836138315124893
Myeloid momac FOLR2	biopsy	cell_proportions_CD45	0.0120595167957152	5.01624061553955	0.769140839010526	5.06859030294361	0.670015590246505
Myeloid momac FOLR2 cycling	biopsy	cell_proportions_CD45	0.0436176916692763	1.34533115495241	0.059057761905798	2.22344829571453	0.0550026669371343
Myeloid momac PLIN2	biopsy	cell_proportions_CD45	0.0035305753069797	5.56719083083693	0.0742285716208713	5.7521372067638	0.0727501890308938
Myeloid momac RETN	biopsy	cell_proportions_CD45	0.120599984153278	0.95501585675671	0.001504234419892	1.9169064566607	0.00397983018857773
Myeloid momac TREM2	biopsy	cell_proportions_CD45	0.0601885465429751	4.82557758883558	0.335031617832876	8.12089722271051	0.267342013831547
Myeloid momac TREM2 cycling	biopsy	cell_proportions_CD45	0.00902464345398166	0.700101032861978	0.0938622017304973	0.588590027488422	0.122657495430603
Myeloid monocyte conv	biopsy	cell_proportions_CD45	0.266494901847168	0.233937991291654	0.486521232037044	0.159949067920728	0.369995178100962
Myeloid monocyte nonconv	biopsy	cell_proportions_CD45	0.626589023676449	0.122626043997394	0.100302137243813	0.110938990264457	0.0714280956750683
NK cell iNKTs	biopsy	cell_proportions_CD45	0.109706701618163	0.00606875852736585	0.01441680734857	0.00865655593058202	0.00834338479448767
NK cell NK active	biopsy	cell_proportions_CD45	0.877194423860201	0.297155306479535	0.371187557011702	0.17017735735822	0.557679576163202
NK cell NK CD56bright	biopsy	cell_proportions_CD45	0.272968200720363	0.17273797616348	0.119327509269394	0.0838088260406905	0.106137505808906
NK cell NK mature	biopsy	cell_proportions_CD45	0.768006538724539	0.271666799970326	0.299169060723243	0.0400230400997068	0.325458015787971
NK cell NK terminal	biopsy	cell_proportions_CD45	0.817726985736341	0.0447383512645921	0.0686426212000705	0.01963704476916	0.0734707380849349
NK cell NK transitional	biopsy	cell_proportions_CD45	0.15076737792387	1.45048507799029	0.877253015174765	0.803309342241429	0.508147920533458
T cell CD4 CM	biopsy	cell_proportions_CD45	0.104377491627573	0.949072464160693	1.40360415399454	0.275950193094048	0.529552844545376
T cell CD4 CM Activated	biopsy	cell_proportions_CD45	0.058420352462501	0.312076022949264	0.0294476563828441	0.4843425575062	0.0233119525667649
T cell CD4 EM	biopsy	cell_proportions_CD45	0.292182682326113	1.15401488312166	1.82106402746656	0.521232747322171	1.31941545865653
T cell CD4 Exhausted	biopsy	cell_proportions_CD45	0.823020657441095	0.694338284814178	0.768970591562803	0.51967214146936	0.548938371452254
T cell CD4 Naive	biopsy	cell_proportions_CD45	0.080669206299143	2.51042149030705	4.38775828500274	1.53027865552706	1.97094373632909
T cell CD4 Senescent	biopsy	cell_proportions_CD45	0.895036674560148	0.0990380259443438	0.122495936885339	0.0752596117930827	0.143376897183176
T cell CD4 Tfh	biopsy	cell_proportions_CD45	0.0723353486815604	3.91749945444026	6.51971686009932	2.53666331989567	2.19673071036914
T cell CD4 Tfh Activated	biopsy	cell_proportions_CD45	0.344523038127904	0.848634535818637	1.3209080857876	0.619141930793644	0.978868194435727
T cell CD4 Th1	biopsy	cell_proportions_CD45	0.10573151106647	0.188775045311544	0.0912948789110847	0.107085629179747	0.0835165014196209
T cell CD4 Th17	biopsy	cell_proportions_CD45	0.402052535940738	2.75590267872605	2.35841409046194	0.93866690317376	0.674372039026953
T cell CD4 Th17 Activated	biopsy	cell_proportions_CD45	0.512941292083257	1.19978868148068	1.04310547579182	0.453460218605513	0.324089989637855
T cell CD4 Th2	biopsy	cell_proportions_CD45	0.533492370891077	4.7947975346577	4.38221710313483	1.44688436133255	0.396924164345829
T cell CD4 Treg	biopsy	cell_proportions_CD45	0.203409236370128	3.6807215217939	2.50308691556607	2.10658200131638	0.609351546276746
T cell CD4 Treg Activated	biopsy	cell_proportions_CD45	0.0143458411855531	4.44331971366913	2.16941295031308	2.03364734686588	0.711362535654015
T cell CD8 CM Activated	biopsy	cell_proportions_CD45	0.0409482877257943	0.231664829521932	0.0890327281839176	0.168453811446384	0.0692757630849491
T cell CD8 EM	biopsy	cell_proportions_CD45	0.000676477326872428	10.8387947219556	23.8821336625799	2.32057434972944	6.61992808916568
T cell CD8 EM Activated	biopsy	cell_proportions_CD45	0.00116661622305295	4.1747972505937	8.02244644531408	0.438379809022088	2.0911089844956
T cell CD8 EMRA	biopsy	cell_proportions_CD45	0.293190446679265	1.45621867360761	2.00341430725407	0.713744346212383	0.948591450106897
T cell CD8 Exhausted	biopsy	cell_proportions_CD45	0.351003899670773	1.09149355442127	2.05413238507658	0.546225915777968	2.02532063677518
T cell CD8 Naive	biopsy	cell_proportions_CD45	0.108670955557562	0.247050771898183	0.381532538096128	0.176127018510972	0.132767311047054
T cell CD8 Senescent	biopsy	cell_proportions_CD45	0.221697847467207	0.510488465734368	0.864808728008993	0.209891528918456	0.532439225079267
T cell gdT	biopsy	cell_proportions_CD45	0.00108413843979206	1.33860559972111	0.269434126131499	0.640564305650697	0.236036698484523
