p.site	p.analysis	p_value	mean.group. 1	mean.group. 2	sd.group. 1	sd.group. 2
B cell  plasma cell	biopsy	cell_proportions_B cells	0.0166627011330844	53.2982293964994	29.2195270733235	24.8314119610314	25.2895545938765
B cell  plasmablast	biopsy	cell_proportions_B cells	0.293912553523026	2.06692230422275	0.917223562967056	3.60768184794211	1.58517411245776
B cell activated pre-memory	biopsy	cell_proportions_B cells	0.0163878042536039	5.00683833028475	8.88211033140295	5.0095135274218	3.57715985611838
B cell DZ GC	biopsy	cell_proportions_B cells	0.329451027382933	0.633058568952462	1.24944453638856	1.29185329607287	1.97750992456158
B cell GZMB+ memory	biopsy	cell_proportions_B cells	0.510128849372369	4.36357938825156	3.5055037099971	3.49324552586126	2.77574396577628
B cell LZ GC	biopsy	cell_proportions_B cells	0.302660378014279	2.81931821621368	4.82116646112308	3.64026888088608	5.85267901165747
B cell memory	biopsy	cell_proportions_B cells	0.0920661851929643	18.7945696328022	27.2539344468694	12.5769293303309	11.8998611227407
B cell memory activated	biopsy	cell_proportions_B cells	0.0433152249768342	7.23317652936431	12.8440359229946	5.08851569217808	7.42070676383632
B cell MZ	biopsy	cell_proportions_B cells	0.274844423624821	1.57312015622448	2.21598764944981	2.23073754829889	2.27409157398478
B cell naive	biopsy	cell_proportions_B cells	0.0382347970134646	4.21118747718436	9.09106630548387	2.99098453753498	6.35062339716439
Acinar	biopsy	cell_proportions_broad all	0.831995648574405	2.20746702714539	1.86904497034773	2.83780310386842	1.87013255968277
B cells	biopsy	cell_proportions_broad all	0.0450335287604698	2.82009295345582	7.35750111065258	2.12060726066974	7.10532775874373
Centroacinar	biopsy	cell_proportions_broad all	0.220743228984966	0.161313776313836	0.235731548904025	0.222534972499533	0.213757570065905
Endocrine	biopsy	cell_proportions_broad all	0.222396055945899	1.84564569523439	1.29406288622486	1.35270715091696	0.857807844629691
Endothelial cell	biopsy	cell_proportions_broad all	0.966252651225562	9.88156858841784	9.16951767735347	7.9173353805469	5.96038984477141
Epithelial	biopsy	cell_proportions_broad all	0.922475316483773	35.9855102510361	34.9382039616409	20.1429114641881	17.5062223834627
Fibroblast	biopsy	cell_proportions_broad all	0.394633917635068	9.41691298715916	6.64870109890145	10.8804412319902	8.23872388382287
Myeloid cells	biopsy	cell_proportions_broad all	0.0263804694063577	17.4343734290378	10.7220452968204	8.4330180086384	4.36073959842583
NK cells	biopsy	cell_proportions_broad all	0.138963594385135	1.16736358002396	1.67942242909155	0.609829137755055	0.906551799761089
Stellate cell	biopsy	cell_proportions_broad all	0.658728011744396	9.6880479370665	10.6914628899195	5.68637090780337	5.71215446074874
T cells	biopsy	cell_proportions_broad all	0.0073788093570908	9.3917037751092	15.3943061301435	5.63657215062404	4.60523128066868
B cells	biopsy	cell_proportions_broad immune	0.0200562333750949	8.87484800831431	18.2040558214675	2.96208696926289	11.2649763251272
Myeloid cells	biopsy	cell_proportions_broad immune	8.64603923353156e-08	57.6335054599636	31.3310399939716	8.6786512060148	6.88876068423683
NK cells	biopsy	cell_proportions_broad immune	0.206007928789916	3.8934933888145	4.76683948263213	1.60717561258839	1.57808722514457
T cells	biopsy	cell_proportions_broad immune	4.37815659910668e-05	29.5981531429076	45.6980647019287	8.40274544203222	7.19509860471262
apapCAF	biopsy	cell_proportions_CAF	0.330019327619107	24.8627902809767	21.020916047035	12.7403784827774	15.6925987155089
iCAF	biopsy	cell_proportions_CAF	0.952165576612046	27.3358995125938	26.6522863264278	12.1853272689559	12.4538774788748
meCAF	biopsy	cell_proportions_CAF	0.203512552530023	10.1404714598898	12.4633384838915	6.37729485605291	3.84210867348195
myCAF	biopsy	cell_proportions_CAF	0.114840474055582	5.75716510866431	3.87233029044946	3.07073909397655	2.63181593961371
stalCAF	biopsy	cell_proportions_CAF	0.385069782390763	31.9036736378754	35.9911288521963	6.54205904414138	12.3002681471394
Myeloid DC CD207+ LC-like DC	biopsy	cell_proportions_Myeloid	0.7888095746637	0.577564578928834	0.575250999004713	0.434836329110679	0.474273763585424
Myeloid DC cDC CD1C+	biopsy	cell_proportions_Myeloid	0.264376613144542	1.46637981558362	2.55966641959588	1.15747880600409	2.79882674713253
Myeloid DC CLEC9A+ DC	biopsy	cell_proportions_Myeloid	0.0740221522965239	0.188966433506096	0.457924908378378	0.287372850949491	0.390806386316755
Myeloid DC DC2A CD1A+	biopsy	cell_proportions_Myeloid	0.88034428377236	0.693281702348173	0.725779114154985	0.66865570135569	0.697834675119143
Myeloid DC DC2B CCL17+	biopsy	cell_proportions_Myeloid	0.67131355698507	1.45532266491843	1.74526494670786	0.506475496636353	1.06105429703792
Myeloid DC DC2B CXCL2/3+	biopsy	cell_proportions_Myeloid	0.984490914082771	2.66148146552192	2.59458231628689	1.69575560357457	1.35377726295611
Myeloid DC moDC	biopsy	cell_proportions_Myeloid	0.0158063402135719	13.3593864740986	16.5723063898203	2.6148580529726	3.36430996146865
Myeloid DC moDC HLAhi	biopsy	cell_proportions_Myeloid	0.370102038403081	0.128223102874892	0.251519076773443	0.213112687335173	0.376409657004906
Myeloid DC mregDC	biopsy	cell_proportions_Myeloid	0.164715705078336	0.339940737438627	0.628504297762456	0.318075053743229	0.478570543965693
Myeloid DC pDC	biopsy	cell_proportions_Myeloid	0.740300938223792	0.300715662824459	0.447896526987301	0.288075373195478	0.480957473850083
Myeloid granulocyte	biopsy	cell_proportions_Myeloid	0.763218521013298	6.59289148388326	6.13788128632899	3.06480715955678	2.96470978580717
Myeloid Mast	biopsy	cell_proportions_Myeloid	0.149307444021104	0.449035510150203	0.115506839320342	0.862657838584778	0.222796543940836
Myeloid Mast activated	biopsy	cell_proportions_Myeloid	0.329436081011387	2.86005392519702	1.60470599221376	3.73624585169276	2.19549704538034
Myeloid megakaryocyte	biopsy	cell_proportions_Myeloid	2	0	0	0	0
Myeloid momac CES1	biopsy	cell_proportions_Myeloid	0.750062541590906	1.78861543174495	1.94852467501291	0.927129511433984	1.08417188845055
Myeloid momac FCN1	biopsy	cell_proportions_Myeloid	0.442444390641166	8.8451262154873	8.0679075813355	2.41799875745857	2.46267313500156
Myeloid momac FCN1 cycling	biopsy	cell_proportions_Myeloid	0.169164308267405	0.600271170734196	0.857226665277713	0.429853877325004	0.561271228844877
Myeloid momac FOLR2	biopsy	cell_proportions_Myeloid	0.96394120292695	7.6051706931384	7.76571853462581	1.82844451447177	3.0026055456245
Myeloid momac FOLR2 cycling	biopsy	cell_proportions_Myeloid	0.874045161373576	5.7331995745537	5.58986512978435	3.15575913191295	2.79398659021577
Myeloid momac PLIN2	biopsy	cell_proportions_Myeloid	0.316285593616775	17.7302679731319	14.8490076240191	6.92391632320584	7.39303961490756
Myeloid momac RETN	biopsy	cell_proportions_Myeloid	0.449761255803446	0.361471276447355	0.713131705998424	0.429599380552916	1.24622317367375
Myeloid momac TREM2	biopsy	cell_proportions_Myeloid	0.540035138130752	20.0636078007688	18.6442057857981	5.76577283997799	5.09867593588061
Myeloid momac TREM2 cycling	biopsy	cell_proportions_Myeloid	0.0499204958713501	0.681574682771616	0.40154743650124	0.381774186968951	0.407576289756281
Myeloid monocyte CD14	biopsy	cell_proportions_Myeloid	0.343440252920773	0.397229315630188	0.814831187348322	0.397668064535612	0.831519789817166
Myeloid monocyte CD14 FOLR3lo	biopsy	cell_proportions_Myeloid	0.727521532997902	1.143626895292	1.58552182203368	0.700219083496698	1.65306490355964
Myeloid monocyte CD14CD16	biopsy	cell_proportions_Myeloid	0.897585029968869	0.557810785016124	0.492911116738626	0.840455354115637	0.478694428205617
Myeloid monocyte CD16	biopsy	cell_proportions_Myeloid	0.562285653928303	0.579665873492902	0.166297709587968	1.49596252736992	0.20924979815175
Myeloid monocyte conv	biopsy	cell_proportions_Myeloid	0.610887206808391	2.64485775823065	3.10039245559926	2.14632476288064	2.70826514365835
Myeloid monocyte nonconv	biopsy	cell_proportions_Myeloid	0.015456388419658	0.194260996285765	0.586121457003699	0.322006897114979	0.45907493876321
Acinar	biopsy	cell_proportions_Non-immune	0.942707582890424	3.14788510789318	2.82794586523568	3.57513151370833	2.50527778854668
Centroacinar	biopsy	cell_proportions_Non-immune	0.132361203951198	0.218457059807347	0.362972984241052	0.290302779764077	0.305300835369043
Endocrine	biopsy	cell_proportions_Non-immune	0.282819933995668	2.76095193649754	2.02912411037747	1.81253325683946	1.33739529848694
Endothelial cell	biopsy	cell_proportions_Non-immune	0.888399786265938	14.4659222835407	14.3168419137569	11.2815305662738	9.07787292412911
Epithelial	biopsy	cell_proportions_Non-immune	0.803322121269393	50.8904479123767	53.300776562538	22.453581958326	22.9886649871864
Fibroblast	biopsy	cell_proportions_Non-immune	0.472718064780792	13.7804912859381	10.3896093163166	16.1294127279466	13.3068509428257
Stellate cell	biopsy	cell_proportions_Non-immune	0.536629757827426	14.7358444139464	16.7727292475342	9.9197532296346	8.75931427108875
NK cell iNKTs	biopsy	cell_proportions_T cells	0.369257203396729	0	0.0238891543239369	0	0.0861335708424269
NK cell NK active	biopsy	cell_proportions_T cells	0.118002492946432	2.25672967319434	1.32739893520971	1.99249139332451	1.05498205111745
