p.site	p.analysis	p_value	mean.group. 1	mean.group. 2	sd.group. 1	sd.group. 2
B cell  plasma cell	biopsy	cell_proportions_B cells	0.0114531429883237	44.0793069364498	12.9064127311613	20.3138451650655	10.550119942559
B cell  plasmablast	biopsy	cell_proportions_B cells	0.478996856624382	1.02040816326531	0	2.69974623578019	0
B cell activated pre-memory	biopsy	cell_proportions_B cells	0.103716665508852	9.78661550090122	23.0376852481394	11.7692289364932	14.2970006823263
B cell DZ GC	biopsy	cell_proportions_B cells	0.0483532710581158	0	0.225023249634649	0	0.303033505670319
B cell GZMB+ memory	biopsy	cell_proportions_B cells	0.845842234017614	2.39984882842026	1.44895044506443	3.30460995519475	1.69180444251821
B cell LZ GC	biopsy	cell_proportions_B cells	0.219254894510849	0.529100529100529	2.21950976484655	1.39986841855269	2.78351206623224
B cell memory	biopsy	cell_proportions_B cells	0.47536879484769	27.2190243618815	20.9402686277115	14.0591830055808	6.73578276877056
B cell memory activated	biopsy	cell_proportions_B cells	0.200907189840472	4.61974533403105	14.3112572516718	4.12439849458226	11.0811828850377
B cell MZ	biopsy	cell_proportions_B cells	0.835222802688583	3.003663003663	2.83783933395332	3.32446592544371	2.28292981157375
B cell naive	biopsy	cell_proportions_B cells	0.040649827791553	7.34228734228734	22.0730533478171	5.41987635811834	12.3892363529166
Acinar	biopsy	cell_proportions_broad all	0.698228047519592	1.1334410148737	2.0396604002379	1.07628439350994	3.22218850477478
B cells	biopsy	cell_proportions_broad all	0.0408470121396836	1.58804535757317	7.98213546051936	0.929308138957714	8.23053857645377
Centroacinar	biopsy	cell_proportions_broad all	0.857779396172491	0.0391703929754664	0.0308579185654258	0.0724288866783725	0.0366459217457703
Endocrine	biopsy	cell_proportions_broad all	0.301071087245441	0.449846120464632	0.199366690721651	0.33579629755614	0.157104738053692
Endothelial cell	biopsy	cell_proportions_broad all	0.291818384189939	0.763771413576309	1.58127004723048	1.0898062978268	1.85090643383133
Epithelial	biopsy	cell_proportions_broad all	0.797412232889466	19.6765745204564	21.9405891109171	17.3514179714169	16.6201778505152
Fibroblast	biopsy	cell_proportions_broad all	0.778850092858245	2.36159359622513	2.25171957121194	3.16094261694216	2.50216213430255
Myeloid cells	biopsy	cell_proportions_broad all	0.00661946380155573	49.2172633404951	17.4290640918232	19.1503729679565	9.17692693403902
NK cells	biopsy	cell_proportions_broad all	0.790678938806683	4.69996942200754	4.1590289022901	2.46549139057088	1.27341329903533
Stellate cell	biopsy	cell_proportions_broad all	0.534971823543718	0.446894451374465	0.912281771867779	0.432817041008317	1.36825511315034
T cells	biopsy	cell_proportions_broad all	0.0104860945566428	19.623430369978	41.474026034615	6.65055521815545	17.7909458399579
B cells	biopsy	cell_proportions_broad immune	0.0474279003700324	2.09940744859047	12.8110655075486	1.09254290955601	14.6563442138378
Myeloid cells	biopsy	cell_proportions_broad immune	0.000418341387188866	64.3669407870648	24.3616330466924	11.649047365596	12.666953646542
NK cells	biopsy	cell_proportions_broad immune	0.896132823662388	6.6238500075864	6.02888970819919	4.01100513996381	2.12790292936758
T cells	biopsy	cell_proportions_broad immune	0.00119717566409836	26.9098017567584	56.7984117375598	8.76405406835618	11.5476614490313
apapCAF	biopsy	cell_proportions_CAF	0.840417360793899	25.9188514357054	18.7318443735416	20.0059200544334	15.2045483973112
iCAF	biopsy	cell_proportions_CAF	0.308155613839052	15.7444300393739	28.5831071320857	13.7438566499131	17.3870150860918
meCAF	biopsy	cell_proportions_CAF	0.901708586213126	12.8031066935561	9.76633807959109	18.2969136239337	8.51836130548859
myCAF	biopsy	cell_proportions_CAF	0.152867304795116	3.74327763372707	9.20758131339588	5.13081303077947	4.65924196456157
stalCAF	biopsy	cell_proportions_CAF	0.486913673546824	41.7903341976376	33.7111291013858	16.2516279184137	16.231345819271
Myeloid DC CD207+ LC-like DC	biopsy	cell_proportions_Myeloid	0.000334770663421234	0.0727723867285621	1.2432556624437	0.101629582343058	0.676222353886511
Myeloid DC cDC CD1C+	biopsy	cell_proportions_Myeloid	0.0355353054712646	0.504966306577865	8.15769546212413	0.861969952527032	12.2339314049774
Myeloid DC CLEC9A+ DC	biopsy	cell_proportions_Myeloid	0.0682495642772391	0.101664527258674	0.682107065373836	0.163156277189439	0.701473187625562
Myeloid DC DC2A CD1A+	biopsy	cell_proportions_Myeloid	0.270635971707668	0.120747330127426	0.740020526116783	0.118076918606718	0.866078673320595
Myeloid DC DC2B CCL17+	biopsy	cell_proportions_Myeloid	0.136292906781146	0.262138672815767	1.03637054891555	0.280289126284298	0.863006215382542
Myeloid DC DC2B CXCL2/3+	biopsy	cell_proportions_Myeloid	0.00148885883053879	0.518766106199682	1.6774253719126	0.335056898767058	0.308528747240233
Myeloid DC moDC	biopsy	cell_proportions_Myeloid	0.0757331379210334	5.87433308495278	8.11060896688777	1.62780206133184	1.85355527721782
Myeloid DC moDC HLAhi	biopsy	cell_proportions_Myeloid	0.99202477938935	0.39269318506919	0.445321675583975	0.467514007406993	0.598544009475161
Myeloid DC mregDC	biopsy	cell_proportions_Myeloid	0.940068078042884	0.0692066344734368	0.0644329896907216	0.126124819215879	0.128865979381443
Myeloid DC pDC	biopsy	cell_proportions_Myeloid	0.000116784307801509	0.50086270503038	3.10175122222962	0.390152967277545	0.907840106666699
Myeloid granulocyte	biopsy	cell_proportions_Myeloid	0.477639509643942	4.83203689768531	6.48287837759471	2.82448214151137	4.28599997717592
Myeloid Mast	biopsy	cell_proportions_Myeloid	0.0600024321795689	0.129997685564539	1.09891644682581	0.20740550232881	1.13615124349901
Myeloid Mast activated	biopsy	cell_proportions_Myeloid	0.135732323164316	1.76668430546112	6.53887064726601	2.34160625329207	8.36625303165126
Myeloid megakaryocyte	biopsy	cell_proportions_Myeloid	2	0	0	0	0
Myeloid momac CES1	biopsy	cell_proportions_Myeloid	0.0213586749573959	3.75474803358943	0.747928037194259	2.32664342965808	0.94338078751389
Myeloid momac FCN1	biopsy	cell_proportions_Myeloid	0.526660823027803	4.09774356796143	3.05062382882152	2.40930061822966	1.94079398153059
Myeloid momac FCN1 cycling	biopsy	cell_proportions_Myeloid	0.446729802881427	0.125005416179211	0.268883924877968	0.242556122482911	0.324564329377563
Myeloid momac FOLR2	biopsy	cell_proportions_Myeloid	0.385278375634902	1.34140381778797	1.92675070994724	1.84521254488794	1.37040891465901
Myeloid momac FOLR2 cycling	biopsy	cell_proportions_Myeloid	0.203448857857391	2.02245287163857	0.485563641264066	2.68577954603462	0.617722157154289
Myeloid momac PLIN2	biopsy	cell_proportions_Myeloid	0.140543061681941	20.4194960663189	5.34503622416163	17.3607840863915	5.25176412825403
Myeloid momac RETN	biopsy	cell_proportions_Myeloid	0.165858994571957	1.16257894961247	0.193298969072165	1.45054027113795	0.38659793814433
Myeloid momac TREM2	biopsy	cell_proportions_Myeloid	0.252686016880413	14.1782807887393	7.91583293459191	8.48981125347972	5.50040344647252
Myeloid momac TREM2 cycling	biopsy	cell_proportions_Myeloid	0.00893182626542689	0.362934302289305	0	0.309199643443283	0
Myeloid monocyte CD14	biopsy	cell_proportions_Myeloid	0.998520318244565	16.4392333693828	12.7751309678879	18.1677025089814	8.16772591590397
